Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,506108873080.000000,-249113521717.000000,256995351363.000000,-180552003741.000000,-140569971300.000000,-39982032441.000000,-180552003741.000000,76443347622.000000,-38629885355.000000,1269679971.000000,238908600.000000,-8097183831.000000,-6216404524.000000,,-25824885571.000000,-38629885355.000000,37813462267.000000,-5694037440.000000,-27337853154.000000,21643815714.000000,-5694037440.000000,,32119424827.000000,-1100045435.000000,31019379392.000000,32119424827.000000,39425487426.000000,-7306062599.000000,32119424827.000000,31019379392.000000,38321441054.000000,-7302061662.000000,31019379392.000000
12M 2019,1085328207907.000000,-622171022069.000000,463157185838.000000,-348699592935.000000,-285917310983.000000,-62782281952.000000,-348699592935.000000,114457592903.000000,17099959050.000000,3066006433.000000,5440174327.000000,-10940718938.000000,-230319939.000000,,19764817167.000000,17099959050.000000,131557551953.000000,-33833246209.000000,-46148960000.000000,12315713791.000000,-33833246209.000000,,97724305744.000000,-402664714.000000,97321641030.000000,97724305744.000000,111790475821.000000,-14066170077.000000,97724305744.000000,97321641030.000000,111395365546.000000,-14073724516.000000,97321641030.000000
12M 2020,396573481850.000000,-196239255618.000000,200334226232.000000,-188435592778.000000,-117343246398.000000,-71092346380.000000,-188435592778.000000,11898633454.000000,31810969855.000000,2671720170.000000,2069597889.000000,-10356063586.000000,-125414583.000000,,37551129965.000000,31810969855.000000,43709603309.000000,-20228246227.000000,-17014904060.000000,-3213342167.000000,-20228246227.000000,,23481357082.000000,659587292.000000,24140944374.000000,23481357082.000000,31935192392.000000,-8453835310.000000,23481357082.000000,24140944374.000000,32555885795.000000,-8414941421.000000,24140944374.000000
12M 2021,906259459175.000000,-478246089127.000000,428013370048.000000,-347201449008.000000,-269594132463.000000,-77607316545.000000,-347201449008.000000,80811921040.000000,114224094746.000000,1539801158.000000,-2239300094.000000,-6732406073.000000,1919772875.000000,,119736226880.000000,114224094746.000000,195036015786.000000,-43026530062.000000,-30537290960.000000,-12489239102.000000,-43026530062.000000,7067456903.000000,159076942627.000000,-130779409.000000,158946163218.000000,159076942627.000000,169518270736.000000,-10441328109.000000,159076942627.000000,158946163218.000000,169387492908.000000,-10441329690.000000,158946163218.000000
12M 2022,939031325558.000000,-380123137750.000000,558908187808.000000,-400258979785.000000,-312044146455.000000,-88214833330.000000,-400258979785.000000,158649208023.000000,84762479504.000000,3529407768.000000,1280587533.000000,-6366676361.000000,247364861.000000,,86071795703.000000,84762479504.000000,243411687527.000000,-53643258405.000000,-46579267518.000000,-7063990887.000000,-53643258405.000000,7925955896.000000,197694385018.000000,158947993.000000,197853333011.000000,197694385018.000000,199187421412.000000,-1493036394.000000,197694385018.000000,197853333011.000000,199346369509.000000,-1493036498.000000,197853333011.000000
12M 2023,1433217403117.000000,-745206948084.000000,688010455033.000000,-395809203639.000000,-291327582511.000000,-104481621128.000000,-395809203639.000000,292201251394.000000,2230018299.000000,5370624032.000000,-5111674.000000,-6694250396.000000,112200000.000000,,3446556337.000000,2230018299.000000,294431269693.000000,-74072662083.000000,-68823808787.000000,-5248853296.000000,-74072662083.000000,,220358607610.000000,-24707870.000000,220333899740.000000,220358607610.000000,211260574194.000000,9098033416.000000,220358607610.000000,220333899740.000000,211276439367.000000,9057460373.000000,220333899740.000000
12M 2024,972709803235.000000,-491452606770.000000,481257196465.000000,-329623987988.000000,-179558551993.000000,-150065435995.000000,-329623987988.000000,151633208477.000000,-8186079178.000000,6154352637.000000,-21023504.000000,-7530181639.000000,193019479.000000,-866809557.000000,-6115436594.000000,-8186079178.000000,143447129299.000000,-43333960286.000000,-45618856236.000000,2284895950.000000,-43333960286.000000,,100113169013.000000,130044053.000000,100243213066.000000,100113169013.000000,83666329501.000000,16446839512.000000,100113169013.000000,100243213066.000000,83795510671.000000,16447702395.000000,100243213066.000000
