Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Bunga,Pembayaran Pajak,Pembayaran Bunga,Penerimaan (Pembayaran) Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan (Pemberian) Pinjaman Kepada Pihak Berelasi,Invetasi Kepada Entitas Asosiasi,Penerimaan Pengembalian Uang Muka Pembelian Aset Tetap,Akuisisi Saham Entitas Anak,Penerimaan (Pemberian) Pinjaman Receipt (Giving) Loans Kepada Pihak Ketiga,Perolehan Aset Tetap,Penjualan Aset Tetap,Perolehan Aset Tidak Berwujud,Penempatan Investasi Jangka Panjang,Penempatan Deposito,Penempatan Investasi Pada Obligasi,Penambahan Properti Pertambangan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Penawaran Umum Saham,Penerimaan (Pembayaran) Pinjaman Pihak Berelasi,Pembelian Saham Treasuri,Penjualan Saham Treasuri,Penerimaan Pinjaman Pihak Ketiga,Penerimaan (Pembayaran) Utang Bank,Pembayaran Utang Pembelian Aset Tetap Dan Aset Leasing,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2018,-16783478026.000000,616304058143.000000,-558839665372.000000,-47970168884.000000,1269679971.000000,-19575514429.000000,-8097183832.000000,125316377.000000,-16783478026.000000,-30026694056.000000,17952948130.000000,,,,,-47979642186.000000,,,,,,,-30026694056.000000,73142676805.000000,,4042665928.000000,,,11500000000.000000,74609337060.000000,-2009326183.000000,-15000000000.000000,73142676805.000000,26332504723.000000,10683525150.000000,1407202932.000000,38423232805.000000
12M 2019,101522398356.000000,1232140309753.000000,-1046500710720.000000,-44810333902.000000,3066006433.000000,-30256712809.000000,-10940718939.000000,-1175441460.000000,101522398356.000000,-188807114327.000000,-6445419134.000000,,,,,-182891695193.000000,530000000.000000,,,,,,-188807114327.000000,78302458929.000000,187000000000.000000,-12812345062.000000,,,9004318434.000000,-97445721492.000000,-2693792951.000000,-4750000000.000000,78302458929.000000,-8982257042.000000,38423232805.000000,-518262487.000000,28922713276.000000
12M 2020,-9110462603.000000,387098831810.000000,-338410769364.000000,-30011274250.000000,2671720170.000000,-21362238116.000000,-10356063586.000000,1259330733.000000,-9110462603.000000,-5388625834.000000,-4141358550.000000,,,,,-1597267415.000000,350000131.000000,,,,,,-5388625834.000000,18517348099.000000,,17541558159.000000,,,2757013189.000000,1208598967.000000,-2989822216.000000,,18517348099.000000,4018259662.000000,28922713276.000000,93838634.000000,33034811572.000000
12M 2021,120613302478.000000,918304294330.000000,-725506593227.000000,-31171893538.000000,1539801158.000000,-33691332383.000000,-6732406073.000000,-2128567789.000000,120613302478.000000,-76351751277.000000,-8096782553.000000,-25000000.000000,,-25465788457.000000,-6673750060.000000,-39317020648.000000,2287688500.000000,,,,,938901941.000000,-76351751277.000000,-44768777255.000000,,-27636947259.000000,,,-3084786250.000000,6753149626.000000,-3798665414.000000,-17001527958.000000,-44768777255.000000,-507226054.000000,33192271608.000000,74764295.000000,32759809849.000000
12M 2022,156359698181.000000,956723253367.000000,-755422550062.000000,-39010972047.000000,3529407768.000000,-10240730451.000000,-4427695985.000000,5208985591.000000,156359698181.000000,-52012158512.000000,-3703161294.000000,,155000000000.000000,,-3590630312.000000,-40821129745.000000,421989402.000000,,-867750000.000000,-41183669155.000000,-6028176000.000000,-111239631408.000000,-52012158512.000000,-40501059335.000000,,-10432756102.000000,,,,26705824359.000000,-5922877592.000000,-50851250000.000000,-40501059335.000000,63846480334.000000,32759809849.000000,669175549.000000,97275465732.000000
12M 2023,295069915490.000000,1225191010577.000000,-773751543082.000000,-74630985310.000000,5370624032.000000,-81683907148.000000,-8402316847.000000,2977033268.000000,295069915490.000000,-40094132103.000000,16657452568.000000,,,,1573482361.000000,-25222002852.000000,112200000.000000,,,-19184825642.000000,-2211344000.000000,-11819094538.000000,-40094132103.000000,-207324518587.000000,,-8118525679.000000,-171862150000.000000,9379500000.000000,,26216483936.000000,-9204192638.000000,-53735634206.000000,-207324518587.000000,47651264800.000000,97275465732.000000,-48358750.000000,144878371782.000000
12M 2024,222271357545.000000,1077154633384.000000,-656177144409.000000,-101099803651.000000,6154352637.000000,-90303808507.000000,-13175279047.000000,-281592862.000000,222271357545.000000,-94746122207.000000,7922965650.000000,-11035000000.000000,,,-15309932294.000000,-64880339669.000000,225000000.000000,-1084803000.000000,,-3675240655.000000,-519954000.000000,-6388818239.000000,-94746122207.000000,-123083430049.000000,,-24912613923.000000,,94956000.000000,,-28006222293.000000,-9870704515.000000,-60388845318.000000,-123083430049.000000,4441805289.000000,144878371782.000000,152543030.000000,149472720101.000000
