Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Dari Penghasilan Bunga,Pembayaran Kepada Pemasok,Pembayaran Kas Lainnya Untuk Beban Operasi,Penerimaan Dari Pajak,Pembayaran Untuk Pajak,Pembayaran Kepada Karyawan,Pembayaran Untuk Beban Usaha,Pembayaran Untuk Bunga Dan Biaya Bank,"Lain-Lain, Bersih",Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Dari Penjualan Investasi Dalam Saham,Penurunan Deposito Yang Dibatasi Penggunaannya,Hasil Dari Penjualan Aset Tetap Dan Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Dividen Kas,Pembayaran Dividen Kas,"Penerimaan Dari (Pembayaran Kepada) Pihak-Pihak Berelasi, Neto","Hasil Penawaran Umum Perdana Saham, Bersih",Pembayaran Atas Liabilitas Sewa,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan/(Penurunan) Neto Kas Dan Setara Kas,Kas Dan Setara Kas Awal Tahun,Adjustment,Dampak Perubahan Kurs,Kas Dan Setara Kas Akhir Tahun
12M 2009,134212835000.000000,1395030705000.000000,1678591000.000000,-954719870000.000000,,,-146106229000.000000,-78119365000.000000,-71380046000.000000,-13162378000.000000,991427000.000000,,134212835000.000000,801398000.000000,4360141000.000000,,,-3558743000.000000,801398000.000000,35548125000.000000,1790581562000.000000,-1857682385000.000000,,-32000111000.000000,-26292464000.000000,160941523000.000000,,,35548125000.000000,170562358000.000000,29611710000.000000,,-2355647000.000000,197818421000.000000
12M 2010,-45853651000.000000,1496706138000.000000,8504652000.000000,-1138065397000.000000,,,-172235437000.000000,-80661601000.000000,-152629681000.000000,-11920826000.000000,4448501000.000000,,-45853651000.000000,-2949607000.000000,14904511000.000000,,27176390000.000000,-45030508000.000000,-2949607000.000000,115829539000.000000,1315825471000.000000,-1167776880000.000000,,-15140100000.000000,-17078952000.000000,,,,115829539000.000000,67026281000.000000,197818421000.000000,,-2498008000.000000,262346694000.000000
12M 2011,-117009809000.000000,1383613483000.000000,5605182000.000000,-1252815577000.000000,,,-117739859000.000000,-65618964000.000000,-74538196000.000000,-4007874000.000000,8491996000.000000,,-117009809000.000000,-124770575000.000000,-124770575000.000000,,,,-124770575000.000000,69059513000.000000,151965085000.000000,-57672072000.000000,,-25233500000.000000,,,,,69059513000.000000,-172720871000.000000,262346694000.000000,,-4549764000.000000,85076059000.000000
12M 2012,6467000.000000,148400000.000000,163000.000000,-114212000.000000,,,-13077000.000000,-7493000.000000,-6991000.000000,-539000.000000,216000.000000,,6467000.000000,-4673000.000000,-5176000.000000,,,503000.000000,-4673000.000000,-2716000.000000,,-2716000.000000,,,,,,,-2716000.000000,-922000.000000,9382000.000000,,-496000.000000,7964000.000000
12M 2013,3203000.000000,182712000.000000,229000.000000,-150701000.000000,,,-18625000.000000,-5630000.000000,-6673000.000000,-565000.000000,2456000.000000,,3203000.000000,-1444000.000000,-1639000.000000,,,195000.000000,-1444000.000000,2426000.000000,5263000.000000,-2837000.000000,,,,,,,2426000.000000,4185000.000000,7964000.000000,,-3672000.000000,8477000.000000
12M 2014,-11024000.000000,176430000.000000,155000.000000,-157037000.000000,,,-17118000.000000,-7272000.000000,-6348000.000000,-912000.000000,-1554000.000000,2632000.000000,-11024000.000000,-373000.000000,-439000.000000,,,66000.000000,-373000.000000,8066000.000000,103078000.000000,-94914000.000000,8000.000000,-106000.000000,,,,,8066000.000000,-3331000.000000,8477000.000000,,,5146000.000000
12M 2015,9981907.000000,156910201.000000,113992.000000,-123219388.000000,,3265362.000000,-15087182.000000,-5760362.000000,-4599022.000000,-667933.000000,-973761.000000,,9981907.000000,-501805.000000,-523051.000000,,,21246.000000,-501805.000000,-6047494.000000,137220848.000000,-143268342.000000,,,,,,,-6047494.000000,3432608.000000,5145720.000000,,,8578328.000000
12M 2016,13848323.000000,145143915.000000,625991.000000,-112894353.000000,,2905615.000000,-13177099.000000,-6450814.000000,-3685340.000000,-654706.000000,2035114.000000,,13848323.000000,-358469.000000,-358469.000000,,,,-358469.000000,-954563.000000,163168095.000000,-164122658.000000,,,,,,,-954563.000000,12535291.000000,8578328.000000,,,21113619.000000
12M 2017,-11298715.000000,156237378.000000,212788.000000,-142119048.000000,,2418631.000000,-16202791.000000,-6575839.000000,-3849039.000000,-1676925.000000,256130.000000,,-11298715.000000,-1742324.000000,-1754586.000000,,,12262.000000,-1742324.000000,6430268.000000,597793000.000000,-591362732.000000,,,,,,,6430268.000000,-6610771.000000,21113619.000000,,,14502848.000000
12M 2018,-10882399.000000,169332548.000000,179445.000000,-152205885.000000,,1477237.000000,-18741234.000000,-6405958.000000,-3025695.000000,-1678047.000000,185190.000000,,-10882399.000000,-4733120.000000,-4733120.000000,,,,-4733120.000000,12704899.000000,261550322.000000,-248845423.000000,,,,,,,12704899.000000,-2910620.000000,14502848.000000,,-488615.000000,11103613.000000
12M 2019,10177959.000000,184271655.000000,246767.000000,-162465067.000000,,1928607.000000,-2780465.000000,-7056277.000000,-2174611.000000,-2010593.000000,217943.000000,,10177959.000000,-1623186.000000,-1640462.000000,,,17276.000000,-1623186.000000,8404505.000000,158889794.000000,-150485289.000000,,,,,,,8404505.000000,16959278.000000,11103613.000000,,329756.000000,28392647.000000
12M 2020,8492378.000000,159536169.000000,812964.000000,-145115509.000000,,3403440.000000,-888815.000000,-6113861.000000,-2175343.000000,-1172002.000000,205335.000000,,8492378.000000,-591501.000000,-591501.000000,,,,-591501.000000,-21388791.000000,246105114.000000,-267061734.000000,,,,,-432171.000000,,-21388791.000000,-13487914.000000,28392647.000000,,-45843.000000,14858890.000000
12M 2021,-1691147.000000,205106067.000000,137519.000000,-193844180.000000,,1599231.000000,-3261432.000000,-6530090.000000,-3206467.000000,-1691795.000000,,,-1691147.000000,-2213629.000000,-2225333.000000,,,11704.000000,-2213629.000000,16883249.000000,603393779.000000,-586039765.000000,,,,,-470765.000000,,16883249.000000,12978473.000000,14858890.000000,,-15106.000000,27822257.000000
12M 2022,-25836209.000000,268540150.000000,161706.000000,-275166449.000000,,239391.000000,-4881066.000000,-6686748.000000,-4918231.000000,-3124962.000000,,,-25836209.000000,-478701.000000,-913759.000000,435058.000000,,,-478701.000000,23014655.000000,1776319553.000000,-1751104975.000000,,-1751923.000000,,,-448000.000000,,23014655.000000,-3300255.000000,27822257.000000,,221405.000000,24743407.000000
