Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Dari Pihak Berelasi,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Others,Total Utang Pajak,Liabilitas Derivatif,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,197818421000.000000,163503182000.000000,1529170000.000000,921326000.000000,607844000.000000,1529170000.000000,163099284000.000000,2276941000.000000,528226998000.000000,,9152385000.000000,26725023000.000000,44227885000.000000,80105293000.000000,608332291000.000000,,,144833390000.000000,77009090000.000000,,10860227000.000000,6495232000.000000,17355459000.000000,1035106000.000000,13159849000.000000,,,13159849000.000000,5200089000.000000,,5200089000.000000,,31073797000.000000,,,,,144833390000.000000,35999656000.000000,,,35999656000.000000,35999656000.000000,35999656000.000000,180833046000.000000,,252335000000.000000,107289206000.000000,67875039000.000000,189409377000.000000,-121534338000.000000,67875039000.000000,,427499245000.000000,608332291000.000000,2523350000.000000
12M 2010,,,262346694000.000000,207295128000.000000,730437000.000000,706301000.000000,24136000.000000,730437000.000000,326378972000.000000,4520971000.000000,801272202000.000000,,12515891000.000000,69403856000.000000,34470055000.000000,116389802000.000000,917662004000.000000,,,390661454000.000000,173753837000.000000,,3468436000.000000,153977392000.000000,157445828000.000000,246654000.000000,22864536000.000000,,,22864536000.000000,4709420000.000000,,4709420000.000000,,31641179000.000000,,,,,390661454000.000000,39577207000.000000,,,39577207000.000000,39577207000.000000,39577207000.000000,430238661000.000000,,252335000000.000000,107289206000.000000,127310981000.000000,216266102000.000000,-88955121000.000000,127310981000.000000,488156000.000000,487423343000.000000,917662004000.000000,2523350000.000000
12M 2011,,,85076059000.000000,220612738000.000000,4882304000.000000,397015000.000000,4485289000.000000,4882304000.000000,321055081000.000000,22353069000.000000,653979251000.000000,,13122979000.000000,201947021000.000000,52228259000.000000,267298259000.000000,921277510000.000000,,,431883936000.000000,296811365000.000000,,15978398000.000000,81845522000.000000,97823920000.000000,,,16736035000.000000,650346000.000000,17386381000.000000,6143915000.000000,,6143915000.000000,,13718355000.000000,,,,,431883936000.000000,45297983000.000000,,,45297983000.000000,45297983000.000000,45297983000.000000,477181919000.000000,,252335000000.000000,107289206000.000000,82814239000.000000,265608644000.000000,-182794405000.000000,82814239000.000000,1657146000.000000,444095591000.000000,921277510000.000000,2523350000.000000
12M 2012,,,7964000.000000,31073000.000000,34000.000000,28000.000000,6000.000000,34000.000000,36288000.000000,729000.000000,76088000.000000,,2351000.000000,26038000.000000,6139000.000000,34528000.000000,110616000.000000,,,62982000.000000,36777000.000000,,16117000.000000,6518000.000000,22635000.000000,,,985000.000000,75000.000000,1060000.000000,299000.000000,,299000.000000,,1667000.000000,,407000.000000,407000.000000,137000.000000,62982000.000000,4976000.000000,,,4976000.000000,4976000.000000,4976000.000000,67958000.000000,,26844000.000000,11414000.000000,4215000.000000,,,4215000.000000,185000.000000,42658000.000000,110616000.000000,2523350000.000000
12M 2013,,,8477000.000000,38348000.000000,163000.000000,159000.000000,4000.000000,163000.000000,44198000.000000,720000.000000,91906000.000000,,2126000.000000,23992000.000000,6396000.000000,32514000.000000,124420000.000000,,,77465000.000000,40424000.000000,,27608000.000000,6940000.000000,34548000.000000,,,1614000.000000,38000.000000,1652000.000000,74000.000000,,74000.000000,,702000.000000,,,,65000.000000,77465000.000000,4019000.000000,,,4019000.000000,4019000.000000,4019000.000000,81484000.000000,,26844000.000000,11414000.000000,4493000.000000,,,4493000.000000,185000.000000,42936000.000000,124420000.000000,2523350000.000000
12M 2014,,,5146000.000000,42624000.000000,395000.000000,391000.000000,4000.000000,395000.000000,42931000.000000,687000.000000,91783000.000000,,1814000.000000,21369000.000000,6453000.000000,29636000.000000,121419000.000000,,,82258000.000000,54834000.000000,,21755000.000000,3830000.000000,25585000.000000,,,673000.000000,41000.000000,714000.000000,429000.000000,,429000.000000,,578000.000000,,,,118000.000000,82258000.000000,3475000.000000,,,3475000.000000,3475000.000000,3475000.000000,85733000.000000,,26844000.000000,11414000.000000,-2757000.000000,,,-2757000.000000,185000.000000,35686000.000000,121419000.000000,2523350000.000000
12M 2015,,,8578328.000000,38384107.000000,117261.000000,113789.000000,3472.000000,117261.000000,30636588.000000,589587.000000,78305871.000000,,1024726.000000,28388891.000000,6001076.000000,35414693.000000,113720564.000000,,,71579533.000000,48755554.000000,,15644342.000000,5141864.000000,20786206.000000,,,464915.000000,38024.000000,502939.000000,383675.000000,,383675.000000,,590073.000000,,,,561086.000000,71579533.000000,4671668.000000,,,4671668.000000,4671668.000000,4671668.000000,76251201.000000,,26844149.000000,11413745.000000,-10255806.000000,,,-10255806.000000,9467275.000000,37469363.000000,113720564.000000,2523350000.000000
12M 2016,,,21113619.000000,38150797.000000,75940.000000,71150.000000,4790.000000,75940.000000,27771729.000000,639344.000000,87751429.000000,,1139994.000000,25962279.000000,4814090.000000,31916363.000000,119667792.000000,,,74988653.000000,47829748.000000,,19285466.000000,5473544.000000,24759010.000000,,,614830.000000,19502.000000,634332.000000,82817.000000,,82817.000000,,877122.000000,,,,805624.000000,74988653.000000,4671743.000000,,,4671743.000000,4671743.000000,4671743.000000,79660396.000000,,26844149.000000,11413745.000000,-7840616.000000,,,-7840616.000000,9590118.000000,40007396.000000,119667792.000000,2523350000.000000
12M 2017,,,14502848.000000,49639230.000000,62725.000000,61022.000000,1703.000000,62725.000000,30047808.000000,387402.000000,94640013.000000,,1042407.000000,25517665.000000,4922756.000000,31482828.000000,126122841.000000,,,80018386.000000,53950000.000000,,19194298.000000,5065172.000000,24259470.000000,,,375620.000000,27866.000000,403486.000000,93591.000000,,93591.000000,,711824.000000,,,,600015.000000,80018386.000000,4457658.000000,,,4457658.000000,4457658.000000,4457658.000000,84476044.000000,,26844149.000000,11413745.000000,-6201215.000000,,,-6201215.000000,9590118.000000,41646797.000000,126122841.000000,2523350000.000000
12M 2018,,,11103613.000000,56949728.000000,59686.000000,58383.000000,1303.000000,59686.000000,40305442.000000,1353331.000000,109771800.000000,,1072351.000000,30270929.000000,6662132.000000,38005412.000000,147777212.000000,,,101628716.000000,68569780.000000,,24975372.000000,6600426.000000,31575798.000000,,,500900.000000,7241.000000,508141.000000,60710.000000,,60710.000000,174009.000000,477016.000000,,,,263262.000000,101628716.000000,3094960.000000,,,3094960.000000,3094960.000000,3094960.000000,104723676.000000,,26844149.000000,11413745.000000,-7172139.000000,,,-7172139.000000,11967781.000000,43053536.000000,147777212.000000,2523350000.000000
