Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2009,1180276179000.000000,-1026291455000.000000,153984724000.000000,-87042807000.000000,-21347736000.000000,-65695071000.000000,-87042807000.000000,66941917000.000000,-9894144000.000000,3509091000.000000,2249926000.000000,-6701994000.000000,-7073762000.000000,-1877405000.000000,-9894144000.000000,57047773000.000000,-15050947000.000000,41996826000.000000,,41996826000.000000,41996826000.000000,41996826000.000000,,41996826000.000000,41996826000.000000,41996826000.000000,,41996826000.000000
12M 2010,1361898489000.000000,-1176889076000.000000,185009413000.000000,-108007934000.000000,-27931608000.000000,-80076326000.000000,-108007934000.000000,77001479000.000000,16646710000.000000,14655179000.000000,8335168000.000000,-6959224000.000000,-444588000.000000,1060175000.000000,16646710000.000000,93648189000.000000,-19072147000.000000,74576042000.000000,,74576042000.000000,74576042000.000000,74576042000.000000,,74576042000.000000,74576042000.000000,74576042000.000000,,74576042000.000000
12M 2011,1264409623000.000000,-1178788833000.000000,85620790000.000000,-100294219000.000000,-22086596000.000000,-78207623000.000000,-100294219000.000000,-14673429000.000000,-5196901000.000000,,5262111000.000000,-5453293000.000000,-11682484000.000000,6676765000.000000,-5196901000.000000,-19870330000.000000,607088000.000000,-19263242000.000000,,-19263242000.000000,-19263242000.000000,-19263242000.000000,,-19263242000.000000,-19263242000.000000,-19263242000.000000,,-19263242000.000000
12M 2012,141550000.000000,-136526000.000000,5024000.000000,-11779000.000000,-2794000.000000,-8985000.000000,-11779000.000000,-6755000.000000,-671000.000000,,163000.000000,-693000.000000,-656000.000000,515000.000000,-671000.000000,-7426000.000000,957000.000000,-6469000.000000,,-6469000.000000,-6469000.000000,-6469000.000000,,-6469000.000000,-6469000.000000,-6469000.000000,,-6469000.000000
12M 2013,172461000.000000,-159187000.000000,13274000.000000,-10186000.000000,-3243000.000000,-6943000.000000,-10186000.000000,3088000.000000,-2585000.000000,,227000.000000,-676000.000000,-2899000.000000,763000.000000,-2585000.000000,503000.000000,-225000.000000,278000.000000,,278000.000000,278000.000000,278000.000000,,278000.000000,278000.000000,278000.000000,,278000.000000
12M 2014,162916000.000000,-156418000.000000,6498000.000000,-10918000.000000,-3267000.000000,-7651000.000000,-10918000.000000,-4420000.000000,-2412000.000000,,145000.000000,-1243000.000000,-1848000.000000,534000.000000,-2412000.000000,-6832000.000000,-312000.000000,-7144000.000000,,-7144000.000000,-7144000.000000,-7144000.000000,,-7144000.000000,-7144000.000000,-7144000.000000,,-7144000.000000
12M 2015,137363590.000000,-132218575.000000,5145015.000000,-8606699.000000,-3386288.000000,-5220411.000000,-8606699.000000,-3461684.000000,-1264151.000000,,113992.000000,-1281586.000000,-235859.000000,139302.000000,-1264151.000000,-4725835.000000,-1284660.000000,-6010495.000000,9357528.000000,3347033.000000,-6010495.000000,-6010495.000000,,-6010495.000000,3347033.000000,3347033.000000,,3347033.000000
12M 2016,131664283.000000,-120652578.000000,11011705.000000,-9387443.000000,-3112142.000000,-6275301.000000,-9387443.000000,1624262.000000,814492.000000,,625991.000000,-1110555.000000,418593.000000,880463.000000,814492.000000,2438754.000000,80560.000000,2519314.000000,18719.000000,2538033.000000,2519314.000000,2519314.000000,,2519314.000000,2538033.000000,2538033.000000,,2538033.000000
12M 2017,151792945.000000,-141573455.000000,10219490.000000,-8014512.000000,-3314886.000000,-4699626.000000,-8014512.000000,2204978.000000,-763864.000000,,365733.000000,-1864131.000000,-121510.000000,856044.000000,-763864.000000,1441114.000000,-81943.000000,1359171.000000,280230.000000,1639401.000000,1359171.000000,1359171.000000,,1359171.000000,1639401.000000,1639401.000000,,1639401.000000
12M 2018,163135351.000000,-154767223.000000,8368128.000000,-6638251.000000,-3017225.000000,-3621026.000000,-6638251.000000,1729877.000000,-3485862.000000,,164034.000000,-1995423.000000,-2344430.000000,689957.000000,-3485862.000000,-1755985.000000,218723.000000,-1537262.000000,2944001.000000,1406739.000000,-1537262.000000,-1537262.000000,,-1537262.000000,1406739.000000,1406739.000000,,1406739.000000
