Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Pajak Tangguhan,Total Beban Pajak Penghasilan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,39281110.000000,-25966293.000000,13314817.000000,-1530582.000000,-1530582.000000,-1530582.000000,11784235.000000,-2130992.000000,-1973753.000000,,-292241.000000,,135002.000000,-2130992.000000,9653243.000000,-495787.000000,-468723.000000,-27064.000000,-495787.000000,,9157456.000000,,9157456.000000,9157456.000000,9157456.000000,,9157456.000000,9157456.000000,9157456.000000,,9157456.000000
12M 2012,49715607.000000,-35419146.000000,14296461.000000,-2947060.000000,-2947060.000000,-2947060.000000,11349401.000000,-2371758.000000,-2287435.000000,,28615.000000,,-112938.000000,-2371758.000000,8977643.000000,-619355.000000,-596587.000000,-22768.000000,-619355.000000,,8358288.000000,,8358288.000000,8358288.000000,8358288.000000,,8358288.000000,8358288.000000,8358288.000000,,8358288.000000
12M 2013,58868930.000000,-41851894.000000,17017036.000000,-4013167.000000,-4013167.000000,-4013167.000000,13003869.000000,-4281671.000000,-3183705.000000,,-1175778.000000,,77812.000000,-4281671.000000,8722198.000000,-706427.000000,-706427.000000,,-706427.000000,,8015771.000000,,8015771.000000,8015771.000000,8015771.000000,,8015771.000000,8015771.000000,8015771.000000,,8015771.000000
12M 2014,72526640.000000,-51957241.000000,20569399.000000,-3340732.000000,-3340732.000000,-3340732.000000,17228667.000000,-4355867.000000,-4162299.000000,,-138710.000000,,-54858.000000,-4355867.000000,12872800.000000,-870320.000000,-870320.000000,,-870320.000000,,12002480.000000,,12002480.000000,12002480.000000,12003306.000000,-826.000000,12002480.000000,12002480.000000,12003306.000000,-826.000000,12002480.000000
12M 2015,50389838.000000,-40190788.000000,10199050.000000,-3127210.000000,-3127210.000000,-3127210.000000,7071840.000000,-4531860.000000,-3664682.000000,,-573974.000000,,-293204.000000,-4531860.000000,2539980.000000,-604678.000000,-604678.000000,,-604678.000000,,1935302.000000,96759.000000,2032061.000000,1935302.000000,1955887.000000,-20585.000000,1935302.000000,2032061.000000,2052646.000000,-20585.000000,2032061.000000
12M 2016,33181074.000000,-25627241.000000,7553833.000000,-3069666.000000,-3069666.000000,-3069666.000000,4484167.000000,-2602760.000000,-2776734.000000,,199046.000000,,-25072.000000,-2602760.000000,1881407.000000,-398173.000000,-398173.000000,,-398173.000000,,1483234.000000,27585.000000,1510819.000000,1483234.000000,1505199.000000,-21965.000000,1483234.000000,1510819.000000,1532784.000000,-21965.000000,1510819.000000
12M 2017,37711769.000000,-26955279.000000,10756490.000000,-3182044.000000,-3182044.000000,-3182044.000000,7574446.000000,-2243084.000000,-2277082.000000,,81845.000000,,-47847.000000,-2243084.000000,5331362.000000,-452541.000000,-452541.000000,,-452541.000000,,4878821.000000,-125706.000000,4753115.000000,4878821.000000,4900681.000000,-21860.000000,4878821.000000,4753115.000000,4774975.000000,-21860.000000,4753115.000000
12M 2018,43873703.000000,-29916955.000000,13956748.000000,-3529093.000000,-3529093.000000,-3529093.000000,10427655.000000,-2294821.000000,-1879310.000000,,-253543.000000,,-161968.000000,-2294821.000000,8132834.000000,-526484.000000,-526484.000000,,-526484.000000,,7606350.000000,135126.000000,7741476.000000,7606350.000000,7625503.000000,-19153.000000,7606350.000000,7741476.000000,7760629.000000,-19153.000000,7741476.000000
12M 2019,47688689.000000,-33295946.000000,14392743.000000,-3806086.000000,-3806086.000000,-3806086.000000,10586657.000000,-1775144.000000,-1705115.000000,,-168113.000000,,98084.000000,-1775144.000000,8811513.000000,-572264.000000,-572264.000000,,-572264.000000,,8239249.000000,122013.000000,8361262.000000,8239249.000000,8239249.000000,,8239249.000000,8361262.000000,8361262.000000,,8361262.000000
12M 2020,39761788.000000,-31945088.000000,7816700.000000,-3570381.000000,-3570381.000000,-3570381.000000,4246319.000000,-1684087.000000,-1380278.000000,,-16466.000000,,-287343.000000,-1684087.000000,2562232.000000,-477141.000000,-477141.000000,,-477141.000000,,2085091.000000,80723.000000,2165814.000000,2085091.000000,2085091.000000,,2085091.000000,2165814.000000,2165814.000000,,2165814.000000
12M 2021,42016186.000000,-32630434.000000,9385752.000000,-3865733.000000,-3865733.000000,-3865733.000000,5520019.000000,-1052454.000000,-1011494.000000,,-10411.000000,,-30549.000000,-1052454.000000,4467565.000000,-508245.000000,-508245.000000,,-508245.000000,,3959320.000000,94221.000000,4053541.000000,3959320.000000,3959320.000000,,3959320.000000,4053541.000000,4053541.000000,,4053541.000000
12M 2022,62801600.000000,-41665158.000000,21136442.000000,-3797918.000000,-3797918.000000,-3797918.000000,17338524.000000,-2285958.000000,-810514.000000,46769.000000,-1073263.000000,-29059.000000,-419891.000000,-2285958.000000,15052566.000000,-756403.000000,-756403.000000,,-756403.000000,,14296163.000000,-308092.000000,13988071.000000,14296163.000000,14296163.000000,,14296163.000000,13988071.000000,13988071.000000,,13988071.000000
12M 2023,111227912.000000,-67656318.000000,43571594.000000,-7860229.000000,-7860229.000000,-7860229.000000,35711365.000000,-647056.000000,-2315519.000000,527111.000000,-139401.000000,2138855.000000,-858102.000000,-647056.000000,35064309.000000,-1334735.000000,-1334735.000000,,-1334735.000000,-9121852.000000,24607722.000000,-64969.000000,24542753.000000,24607722.000000,19695773.000000,4911949.000000,24607722.000000,24542753.000000,19630987.000000,4911766.000000,24542753.000000
12M 2024,119076001.000000,-76525216.000000,42550785.000000,-8526419.000000,-8526419.000000,-8526419.000000,34024366.000000,133481.000000,-4260735.000000,549344.000000,572946.000000,3767252.000000,-495326.000000,133481.000000,34157847.000000,-1428912.000000,-1428912.000000,,-1428912.000000,-3393736.000000,29335199.000000,-749181.000000,28586018.000000,29335199.000000,25206759.000000,4128440.000000,29335199.000000,28586018.000000,24483890.000000,4102128.000000,28586018.000000
