Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pelunasan Piutang Pihak Berelasi,Pembayaran Hutang Pemegang Saham,Penerimaan Bunga,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan,Lain-Lain Bersih,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penempatan Investasi Pada Entitas Asosiasi,Pelepasan Investasi Pada Entitas Asosiasi,Perolehan Aset Tetap,Akuisisi Entitas Anak,Uang Muka Untuk Perolehan Aset Tetap,Penempatan Investasi Jangka Panjang,Penyertaan Saham,Hasil Pelepasan Aset Tetap,Hasil Pelepasan Aset Lain-Lain,Perolehan Aset Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Liabilitas Sewa,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penempatan Jaminan Hutang Bank,Pembayaran Dividen,Dividen Entitas Anak,Pengembalian Uang Muka Setoran Modal Entitas Anak,Pembayaran Hutang Sewa Pembiayaan,Pembelian Saham Treasuri,Biaya Emisi Saham,Penerimaan Dari Penerbitan Saham,Penerimaan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2011,8318786.000000,38416689.000000,-26740267.000000,-1463505.000000,616896.000000,-904238.000000,9413.000000,-1917743.000000,-6084.000000,307625.000000,8318786.000000,-8353037.000000,,,-8387795.000000,,,,,48312.000000,,-13554.000000,,-8353037.000000,5757534.000000,13757736.000000,-7932005.000000,,,,,,,,-68197.000000,,,,,5757534.000000,5723283.000000,3753.000000,358429.000000,6085465.000000
12M 2012,9797627.000000,48303304.000000,-36217539.000000,-1779714.000000,1657737.000000,,9176.000000,-2254869.000000,-43753.000000,123285.000000,9797627.000000,-23159475.000000,,,-9620154.000000,,-14079205.000000,,,1135328.000000,,-595444.000000,,-23159475.000000,10605058.000000,22480037.000000,-16772531.000000,,,,-190279.000000,,,,-64643.000000,,,,5152474.000000,10605058.000000,-2756790.000000,-14941.000000,6085465.000000,3313734.000000
12M 2013,11737919.000000,58497719.000000,-40781560.000000,-2617330.000000,,,77812.000000,-3194761.000000,-2982.000000,-240979.000000,11737919.000000,-53619110.000000,,,-44980698.000000,,-9024846.000000,,,112476.000000,,273958.000000,,-53619110.000000,42869678.000000,47935550.000000,-14220923.000000,,,,190279.000000,,,,-28229.000000,,-361804.000000,,9354805.000000,42869678.000000,988487.000000,-211677.000000,3313734.000000,4090544.000000
12M 2014,18948718.000000,72483111.000000,-48065900.000000,-1285142.000000,,,19325.000000,-4162299.000000,,-40377.000000,18948718.000000,-16830604.000000,,,-10783945.000000,,-7736331.000000,,,1897552.000000,,-207880.000000,,-16830604.000000,-4944958.000000,21483632.000000,-24008480.000000,,,,,-2420110.000000,,,,,,,,-4944958.000000,-2826844.000000,-29377.000000,4090544.000000,1234323.000000
12M 2015,11212046.000000,47479290.000000,-29543591.000000,-3008243.000000,,,,-3664682.000000,,-50728.000000,11212046.000000,-1147496.000000,,,-622307.000000,,-2558753.000000,,,2033640.000000,,-76.000000,,-1147496.000000,-9595007.000000,7697796.000000,-17292803.000000,,,,,,,,,,,,,-9595007.000000,469543.000000,-83754.000000,1234323.000000,1620112.000000
12M 2016,11313949.000000,35867250.000000,-18364583.000000,-3223520.000000,,,,-2776734.000000,,-188464.000000,11313949.000000,-865888.000000,,,-3009122.000000,,-230277.000000,,,2388511.000000,,-15000.000000,,-865888.000000,-9389972.000000,255000.000000,-9644972.000000,,,,,,,,,,,,,-9389972.000000,1058089.000000,-29692.000000,1620112.000000,2648509.000000
12M 2017,15045613.000000,38618793.000000,-17422866.000000,-3443166.000000,,,,-2277082.000000,,-430066.000000,15045613.000000,-2505740.000000,,,-898791.000000,,-1598998.000000,,,,,-7951.000000,,-2505740.000000,-11508908.000000,,-4822831.000000,,1907759.000000,-7801747.000000,,-792089.000000,,,,,,,,-11508908.000000,1030965.000000,-3482.000000,2648509.000000,3675992.000000
12M 2018,15337998.000000,41687526.000000,-19902756.000000,-3547175.000000,,,,-1879310.000000,,-1020287.000000,15337998.000000,-2005987.000000,,,-3168669.000000,,-962127.000000,,,2273401.000000,,-148592.000000,,-2005987.000000,-12392806.000000,,-1805526.000000,,1034483.000000,-9344643.000000,,-2277120.000000,,,,,,,,-12392806.000000,939205.000000,13085.000000,3675992.000000,4628282.000000
12M 2019,17596308.000000,46443461.000000,-23072725.000000,-3561262.000000,,,,-1705115.000000,,-508051.000000,17596308.000000,-8453024.000000,,,-7357839.000000,,-1227205.000000,,,,,132020.000000,,-8453024.000000,-9064254.000000,,-533431.000000,,6662713.000000,-10256562.000000,,-4936974.000000,,,,,,,,-9064254.000000,79030.000000,-13614.000000,4628282.000000,4693698.000000
12M 2020,12780562.000000,41467907.000000,-22846990.000000,-3839777.000000,,,,-1380278.000000,,-620300.000000,12780562.000000,-3049184.000000,,,-1459404.000000,,-1596194.000000,,,,,6414.000000,,-3049184.000000,-8640908.000000,,-768872.000000,-30623.000000,12625758.000000,-16246275.000000,,-4220896.000000,,,,,,,,-8640908.000000,1090470.000000,-75561.000000,4693698.000000,5708607.000000
