Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Dari Restitusi Ppn,Penerimaan Dari Pendapatan Usaha Lainnya,Penerimaan Pendapatan Keuangan,Pembayaran Kepada Pemasok,Pembayaran Beban Operasional Lainnya,Pembayaran Kepada Karyawan,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Penjualan Entitas Anak Kepada Entitas Sepengendali,Perolehan Aset Tetap,Penerimaan Penjualan Aset Tetap,Perolehan Aset Tak Berwujud,Perolehan Aset Hak Guna,Penambahan Uang Muka Jangka Panjang,Penambahan Uang Muka Jangka Panjang - Aset Tak Berwujud,Penambahan Piutang Plasma,Penambahan Tanaman Belum Menghasilkan,Penambahan Persiapan Lahan,Penambahan Pembibitan,Penambahan Uang Muka Perkebunan,Penempatan Pada Deposito Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Disetor,Penambahan Modal Diempatkan Dan Disetor Penuh Melalui Penawaran Umum Perdana Saham,Penerimaan Pinjaman Bank Jangka Panjang,Penerimaan Dari Pihak Berelasi,Penerimaan (Pembayaran) Utang Jangka Pendek,Pembayaran Beban Keuangan,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Utang Sewa Pembiayaan Dan Utang Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Pembayaran Utang Sewa Rou,Penerimaan Atas Pinjaman Kepada Entitas Anak Yang Didekonsolidasi,Piutang Pemegang Saham Entitas Anak Dari Kepentingan Nonpengendali,Pembayaran Untuk Akuisisi Entitas Anak Dari Kepentingan Nonpengendali,Pembayaran Utang Sewa - Aset Hak Guna,Uang Muka Setoran Modal Dari Pemilik Entitas Induk,Pengembalian Atas Modal Saham Dari Kepentingan Nonpengendali,Pembayaran Dividen Kas,Pembayaran Dividen Kas Kepada Kepentingan Nonpengendali Oleh Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Entitas Anak Yang Di Dekonsolidasi,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,61397753868.000000,690800069049.000000,,-764690295.000000,4413070977.000000,-533616349851.000000,-52636109637.000000,-44350112184.000000,-2448124191.000000,61397753868.000000,-300337712647.000000,,-21637726953.000000,5330361489.000000,-169500000.000000,,-53197092003.000000,,-47720918273.000000,-183727596008.000000,-42383417053.000000,-6831823846.000000,,50000000000.000000,-300337712647.000000,677827596688.000000,,,1490886000000.000000,135000000.000000,363270695243.000000,-155837864960.000000,-1011078321000.000000,-12247912595.000000,,,,,,,2700000000.000000,,,,677827596688.000000,438887637909.000000,,133341710442.000000,572229348351.000000
12M 2019,68517135164.000000,724527167467.000000,,7569914360.000000,4224381461.000000,-415911818346.000000,-133608484936.000000,-116738875568.000000,-1545149274.000000,68517135164.000000,-439893517247.000000,5098211237.000000,-106938478653.000000,3611681822.000000,-90699999.000000,,-191463028625.000000,,-65489031584.000000,-25628347098.000000,-49681027150.000000,-9312797197.000000,,,-439893517247.000000,216698827588.000000,507800000000.000000,293753716675.000000,288224561000.000000,5000000.000000,-642224890432.000000,-179433586306.000000,-29200000000.000000,-14388223349.000000,,,,,-7837750000.000000,,,,,,216698827588.000000,-154677554495.000000,-10693579064.000000,572229348351.000000,406858214792.000000
12M 2020,279405793342.000000,935391967386.000000,,35029741788.000000,5529214451.000000,-477022344346.000000,-84899947125.000000,-134185041992.000000,-437796820.000000,279405793342.000000,-389166755889.000000,,-188088072787.000000,3917788616.000000,,,-18241991816.000000,,-67231127198.000000,-83150103884.000000,-16295827230.000000,-5596225252.000000,-14481196338.000000,,-389166755889.000000,-96485813106.000000,,,148681285000.000000,,3439338327.000000,-176829611821.000000,-55350000000.000000,-7181434146.000000,,,,,,-9245390466.000000,,,,,-96485813106.000000,-206246775653.000000,,406858214792.000000,200611439139.000000
12M 2021,369004599899.000000,1624545291812.000000,,18956886974.000000,4648811985.000000,-1092102480009.000000,-42456587426.000000,-141301938150.000000,-3285385287.000000,369004599899.000000,-81746767995.000000,,-57143619423.000000,,-48224746.000000,,-3698117296.000000,,146252781859.000000,-53561179756.000000,-8201507090.000000,-4343757431.000000,-7814571305.000000,-93188572807.000000,-81746767995.000000,-120412747858.000000,,,111072706000.000000,,35004119842.000000,-164226932945.000000,-81500000000.000000,-11116300698.000000,,,,,,-9406340057.000000,,-240000000.000000,,,-120412747858.000000,166845084046.000000,,200611439139.000000,367456523185.000000
12M 2022,534655519938.000000,2061304584646.000000,,48265436463.000000,7645401555.000000,-1289766524544.000000,-88116077661.000000,-173646066320.000000,-31031234201.000000,534655519938.000000,22503788566.000000,,-60867360930.000000,927067978.000000,-313574000.000000,,-62047685391.000000,,104073452760.000000,-28256781099.000000,-176092316.000000,-1391974183.000000,,70556735747.000000,22503788566.000000,-117465834583.000000,,,42866861000.000000,,142409072014.000000,-158335374267.000000,-119756000000.000000,-18979959571.000000,,,,,,-5690433759.000000,,20000000.000000,,,-117465834583.000000,439693473921.000000,,367456523185.000000,807149997106.000000
12M 2023,672217912692.000000,2109331962369.000000,,55351857853.000000,19941050462.000000,-1096500186888.000000,-73921254002.000000,-278249539552.000000,-63735977550.000000,672217912692.000000,420052370095.000000,568242969000.000000,-71719403272.000000,149549573.000000,,,-90862418713.000000,,28767778083.000000,-8802255480.000000,-31092360.000000,-1510067870.000000,,-4182688866.000000,420052370095.000000,-333076299618.000000,,,44152125786.000000,,-87350453063.000000,-150255074071.000000,-182659000000.000000,-36552081546.000000,,,87674202417.000000,,,-8095984741.000000,,10000000.000000,,-34400.000000,-333076299618.000000,759193983169.000000,-22569629667.000000,807149997106.000000,1543774350608.000000
12M 2024,382079622470.000000,1962109775555.000000,,48176326087.000000,47943671756.000000,-1154410332290.000000,-132721924965.000000,-261626881225.000000,-127391012448.000000,382079622470.000000,-144927431231.000000,,-116251952831.000000,1635162200.000000,,,-35100082916.000000,-1950000000.000000,9228627926.000000,-545197186.000000,,-4403988424.000000,,2460000000.000000,-144927431231.000000,-619105560066.000000,,,,,,-103870827017.000000,-322865476300.000000,-35629237467.000000,,,,,,-5940002282.000000,,,-150800000000.000000,-17000.000000,-619105560066.000000,-381953368827.000000,,1543774350608.000000,1161820981781.000000
