Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,689687909455.000000,-520403352844.000000,169284556611.000000,-197644816189.000000,-52345421355.000000,-86536028854.000000,-58763365980.000000,-197644816189.000000,-28360259578.000000,-90645496743.000000,-95058567720.000000,5516338721.000000,,-1103267744.000000,-90645496743.000000,-119005756321.000000,-64150304213.000000,,,,-64150304213.000000,-183156060534.000000,-2513841429.000000,-185669901963.000000,-183156060534.000000,-176438855201.000000,-6717205333.000000,,-183156060534.000000,-185669901963.000000,-178959156112.000000,-6710745851.000000,,-185669901963.000000
12M 2019,728562875731.000000,-600698443331.000000,127864432400.000000,-170760163430.000000,-68057630333.000000,-86749002475.000000,-15953530622.000000,-170760163430.000000,-42895731030.000000,-133343801175.000000,-137568182636.000000,5280476826.000000,,-1056095365.000000,-133343801175.000000,-176239532205.000000,15251912753.000000,,,,15251912753.000000,-160987619452.000000,-2979069177.000000,-163966688629.000000,-160987619452.000000,-160987771716.000000,152264.000000,,-160987619452.000000,-163966688629.000000,-163966839369.000000,150740.000000,,-163966688629.000000
12M 2020,930503571803.000000,-662204251049.000000,268299320754.000000,-91625368338.000000,-52738774571.000000,-81852164025.000000,42965570258.000000,-91625368338.000000,176673952416.000000,-142703484525.000000,-148232698976.000000,6911518064.000000,,-1382303613.000000,-142703484525.000000,33970467891.000000,-7469833523.000000,,,,-7469833523.000000,26500634368.000000,6987338093.000000,33487972461.000000,26500634368.000000,26500848572.000000,-214204.000000,,26500634368.000000,33487972461.000000,33488185144.000000,-212683.000000,,33487972461.000000
12M 2021,1766254650794.000000,-1329816431726.000000,436438219068.000000,-68359472291.000000,-52453229704.000000,-75312489010.000000,59406246423.000000,-68359472291.000000,368078746777.000000,-142966983164.000000,-147615795149.000000,5811014981.000000,,-1162202996.000000,-142966983164.000000,225111763613.000000,-11269803793.000000,,,,-11269803793.000000,213841959820.000000,982108832.000000,214824068652.000000,213841959820.000000,213841990546.000000,-30726.000000,,213841959820.000000,214824068652.000000,214824099030.000000,-30378.000000,,214824068652.000000
12M 2022,1972824875264.000000,-1408515884939.000000,564308990325.000000,-100677946312.000000,-69486391517.000000,-101120157521.000000,69928602726.000000,-100677946312.000000,463631044013.000000,-144935402119.000000,-152580803674.000000,9556751944.000000,,-1911350389.000000,-144935402119.000000,318695641894.000000,-61013511197.000000,-60851959498.000000,,-161551699.000000,-61013511197.000000,257682130697.000000,3577957366.000000,261260088063.000000,257682130697.000000,257682090851.000000,39846.000000,,257682130697.000000,261260088063.000000,261260047104.000000,40959.000000,,261260088063.000000
12M 2023,2049487832334.000000,-1480090120840.000000,569397711494.000000,-181625040180.000000,-98277208307.000000,-119683689183.000000,36335857310.000000,-181625040180.000000,387772671314.000000,272182039251.000000,-147501136045.000000,24926313078.000000,,394756862218.000000,272182039251.000000,659954710565.000000,-110710705679.000000,-110383707164.000000,,-326998515.000000,-110710705679.000000,549244004886.000000,1774605339.000000,551018610225.000000,549244004886.000000,549244217016.000000,-212130.000000,,549244004886.000000,551018610225.000000,551018821828.000000,-211603.000000,,551018610225.000000
12M 2024,2127994680911.000000,-1464049136046.000000,663945544865.000000,-167853911059.000000,-76293614862.000000,-134117657528.000000,42557361331.000000,-167853911059.000000,496091633806.000000,-56430862623.000000,-104374534379.000000,59929589695.000000,,-11985917939.000000,-56430862623.000000,439660771183.000000,-89013296912.000000,-88486017851.000000,,-527279061.000000,-89013296912.000000,350647474271.000000,3742412983.000000,354389887254.000000,350647474271.000000,350647372618.000000,101653.000000,,350647474271.000000,354389887254.000000,354389785332.000000,101922.000000,,354389887254.000000
