Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,9.47,51.98,9.47,51.98,50 B,9 B,59 B,59 B,240 B
12M 2009,58.59,28.40,58.59,28.40,328 B,"5,328 B","5,656 B","5,114 B","2,001 B"
12M 2010,79.18,20.03,79.18,20.03,976 B,"5,520 B","6,496 B","5,947 B",988 B
12M 2011,5.71,117.24,5.71,117.24,660 B,"7,749 B","8,409 B","6,477 B","2,348 B"
12M 2012,1.44,105.96,1.95,78.30,"1,071 B","8,205 B","9,276 B","8,725 B","1,741 B"
12M 2013,0.91,101.56,1.38,66.87,"2,502 B","8,470 B","10,972 B","8,346 B","1,488 B"
12M 2014,1.39,139.19,1.77,108.86,842 B,"8,237 B","9,079 B","8,145 B","2,175 B"
12M 2015,0.38,141.67,0.38,141.67,685 B,"8,475 B","9,160 B","8,186 B","2,832 B"
12M 2016,2.50,204.11,2.50,204.11,"1,420 B","6,736 B","8,156 B","7,257 B","1,075 B"
12M 2017,2.55,280.62,2.55,280.62,912 B,"6,802 B","7,715 B","6,800 B","1,822 B"
12M 2018,1.19,439.74,1.19,439.74,"1,403 B","8,666 B","10,069 B","9,105 B","2,359 B"
12M 2019,0.62,452.47,0.62,452.47,"1,693 B","8,072 B","9,765 B","8,549 B","2,977 B"
12M 2020,0.82,431.56,0.82,431.56,"1,914 B","6,115 B","8,029 B","6,449 B","2,077 B"
12M 2021,0.60,439.97,0.60,439.97,"1,425 B","11,855 B","13,280 B","10,505 B","2,855 B"
12M 2022,0.66,463.41,0.69,439.38,"1,779 B","12,992 B","14,771 B","12,462 B","3,629 B"
12M 2023,0.72,488.19,0.75,467.97,"2,872 B","15,501 B","18,373 B","10,683 B","7,673 B"
12M 2024,1.43,386.77,1.61,343.70,"2,221 B","13,964 B","16,185 B","13,040 B","3,323 B"
