Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Tanah Untuk Dikembangkan,Aset Tetap,Aset Tak Berwujud,Properti Pertambangan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Pinjaman Jangka Panjang Lainnya,Senior Notes,Utang Sewa Pembiayaan,Liabilitas Derivatif,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Pinjaman Jangka Panjang Lainnya,Utang Sewa Pembiayaan,Senior Notes,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,556267412.000000,147896500000.000000,885653250.000000,885653250.000000,,885653250.000000,7542572811.000000,7533166811.000000,9406000.000000,7542572811.000000,109016774921.000000,32875456592.000000,298773224986.000000,,,,,7582562788.000000,,1907225600.000000,118952929091.000000,1537711146.000000,,,,7350000.000000,129987778625.000000,428761003611.000000,,,58952542314.000000,,,,,,5754393080.000000,5754393080.000000,1166889791.000000,2031259443.000000,,50000000000.000000,,,,,50000000000.000000,,58952542314.000000,9303584366.000000,9195575815.000000,,,,,,,,,,108008551.000000,9303584366.000000,68256126680.000000,,339520593000.000000,5964934817.000000,7458621455.000000,7560727659.000000,,360504876931.000000,428761003611.000000,6790411860.000000
12M 2009,,,542514034918.000000,43237000000.000000,1719188401952.000000,1719188401952.000000,,1719188401952.000000,38333641975.000000,31900122748.000000,6433519227.000000,38333641975.000000,198115294872.000000,423851503103.000000,2965239876820.000000,,,,,261283444.000000,,21429171530.000000,128408418491.000000,3176244298673.000000,,,,279145481974.000000,3605488654112.000000,6570728530932.000000,,,963758217514.000000,,,359588299815.000000,359588299815.000000,,76195077058.000000,76195077058.000000,95475532412.000000,104275006475.000000,,321480000000.000000,6744301754.000000,,,,328224301754.000000,,963758217514.000000,5406583230659.000000,2423330871.000000,,,2357520000000.000000,7264529432.000000,,2961000000000.000000,,,5325784529432.000000,78375370356.000000,5406583230659.000000,6370341448173.000000,,339520593000.000000,5964934817.000000,-152647111995.000000,7559353438.000000,-10686501.000000,200387082759.000000,6570728530932.000000,6790411860.000000
12M 2010,,,549030603117.000000,3842000000.000000,1335278167892.000000,1335278167892.000000,,1335278167892.000000,24215014106.000000,16841519357.000000,7373494749.000000,24215014106.000000,261144904296.000000,710744750136.000000,2884255439547.000000,,140517258055.000000,140517258055.000000,140517258055.000000,583300017.000000,30951190687.000000,33051209505.000000,23230791093.000000,4095695269056.000000,,,,429153810637.000000,4753182829050.000000,7637438268597.000000,,,1896141153542.000000,,,637519012087.000000,637519012087.000000,,63735159662.000000,63735159662.000000,107906264497.000000,111065211812.000000,,612513930208.000000,8606370235.000000,108431460000.000000,246363745041.000000,,975915505484.000000,,1896141153542.000000,5605311283166.000000,2819200653.000000,,,4898460558343.000000,,619000964267.000000,,,,5517461522610.000000,85030559903.000000,5605311283166.000000,7501452436708.000000,,339520593000.000000,5964934817.000000,-209412327051.000000,1864016.000000,-89232893.000000,135985831889.000000,7637438268597.000000,6790411860.000000
12M 2011,,,1931856000000.000000,,1410602000000.000000,1410602000000.000000,,1410602000000.000000,33777000000.000000,21538000000.000000,12239000000.000000,33777000000.000000,480637000000.000000,510627000000.000000,4367499000000.000000,,65483000000.000000,65483000000.000000,65483000000.000000,,45052000000.000000,147624000000.000000,,5089078000000.000000,,,,1105043000000.000000,6452280000000.000000,10819779000000.000000,,,2019204000000.000000,,,1037506000000.000000,1037506000000.000000,,1095000000.000000,1095000000.000000,182264000000.000000,138601000000.000000,,137215000000.000000,3292000000.000000,,433758000000.000000,85473000000.000000,659738000000.000000,,2019204000000.000000,7845271000000.000000,,,,6338071000000.000000,7306000000.000000,1223836000000.000000,,180153000000.000000,,7749366000000.000000,95905000000.000000,7845271000000.000000,9864475000000.000000,,407425000000.000000,1109856000000.000000,-362787000000.000000,1000000.000000,-199191000000.000000,955304000000.000000,10819779000000.000000,8148494232.000000
12M 2012,,,57052218.000000,,235051254.000000,235051254.000000,,235051254.000000,3763980.000000,2386630.000000,1377350.000000,3763980.000000,43348331.000000,46644460.000000,385860243.000000,,,,,,,24579313.000000,,598339265.000000,19192223.000000,,4176578.000000,127623198.000000,773910577.000000,1159770820.000000,,,205844123.000000,2000000.000000,,74824372.000000,74824372.000000,,468152.000000,468152.000000,1673771.000000,18054398.000000,,36411855.000000,634645.000000,,60959593.000000,10772000.000000,108778093.000000,45337.000000,205844123.000000,864419824.000000,,3838445.000000,,664133003.000000,352228.000000,162700762.000000,,21338511.000000,,848524504.000000,12056875.000000,864419824.000000,1070263947.000000,,45593925.000000,130849041.000000,-62538914.000000,133.000000,-24397312.000000,89506873.000000,1159770820.000000,8168494232.000000
12M 2013,,,215270579.000000,,145019389.000000,145019389.000000,,145019389.000000,2024387.000000,777024.000000,1247363.000000,2024387.000000,28018171.000000,31647661.000000,421980187.000000,,,,,,,20774387.000000,,488183633.000000,19192223.000000,,4176578.000000,127498392.000000,659825213.000000,1081805400.000000,,,300006336.000000,50000000.000000,,65676356.000000,65676356.000000,,236859.000000,236859.000000,629098.000000,28301457.000000,,89934212.000000,986873.000000,,52934122.000000,11241747.000000,155096954.000000,65612.000000,300006336.000000,713385228.000000,,3838445.000000,,574189937.000000,,109726294.000000,,10477427.000000,,694393658.000000,15153125.000000,713385228.000000,1013391564.000000,,45811864.000000,131062621.000000,-91908873.000000,123.000000,-16551899.000000,68413836.000000,1081805400.000000,8216846000.000000
12M 2014,,,75094321.000000,,142292672.000000,142292672.000000,,142292672.000000,2672785.000000,1793368.000000,879417.000000,2672785.000000,23665325.000000,58180894.000000,301905997.000000,,661514.000000,661514.000000,661514.000000,,,8038997.000000,,426649460.000000,18812175.000000,,1218702.000000,148018562.000000,603399410.000000,905305407.000000,,,127104883.000000,,,28553214.000000,28553214.000000,,167733.000000,167733.000000,1317815.000000,29283569.000000,,9915623.000000,210594.000000,,46373930.000000,11199924.000000,67700071.000000,82481.000000,127104883.000000,686268896.000000,,3762435.000000,,591648114.000000,1125220.000000,68294107.000000,,1013663.000000,,662081104.000000,20425357.000000,686268896.000000,813373779.000000,,45933063.000000,131346228.000000,-76439238.000000,137.000000,-8908562.000000,91931628.000000,905305407.000000,8216846000.000000
12M 2015,,,70617505.000000,,137592636.000000,137592636.000000,,137592636.000000,1627182.000000,469672.000000,1157510.000000,1627182.000000,19819909.000000,78184753.000000,307841985.000000,,942469.000000,942469.000000,942469.000000,,,7252920.000000,,379305958.000000,,,,136452729.000000,523954076.000000,831796061.000000,,,102527797.000000,,,26460818.000000,26460818.000000,,441041.000000,441041.000000,621776.000000,25280961.000000,,16604644.000000,315140.000000,,30402476.000000,2344345.000000,49666605.000000,56596.000000,102527797.000000,644268175.000000,,,,559687367.000000,810080.000000,53824998.000000,,,,614322445.000000,29945730.000000,644268175.000000,746795972.000000,,46051790.000000,131407965.000000,-91196303.000000,138.000000,-1263501.000000,85000089.000000,831796061.000000,8276878732.000000
12M 2016,,,66935259.000000,,144483975.000000,144483975.000000,,144483975.000000,1861745.000000,429242.000000,1432503.000000,1861745.000000,18293451.000000,67713604.000000,299288034.000000,,,,,,,8388066.000000,,405926630.000000,,,,168672974.000000,582987670.000000,882275704.000000,,,219305122.000000,,,79613100.000000,79613100.000000,,1064053.000000,1064053.000000,6330024.000000,26579713.000000,,61033228.000000,356542.000000,,44264623.000000,,105654393.000000,63839.000000,219305122.000000,536501797.000000,,,,406620201.000000,453538.000000,94289167.000000,,,,501362906.000000,35138891.000000,536501797.000000,755806919.000000,,46233674.000000,131948946.000000,-54434135.000000,153.000000,2720147.000000,126468785.000000,882275704.000000,8325016732.000000
12M 2017,,,67502601.000000,,174777002.000000,174777002.000000,,174777002.000000,3042451.000000,1159161.000000,1883290.000000,3042451.000000,28427255.000000,79164032.000000,352913341.000000,,3889707.000000,3889707.000000,3889707.000000,,,8685080.000000,,484369495.000000,,,,95723789.000000,592668071.000000,945581412.000000,,,218393751.000000,,,101583147.000000,101583147.000000,,273203.000000,273203.000000,4881203.000000,44266603.000000,,11779725.000000,386135.000000,,55177594.000000,,67343454.000000,46141.000000,218393751.000000,550019685.000000,,,,39544143.000000,67403.000000,123770738.000000,338697386.000000,,,502079670.000000,47940015.000000,550019685.000000,768413436.000000,,47086785.000000,140691246.000000,-11644377.000000,173.000000,1034149.000000,177167976.000000,945581412.000000,8553342132.000000
