Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Final,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,25103633.000000,-14300720.000000,10802913.000000,-1295664.000000,-1295664.000000,,-1295664.000000,9507249.000000,-4964161.000000,4528.000000,-4656139.000000,378378.000000,-690928.000000,-4964161.000000,4543088.000000,160362.000000,4703450.000000,-5108.000000,4698342.000000,4703450.000000,4703450.000000,,4703450.000000,4698342.000000,4698342.000000,,4698342.000000
12M 2016,12760399.000000,-12715931.000000,44468.000000,-5201818.000000,-5201818.000000,,-5201818.000000,-5157350.000000,-2181634.000000,1684278.000000,-3538708.000000,-107469.000000,-219735.000000,-2181634.000000,-7338984.000000,532607.000000,-6806377.000000,13568.000000,-6792809.000000,-6806377.000000,-6806377.000000,,-6806377.000000,-6792809.000000,-6792809.000000,,-6792809.000000
12M 2017,14839558.000000,-12473369.000000,2366189.000000,-1282868.000000,-1123089.000000,-159779.000000,-1282868.000000,1083321.000000,-4273420.000000,2634.000000,-3139452.000000,-27095.000000,-1109507.000000,-4273420.000000,-3190099.000000,33168.000000,-3156931.000000,27829.000000,-3129102.000000,-3156931.000000,-3156931.000000,,-3156931.000000,-3129102.000000,-3129102.000000,,-3129102.000000
12M 2018,15266069.000000,-15231124.000000,34945.000000,-1084525.000000,-922518.000000,-162007.000000,-1084525.000000,-1049580.000000,-2860680.000000,59215.000000,-2903825.000000,27050.000000,-43120.000000,-2860680.000000,-3910260.000000,72262.000000,-3837998.000000,14780.000000,-3823218.000000,-3837998.000000,-3837998.000000,,-3837998.000000,-3823218.000000,-3823218.000000,,-3823218.000000
12M 2019,15541452.000000,-14497974.000000,1043478.000000,-1822860.000000,-1790275.000000,-32585.000000,-1822860.000000,-779382.000000,-9441390.000000,8939.000000,-2844590.000000,-149560.000000,-6456179.000000,-9441390.000000,-10220772.000000,23489.000000,-10197283.000000,-14768.000000,-10212051.000000,-10197283.000000,-10197283.000000,,-10197283.000000,-10212051.000000,-10212051.000000,,-10212051.000000
12M 2020,15220802.000000,-13047336.000000,2173466.000000,-1124431.000000,-1109558.000000,-14873.000000,-1124431.000000,1049035.000000,-1579316.000000,6367.000000,-1897725.000000,219355.000000,92687.000000,-1579316.000000,-530281.000000,-398946.000000,-929227.000000,3006.000000,-926221.000000,-929227.000000,-929227.000000,,-929227.000000,-926221.000000,-926221.000000,,-926221.000000
12M 2021,11377720.000000,-11125173.000000,252547.000000,-752216.000000,-738811.000000,-13405.000000,-752216.000000,-499669.000000,-3903429.000000,7117.000000,-1763014.000000,-304109.000000,-1843423.000000,-3903429.000000,-4403098.000000,-24764.000000,-4427862.000000,7520.000000,-4420342.000000,-4427862.000000,-4427862.000000,,-4427862.000000,-4420342.000000,-4420342.000000,,-4420342.000000
12M 2022,11232942.000000,-10855004.000000,377938.000000,-739178.000000,-722898.000000,-16280.000000,-739178.000000,-361240.000000,-4509003.000000,3015.000000,-2206896.000000,-68905.000000,-2236217.000000,-4509003.000000,-4870243.000000,-2675.000000,-4872918.000000,13200.000000,-4859718.000000,-4872918.000000,-4872918.000000,,-4872918.000000,-4859718.000000,-4859718.000000,,-4859718.000000
12M 2023,11220746.000000,-10160372.000000,1060374.000000,-492528.000000,-458478.000000,-34050.000000,-492528.000000,567846.000000,-5974467.000000,6112.000000,-1113007.000000,-259214.000000,-4608358.000000,-5974467.000000,-5406621.000000,408324.000000,-4998297.000000,8789.000000,-4989508.000000,-4998297.000000,-4998297.000000,,-4998297.000000,-4989508.000000,-4989508.000000,,-4989508.000000
12M 2024,5082099.000000,-7227923.000000,-2145824.000000,-944496.000000,-944496.000000,,-944496.000000,-3090320.000000,-3830350.000000,77572.000000,-732292.000000,739550.000000,-3915180.000000,-3830350.000000,-6920670.000000,-477410.000000,-7398080.000000,13775.000000,-7384305.000000,-7398080.000000,-7398080.000000,,-7398080.000000,-7384305.000000,-7384305.000000,,-7384305.000000
