Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Obligasi Konversi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Obligasi Konversi,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pemegang Saham,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,,3857681.000000,4374637.000000,,,4374637.000000,38633.000000,,,38633.000000,791145.000000,9062096.000000,,112403081.000000,488324.000000,1867772.000000,114759177.000000,123821273.000000,,,25638665.000000,3433455.000000,,21936.000000,234550.000000,,8662238.000000,13286486.000000,21948724.000000,25638665.000000,60167309.000000,,49422984.000000,1832951.000000,51255935.000000,8760127.000000,151247.000000,60167309.000000,85805974.000000,,1343850.000000,,34663006.000000,,2008443.000000,38015299.000000,123821273.000000,12000.000000
12M 2016,,,2202528.000000,2621638.000000,,,2621638.000000,56470.000000,,,56470.000000,229227.000000,5109863.000000,,102410595.000000,1016946.000000,1283618.000000,104711159.000000,109821022.000000,,,4401690.000000,2262535.000000,,3532.000000,305623.000000,,1830000.000000,,1830000.000000,4401690.000000,53045630.000000,,51250590.000000,,51250590.000000,1623240.000000,171800.000000,53045630.000000,57447320.000000,,24481836.000000,,27856629.000000,,35237.000000,52373702.000000,109821022.000000,300000.000000
12M 2017,,,2796204.000000,3212829.000000,3212829.000000,,3212829.000000,73154.000000,,,73154.000000,269958.000000,6352145.000000,,93814755.000000,1041920.000000,8470055.000000,103326730.000000,109678875.000000,,,8246564.000000,1409112.000000,,3871.000000,233581.000000,,6600000.000000,,6600000.000000,8246564.000000,46244972.000000,,44450590.000000,,44450590.000000,1623240.000000,171142.000000,46244972.000000,54491536.000000,,30113735.000000,310840.000000,24699698.000000,,63066.000000,55187339.000000,109678875.000000,3750000000.000000
12M 2018,,,1574878.000000,2702318.000000,2702318.000000,,2702318.000000,239434.000000,,,239434.000000,393995.000000,4910625.000000,,86077953.000000,1109255.000000,8059645.000000,95246853.000000,100157478.000000,,,11850515.000000,1745347.000000,524201.000000,9273.000000,271694.000000,,9300000.000000,,9300000.000000,11850515.000000,36942842.000000,,35150590.000000,,35150590.000000,1623240.000000,169012.000000,36942842.000000,48793357.000000,,30113735.000000,310840.000000,20861700.000000,,77846.000000,51364121.000000,100157478.000000,3750000000.000000
12M 2019,,,1513115.000000,2498317.000000,2498317.000000,,2498317.000000,1049239.000000,,,1049239.000000,412847.000000,5473518.000000,,76141550.000000,1145377.000000,4741161.000000,82028088.000000,87501606.000000,,,29116047.000000,2164818.000000,6688928.000000,17204.000000,391079.000000,,19854018.000000,,19854018.000000,29116047.000000,17233347.000000,,15296605.000000,,15296605.000000,1623240.000000,313502.000000,17233347.000000,46349394.000000,,30113735.000000,310840.000000,10664417.000000,141.000000,63078.000000,41152211.000000,87501605.000000,37500000000.000000
12M 2020,,,2612659.000000,3365062.000000,3365062.000000,,3365062.000000,1886587.000000,,,1886587.000000,544637.000000,8408945.000000,,67993713.000000,745583.000000,4872467.000000,73611763.000000,82020708.000000,,,5642451.000000,826491.000000,683552.000000,2235.000000,432733.000000,,3697440.000000,,3697440.000000,5642451.000000,36168247.000000,,27943183.000000,,27943183.000000,1982942.000000,6242122.000000,36168247.000000,41810698.000000,,30113735.000000,310840.000000,9735190.000000,141.000000,50104.000000,40210010.000000,82020708.000000,37500000000.000000
12M 2021,,,1205837.000000,3624334.000000,3624334.000000,,3624334.000000,3693153.000000,,,3693153.000000,537272.000000,9060596.000000,,58251964.000000,718698.000000,2609486.000000,61580148.000000,70640744.000000,,,4552365.000000,288916.000000,634591.000000,4143.000000,270786.000000,,3353929.000000,,3353929.000000,4552365.000000,30298711.000000,,25039254.000000,,25039254.000000,1962236.000000,3297221.000000,30298711.000000,34851076.000000,,30113735.000000,310840.000000,5307328.000000,141.000000,57624.000000,35789668.000000,70640744.000000,37500000000.000000
12M 2022,,,2253815.000000,3291769.000000,3291769.000000,,3291769.000000,3612683.000000,1116235.000000,2496448.000000,3612683.000000,543293.000000,9701560.000000,,51282183.000000,712299.000000,1482103.000000,53476585.000000,63178145.000000,,,6161539.000000,733735.000000,234709.000000,2492.000000,430603.000000,,4760000.000000,,4760000.000000,6161539.000000,26086656.000000,,22277797.000000,,22277797.000000,2462860.000000,1345999.000000,26086656.000000,32248195.000000,,30113735.000000,310840.000000,434410.000000,141.000000,70824.000000,30929950.000000,63178145.000000,37500000000.000000
12M 2023,,,2385330.000000,3538995.000000,3538995.000000,,3538995.000000,5392400.000000,2199441.000000,3192959.000000,5392400.000000,657872.000000,11974597.000000,,41588468.000000,1118226.000000,1518387.000000,44225081.000000,56199678.000000,,,9882560.000000,2021276.000000,236955.000000,591278.000000,433051.000000,,6600000.000000,,6600000.000000,9882560.000000,20378829.000000,,15677797.000000,,15677797.000000,2462860.000000,2238172.000000,20378829.000000,30261389.000000,,30113735.000000,310840.000000,-4566040.000000,141.000000,79613.000000,25938289.000000,56199678.000000,37500000000.000000
12M 2024,,,3900073.000000,3571876.000000,3571876.000000,,3571876.000000,4531865.000000,885315.000000,3646550.000000,4531865.000000,80407.000000,12084221.000000,,19571355.000000,636930.000000,2272933.000000,22481218.000000,34565439.000000,,,2409961.000000,352581.000000,2194.000000,3463.000000,5723.000000,,2046000.000000,,2046000.000000,2409961.000000,13601494.000000,,12399578.000000,,12399578.000000,,1201916.000000,13601494.000000,16011455.000000,,30113735.000000,310840.000000,-11964120.000000,141.000000,93388.000000,18553984.000000,34565439.000000,37500000000.000000
