Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Penerimaan (Pembayaran) Pajak,Pembayaran Pajak Final,Penerimaan Klaim Asuransi,Penerimaan Pendapatan Keuangan,Pembayaran Beban Keuangan,Pembayaran Lain - Lain,Penerimaan Lain - Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pelepasan Aset Tetap,Uang Muka Perolehan Aset Tetap,Pinjaman Pihak Berelasi,Penurunan Jaminan,Penempatan Deposito Yang Dibatasi Penggunaannya,Pengurangan (Penambahan) Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Utang Bank,Pembayaran Utang Sewa Pembiayaan,Penerimaan Dari Penerbitan Saham,Penerimaan Utang Lain-Lain,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2015,11496913.000000,25383436.000000,-9223427.000000,-112802.000000,,,4528.000000,-4656139.000000,,101317.000000,11496913.000000,-2673421.000000,-2673421.000000,,,,,,,-2673421.000000,-7598296.000000,-6160523.000000,-1437773.000000,,,,,-7598296.000000,1225196.000000,2632485.000000,,3857681.000000
12M 2016,2707638.000000,14513398.000000,-8173062.000000,-27508.000000,,,1684278.000000,-3538708.000000,-1750760.000000,,2707638.000000,-85999.000000,-641882.000000,,,,,,555883.000000,-85999.000000,-4276792.000000,-5004632.000000,,727840.000000,,,,-4276792.000000,-1655153.000000,3857681.000000,,2202528.000000
12M 2017,-2312058.000000,14248367.000000,-13218713.000000,-45115.000000,-159779.000000,,2634.000000,-3139452.000000,,,-2312058.000000,-1007005.000000,-1225834.000000,,,,,,218829.000000,-1007005.000000,3912739.000000,-2030000.000000,,5942739.000000,,,,3912739.000000,593676.000000,2202528.000000,,2796204.000000
12M 2018,5438097.000000,15776580.000000,-7335452.000000,-32099.000000,-162007.000000,56315.000000,2900.000000,-2868140.000000,,,5438097.000000,-578328.000000,-901560.000000,,358048.000000,-87020.000000,,,52204.000000,-578328.000000,-6087824.000000,-6600000.000000,,,512176.000000,,,-6087824.000000,-1228055.000000,2796204.000000,6729.000000,1574878.000000
12M 2019,6278646.000000,15745453.000000,-7033879.000000,-4702.000000,-32585.000000,,8939.000000,-2404580.000000,,,6278646.000000,-817327.000000,-1798911.000000,,,1007995.000000,,,-26411.000000,-817327.000000,-5503853.000000,-9299967.000000,,,3796114.000000,,,-5503853.000000,-42534.000000,1574878.000000,-19229.000000,1513115.000000
12M 2020,6142724.000000,14354057.000000,-6529605.000000,-139142.000000,-14873.000000,,6367.000000,-1534080.000000,,,6142724.000000,-2087144.000000,-119952.000000,,,-1866448.000000,,,-100744.000000,-2087144.000000,-3150299.000000,-3510001.000000,,,,359702.000000,,-3150299.000000,905281.000000,1513115.000000,194263.000000,2612659.000000
12M 2021,4209806.000000,11118448.000000,-5619912.000000,-108940.000000,-13405.000000,589512.000000,7117.000000,-1763014.000000,,,4209806.000000,-2044373.000000,-446101.000000,39302.000000,,-1615117.000000,,,-22457.000000,-2044373.000000,-3268146.000000,-3247440.000000,,,,-20706.000000,,-3268146.000000,-1102713.000000,2612659.000000,-304109.000000,1205837.000000
12M 2022,1760728.000000,11565507.000000,-7703669.000000,119051.000000,-16280.000000,,3015.000000,-2206896.000000,,,1760728.000000,211558.000000,-211819.000000,,,414638.000000,,,8739.000000,211558.000000,-855403.000000,-1355386.000000,,,,499983.000000,,-855403.000000,1116883.000000,1205837.000000,-68905.000000,2253815.000000
12M 2023,6151138.000000,10973519.000000,-4235449.000000,554014.000000,-34050.000000,,6112.000000,-1113008.000000,,,6151138.000000,-1001050.000000,-274502.000000,,,-694267.000000,,,-32281.000000,-1001050.000000,-4759359.000000,-4760000.000000,,,,641.000000,,-4759359.000000,390729.000000,2253815.000000,-259214.000000,2385330.000000
12M 2024,-1115590.000000,5049219.000000,-5295797.000000,-214292.000000,,,77572.000000,-732292.000000,,,-1115590.000000,12208413.000000,-282163.000000,13788000.000000,,-688352.000000,,,-609072.000000,12208413.000000,-10317632.000000,-7832219.000000,,,-2462860.000000,-22553.000000,,-10317632.000000,775191.000000,2385330.000000,739550.000000,3900071.000000
