Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pasien,Pembayaran Kas Kepada Pemasok Dan Pihak Lainnya,Pembayaran Kas Kepada Karyawan,Penerimaan Kas Lain-Lain,Penerimaan Penghasilan Keuangan,Penerimaan (Pembayaran) Piutang Lain-Lain Jangka Panjang,Pembayaran Biaya Keuangan,Pembayaran Pajak Penghasilan Badan,Penerimaan Pengembalian Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Hasil Penjualan Aset Tetap,Perolehan Aset Lain-Lain,Uang Muka Untuk Perolehan Aset Tetap,Penempatan Aset Keuangan Lancar Lainnya,Penempatan Investasi Aset Keuangan,Pelepasan Investasi Aset Keuangan,Perolehan Penyertaan Saham,Pembayaran Disagio Atas Penambahan Investasi Pada Entitas Anak,Kontribusi Modal Dari Kepentingan Nonpengendali Di Entitas Anak,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Modal Disetor,Utang Bank,Penerimaan Pinjaman,Pembayaran Pinjaman,Pembayaran Utang Sewa,Pembayaran Utang Sewa Kepentingan Nonpengendali,Pembayaran Utang Sewa Pembiayaan,Penerimaan Utang Obligasi,Penerimaan Dari Setoran Modal,Program Kepemilikan Saham,Biaya Emisi Saham,Penerimaan Obligasi Wajib Konversi,Pembayaran Obligasi,Perolehan Saham Treasuri,Pembayaran Wesel Bayar Jangka Menengah,Kenaikan (Penurunan) Utang Pihak Berelasi,Biaya Penerbitan Utang Obligasi,Pembagian Dividen Tunai,Pembagian Dividen Tunai Kepada Kepentingan Non Pengendali,Pembagian Dividen Tunai Melalui Entitas Anak,Penerimaan Dari Penerbitan Saham Baru,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,480785000000.000000,2476419000000.000000,-1027219000000.000000,-783872000000.000000,14772000000.000000,8773000000.000000,,-115731000000.000000,-92357000000.000000,,480785000000.000000,-1461665000000.000000,259000000.000000,-18606000000.000000,-49517000000.000000,,,,-747010000000.000000,,,-646791000000.000000,-1461665000000.000000,1100136000000.000000,,,628630000000.000000,-104955000000.000000,,,-1270000000.000000,,,,,184600000000.000000,,,150000000000.000000,31239000000.000000,,-52352000000.000000,-51356000000.000000,,315600000000.000000,1100136000000.000000,119256000000.000000,203171000000.000000,322427000000.000000
12M 2018,241671000000.000000,2764129000000.000000,-1357407000000.000000,-991750000000.000000,40355000000.000000,20251000000.000000,,-125645000000.000000,-108262000000.000000,,241671000000.000000,-880948000000.000000,1273000000.000000,-4566000000.000000,-171176000000.000000,,,,-113493000000.000000,,,-592986000000.000000,-880948000000.000000,620651000000.000000,,,487146000000.000000,-754191000000.000000,,,-6236000000.000000,,,,-61638000000.000000,,,,-150000000000.000000,-163085000000.000000,,,-31454000000.000000,,1300109000000.000000,620651000000.000000,-18626000000.000000,322427000000.000000,303801000000.000000
12M 2019,572580000000.000000,3465756000000.000000,-1587729000000.000000,-1123131000000.000000,29753000000.000000,31020000000.000000,,-114413000000.000000,-128676000000.000000,,572580000000.000000,-605667000000.000000,647000000.000000,-19215000000.000000,-127473000000.000000,,,,-12566000000.000000,,1409000000.000000,-448469000000.000000,-605667000000.000000,322541000000.000000,,,959616000000.000000,-530747000000.000000,,,-134000000.000000,,,,,,,,,-44205000000.000000,,-32703000000.000000,-29286000000.000000,,,322541000000.000000,289454000000.000000,303801000000.000000,593255000000.000000
12M 2020,1126485000000.000000,4221702000000.000000,-1578023000000.000000,-1272312000000.000000,70977000000.000000,32881000000.000000,,-135493000000.000000,-228398000000.000000,15151000000.000000,1126485000000.000000,-1036179000000.000000,893000000.000000,-26263000000.000000,-228997000000.000000,,-121157000000.000000,,,,,-660655000000.000000,-1036179000000.000000,181016000000.000000,20000000000.000000,,355677000000.000000,-538398000000.000000,-2285000000.000000,,-139000000.000000,446500000000.000000,,,,,,-60592000000.000000,,35657000000.000000,-1447000000.000000,-35569000000.000000,-38388000000.000000,,,181016000000.000000,271322000000.000000,593255000000.000000,864577000000.000000
12M 2021,1856336000000.000000,5953321000000.000000,-2264024000000.000000,-1524725000000.000000,80529000000.000000,23232000000.000000,,-149864000000.000000,-262133000000.000000,,1856336000000.000000,-1181479000000.000000,560000000.000000,-89325000000.000000,-364279000000.000000,,,120830000000.000000,,,,-849265000000.000000,-1181479000000.000000,-252916000000.000000,,,321662000000.000000,-216156000000.000000,-5956000000.000000,,-88000000.000000,,,,,,,-228932000000.000000,,,,-73517000000.000000,-49929000000.000000,,,-252916000000.000000,421941000000.000000,864577000000.000000,1286518000000.000000
12M 2022,867738000000.000000,5042496000000.000000,-2354498000000.000000,-1528114000000.000000,71419000000.000000,32548000000.000000,,-140545000000.000000,-256982000000.000000,1414000000.000000,867738000000.000000,-1220705000000.000000,1304000000.000000,-92884000000.000000,-432494000000.000000,,-115000000.000000,,,,,-696516000000.000000,-1220705000000.000000,-158604000000.000000,67434000000.000000,,349913000000.000000,-379093000000.000000,-4226000000.000000,,,99673000000.000000,,,,,,-163383000000.000000,,,-327000000.000000,-86664000000.000000,-41931000000.000000,,,-158604000000.000000,-511571000000.000000,1286518000000.000000,774947000000.000000
12M 2023,1319655000000.000000,5730782000000.000000,-2506677000000.000000,-1721041000000.000000,38186000000.000000,31978000000.000000,,-140701000000.000000,-112872000000.000000,,1319655000000.000000,-1677866000000.000000,2498000000.000000,-89002000000.000000,-590515000000.000000,,,,,,,-1000847000000.000000,-1677866000000.000000,438476000000.000000,49015000000.000000,,1233863000000.000000,-286569000000.000000,-4077000000.000000,,,-425500000000.000000,,,,,,,,,,-101442000000.000000,-26814000000.000000,,,438476000000.000000,80265000000.000000,774947000000.000000,855212000000.000000
12M 2024,1137623000000.000000,6400713000000.000000,-2862521000000.000000,-2024232000000.000000,22101000000.000000,28029000000.000000,,-180527000000.000000,-247271000000.000000,1331000000.000000,1137623000000.000000,-2363470000000.000000,1542000000.000000,-83021000000.000000,-543830000000.000000,,,,,,,-1738161000000.000000,-2363470000000.000000,1013803000000.000000,167650000000.000000,,1436986000000.000000,-421293000000.000000,-3752000000.000000,,,,,,,,,,,,,-126565000000.000000,-39223000000.000000,,,1013803000000.000000,-212044000000.000000,855212000000.000000,643168000000.000000
