Period,Arus Kas Dari Aktivitas Operasi,"Pendapatan Bunga,Provisi Dan Komisi",Pendapatan Operasional Lainnya,Pendapatan Non Operasional,Beban Bunga Dan Beban Keuangan Lainnya,Keuntungan Selisih Kurs Mata Uang Asing - Bersih,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Beban Non Operasional,Pendapatan Diterima (Beban Dibayar) Lainnya - Neto,Pendapatan Diterima Lainnya,Beban Lainnya,Total Pendapatan Diterima (Beban Dibayar) Lainnya - Neto,Pembayaran Pajak Penghasilan,Penurunan(Kenaikan) Aset Operasi :,Penempatan Pada Bank Lain,Efek - Efek,Kredit,Tagihan Akseptasi,Tagihan Derivatif,Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Efek-Efek Yang Dimiliki Hingga Jatuh Tempo,Aset Lain-Lain,Total Penurunan(Kenaikan) Aset Operasi :,Kenaikan ( Penurunan ) Liabilitas Operasi:,Liabilitas Segera,Simpanan Dari Masyarakat,Simpanan Dan Simpanan Dari Bank Lain,Liabilitas Atas Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Liabilitas Akseptasi,Liabilitas Derivatif,Utang Pajak,Liabilitas Lain-Lain,Total Kenaikan ( Penurunan ) Liabilitas Operasi:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembelian Efek-Efek Yang Dimiliki Hingga Jatuh Tempo,Nilai Wajar Melalui Penghasilan Komprehensif Lain,Efek - Efek,Total Nilai Wajar Melalui Penghasilan Komprehensif Lain,Tersedia Untuk Dijual,Efek - Efek,Total Tersedia Untuk Dijual,Penerimaan Dari Efek-Efek Yang Jatuh Tempo,Akuisisi Pt Bank Antardaerah Setelah Dikurangi Kas Dan Setara Kas,Hasil Penjualan Properti Yang Terbengkalai,Hasil Penjualan Agunan Yang Diambil Alih,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Modal Subordinasi,Pembayaran Bunga Surat Berharga Subordinasi,Penerimaan Pinjaman Yang Diterima,Pembayaran Kredit Subordinasi,Penerimaan Setoran Modal,Penerimaan Dari Penerbitan Saham,Pembayaran Liabilitas Sewa,Biaya Emisi Saham,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,97402000000.000000,201863000000.000000,9357000000.000000,,-124181000000.000000,2007000000.000000,-27920000000.000000,-33296000000.000000,-8117000000.000000,,,,,,,50570000000.000000,485193000000.000000,-540156000000.000000,,,,,-2780000000.000000,-7173000000.000000,,53266000000.000000,,33230000000.000000,,,,-3954000000.000000,2320000000.000000,84862000000.000000,97402000000.000000,-41315000000.000000,,,,,,,,,,,,8769000000.000000,-50084000000.000000,-41315000000.000000,,,,,,,,,,,,56087000000.000000,174115000000.000000,8083000000.000000,238285000000.000000
12M 2009,53806000000.000000,247577000000.000000,11147000000.000000,,-162909000000.000000,7268000000.000000,-27701000000.000000,-35435000000.000000,-985000000.000000,,,,,,,46245000000.000000,-528447000000.000000,-153722000000.000000,-10540000000.000000,,,,13167000000.000000,-633297000000.000000,,-79288000000.000000,,718483000000.000000,,10540000000.000000,,-1417000000.000000,-177000000.000000,648141000000.000000,53806000000.000000,-45360000000.000000,,,,,,,,,,,,1519000000.000000,-46879000000.000000,-45360000000.000000,,,,,,,,,,,,8446000000.000000,238285000000.000000,-912000000.000000,245819000000.000000
12M 2010,184366000000.000000,342887000000.000000,9004000000.000000,,-196913000000.000000,3774000000.000000,-38387000000.000000,-62612000000.000000,,1078000000.000000,,,1078000000.000000,,,,186739000000.000000,-1371920000000.000000,7262000000.000000,,,,-5918000000.000000,-1183837000000.000000,,20939000000.000000,,1313972000000.000000,,-7262000000.000000,,-16414000000.000000,-1863000000.000000,1309372000000.000000,184366000000.000000,-34874000000.000000,,,,,,,,,,,,13316000000.000000,-48190000000.000000,-34874000000.000000,201436000000.000000,,,,,,202926000000.000000,,-1490000000.000000,,201436000000.000000,350928000000.000000,609487000000.000000,-3276000000.000000,957139000000.000000
12M 2011,380888000000.000000,503154000000.000000,,,-294411000000.000000,1197000000.000000,-67084000000.000000,-84117000000.000000,,3064000000.000000,,,3064000000.000000,,,,-79836000000.000000,-1664903000000.000000,1822000000.000000,,,,14461000000.000000,-1728456000000.000000,,-23612000000.000000,,2082642000000.000000,,-1822000000.000000,,-10401000000.000000,734000000.000000,2047541000000.000000,380888000000.000000,10473000000.000000,,,,,,,,,,,,29776000000.000000,-19303000000.000000,10473000000.000000,,,,,,,,,,,,391361000000.000000,957139000000.000000,649000000.000000,1349149000000.000000
12M 2012,-53446000000.000000,596040000000.000000,,,-319156000000.000000,,-111202000000.000000,-112344000000.000000,,95742000000.000000,,,95742000000.000000,,,,-62751000000.000000,61196000000.000000,-2829000000.000000,,,,-22565000000.000000,-26949000000.000000,,4682000000.000000,,-204069000000.000000,,2829000000.000000,,-1576000000.000000,22557000000.000000,-175577000000.000000,-53446000000.000000,-10973000000.000000,,,,,,,,,,,,707000000.000000,-11680000000.000000,-10973000000.000000,103950000000.000000,,,,,,105192000000.000000,,-1242000000.000000,,103950000000.000000,39531000000.000000,1349149000000.000000,2798000000.000000,1391478000000.000000
12M 2013,153644000000.000000,672934000000.000000,25133000000.000000,,-353330000000.000000,,-70610000000.000000,-115756000000.000000,,-57345000000.000000,,,-57345000000.000000,,,,-76697000000.000000,-958630000000.000000,-30401000000.000000,,,,-6013000000.000000,-1071741000000.000000,,-1258000000.000000,,1103476000000.000000,,30401000000.000000,,-9169000000.000000,909000000.000000,1124359000000.000000,153644000000.000000,-9956000000.000000,,,,,,,,1157000000.000000,,,,1760000000.000000,-12873000000.000000,-9956000000.000000,201408000000.000000,,,,,,203435000000.000000,,-2027000000.000000,,201408000000.000000,345096000000.000000,1391478000000.000000,,1736574000000.000000
12M 2014,634979000000.000000,913315000000.000000,,,-592995000000.000000,,-79199000000.000000,-134494000000.000000,,-21318000000.000000,,,-21318000000.000000,-25187000000.000000,,,364855000000.000000,-1424603000000.000000,31443000000.000000,,,,-1530000000.000000,-1029835000000.000000,,-1085000000.000000,,1633742000000.000000,,-31443000000.000000,,3069000000.000000,409000000.000000,1604692000000.000000,634979000000.000000,-580900000000.000000,-513847000000.000000,,,,,,,9007000000.000000,,,,1960000000.000000,-78020000000.000000,-580900000000.000000,50114000000.000000,50000000000.000000,,,,,114000000.000000,,,,50114000000.000000,104193000000.000000,1736574000000.000000,2316000000.000000,1843083000000.000000
12M 2015,-179110000000.000000,1015953000000.000000,,,-629213000000.000000,,-108022000000.000000,-150914000000.000000,,-16439000000.000000,,,-16439000000.000000,-19804000000.000000,,,49436000000.000000,-331369000000.000000,3243000000.000000,,,,-157159000000.000000,-435849000000.000000,,16241000000.000000,,151803000000.000000,,-3243000000.000000,,2048000000.000000,-1671000000.000000,165178000000.000000,-179110000000.000000,240487000000.000000,-550000000000.000000,,,,,,,812572000000.000000,,,,5140000000.000000,-27225000000.000000,240487000000.000000,74700000000.000000,-50000000000.000000,,,,,124700000000.000000,,,,74700000000.000000,136077000000.000000,1843083000000.000000,14448000000.000000,1993608000000.000000
12M 2016,-467961000000.000000,1089170000000.000000,,,-600406000000.000000,,-172048000000.000000,-199624000000.000000,,-15302000000.000000,,,-15302000000.000000,-38427000000.000000,,,-1103000000.000000,183370000000.000000,,,-64469000000.000000,,-123074000000.000000,-5276000000.000000,,-40805000000.000000,,-492413000000.000000,,,,180000000.000000,6990000000.000000,-526048000000.000000,-467961000000.000000,-301673000000.000000,-309283000000.000000,,,,,,,671000000.000000,42388000000.000000,,,3083000000.000000,-38532000000.000000,-301673000000.000000,968215000000.000000,,,,,,1010566000000.000000,,-42351000000.000000,,968215000000.000000,198581000000.000000,1993608000000.000000,-8005000000.000000,2184184000000.000000
12M 2017,1487071000000.000000,1185825000000.000000,,,-567376000000.000000,,-230041000000.000000,-233503000000.000000,,-37875000000.000000,,,-37875000000.000000,-32071000000.000000,,,-26602000000.000000,-1880168000000.000000,-15236000000.000000,,149334000000.000000,-146827000000.000000,-147006000000.000000,-2066505000000.000000,,22367000000.000000,,3341740000000.000000,,15236000000.000000,,2018000000.000000,87256000000.000000,3468617000000.000000,1487071000000.000000,-760552000000.000000,-965811000000.000000,,,,,,,482162000000.000000,,,,498000000.000000,-277401000000.000000,-760552000000.000000,,,,,,,,,,,,726519000000.000000,2184184000000.000000,-967000000.000000,2909736000000.000000
