Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Others,Total Pinjaman Yang Diberikan,Aset Tetap,Others,Total Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Others,Total Aset Tak Berwujud,Goodwill,Adjustment,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Others,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Pinjaman Yang Diterima,Surat Berharga Yang Diterbitkan,Liabilitas Akseptasi,Utang Pajak,Beban Akrual,Liabilitas Pajak Tangguhan,Obligasi Subordinasi,Adjustment,Others,Total Liabilitas,Ekuitas,Modal Saham,Others,Total Modal Saham,Tambahan Modal Disetor,Tambahan Modal Disetor,Others,Total Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Others,Total Saldo Laba,Adjustment,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,55543000000.000000,79299000000.000000,,45783000000.000000,45783000000.000000,,81679000000.000000,1327804000000.000000,,1409483000000.000000,,77252000000.000000,77252000000.000000,3754000000.000000,,,,,,423551000000.000000,2094665000000.000000,,,83465000000.000000,1678972000000.000000,123146000000.000000,1555826000000.000000,,1678972000000.000000,45916000000.000000,,,,3716000000.000000,,,,,20606000000.000000,1832675000000.000000,,274225000000.000000,274225000000.000000,274225000000.000000,27446000000.000000,,27446000000.000000,27446000000.000000,-28209000000.000000,,,-28209000000.000000,-28209000000.000000,,-11472000000.000000,261990000000.000000,2094665000000.000000,2742245170.000000
12M 2009,,42701000000.000000,117527000000.000000,,,,,45685000000.000000,1514371000000.000000,,1560056000000.000000,,116690000000.000000,116690000000.000000,5933000000.000000,,,,,,955967000000.000000,2798874000000.000000,,,4177000000.000000,2421260000000.000000,122633000000.000000,2298627000000.000000,,2421260000000.000000,22111000000.000000,,,10540000000.000000,10971000000.000000,,,,,28423000000.000000,2497482000000.000000,,274225000000.000000,274225000000.000000,274225000000.000000,27446000000.000000,,27446000000.000000,27446000000.000000,-12140000000.000000,,,-12140000000.000000,-12140000000.000000,,11861000000.000000,301392000000.000000,2798874000000.000000,2742245170.000000
12M 2010,,68077000000.000000,292227000000.000000,,435000000000.000000,435000000000.000000,,35785000000.000000,2869661000000.000000,,2905446000000.000000,,141794000000.000000,141794000000.000000,8268000000.000000,,,,,,503648000000.000000,4354460000000.000000,,,,,,,,,,,,3278000000.000000,7132000000.000000,,,,,40171000000.000000,50581000000.000000,,375688000000.000000,375688000000.000000,375688000000.000000,127419000000.000000,,127419000000.000000,127419000000.000000,18313000000.000000,,18313000000.000000,,18313000000.000000,,,521420000000.000000,572001000000.000000,3756875883.000000
12M 2011,,108067000000.000000,410733000000.000000,,,,,35003000000.000000,4591930000000.000000,-71890000000.000000,4555043000000.000000,,121342000000.000000,121342000000.000000,6657000000.000000,,,,,,1250952000000.000000,6452794000000.000000,,,1504000000.000000,5813692000000.000000,697755000000.000000,5115937000000.000000,,5813692000000.000000,26293000000.000000,,,1456000000.000000,7281000000.000000,,,,,44934000000.000000,5895160000000.000000,,375688000000.000000,375688000000.000000,375688000000.000000,127418000000.000000,,127418000000.000000,127418000000.000000,54528000000.000000,,54528000000.000000,,54528000000.000000,,,557634000000.000000,6452794000000.000000,3756875883.000000
12M 2012,,117165000000.000000,407652000000.000000,,759152000000.000000,759152000000.000000,,8555000000.000000,4516690000000.000000,-32586000000.000000,4492659000000.000000,,114923000000.000000,114923000000.000000,2780000000.000000,,,,,,600915000000.000000,6495246000000.000000,,,3910000000.000000,5598481000000.000000,296349000000.000000,5302132000000.000000,,5598481000000.000000,37436000000.000000,,,4285000000.000000,20781000000.000000,,,,,74688000000.000000,5739581000000.000000,,428284000000.000000,428284000000.000000,428284000000.000000,178773000000.000000,,178773000000.000000,178773000000.000000,148608000000.000000,,148608000000.000000,,148608000000.000000,,,755665000000.000000,6495246000000.000000,4282838507.000000
12M 2013,,146425000000.000000,537349000000.000000,,747781000000.000000,747781000000.000000,,10461000000.000000,5473414000000.000000,-22590000000.000000,5461285000000.000000,,110578000000.000000,110578000000.000000,,,,,,,913796000000.000000,7917214000000.000000,,,2652000000.000000,6571488000000.000000,174878000000.000000,6396610000000.000000,,6571488000000.000000,167905000000.000000,,,34686000000.000000,11612000000.000000,,4095000000.000000,,,89397000000.000000,6881835000000.000000,,591032000000.000000,591032000000.000000,591032000000.000000,217433000000.000000,,217433000000.000000,217433000000.000000,226914000000.000000,,226914000000.000000,,226914000000.000000,,,1035379000000.000000,7917214000000.000000,5910324430.000000
12M 2014,,127288000000.000000,680967000000.000000,,689890000000.000000,689890000000.000000,,13173000000.000000,6895305000000.000000,-23612000000.000000,6884866000000.000000,,307058000000.000000,307058000000.000000,,,,,,,1079522000000.000000,9769591000000.000000,,,1567000000.000000,8188680000000.000000,305623000000.000000,7883057000000.000000,,8188680000000.000000,184455000000.000000,,,3243000000.000000,13239000000.000000,,4540000000.000000,50000000000.000000,,103728000000.000000,8549452000000.000000,,591089000000.000000,591089000000.000000,591089000000.000000,217490000000.000000,,217490000000.000000,217490000000.000000,294334000000.000000,,294334000000.000000,,294334000000.000000,,117226000000.000000,1220139000000.000000,9769591000000.000000,5910894430.000000
12M 2015,,121977000000.000000,647137000000.000000,,480880000000.000000,480880000000.000000,,12847000000.000000,7248070000000.000000,-29046000000.000000,7231871000000.000000,,297466000000.000000,297466000000.000000,,,,,,,1309790000000.000000,10089121000000.000000,,,17807000000.000000,8359702000000.000000,102019000000.000000,8257683000000.000000,,8359702000000.000000,165237000000.000000,,,,25549000000.000000,,1927000000.000000,,,105167000000.000000,8675389000000.000000,,653629000000.000000,653629000000.000000,653629000000.000000,279650000000.000000,,279650000000.000000,279650000000.000000,378513000000.000000,,378513000000.000000,,378513000000.000000,,101940000000.000000,1413732000000.000000,10089121000000.000000,6536286535.000000
12M 2016,,158851000000.000000,703906000000.000000,,1013370000000.000000,1013370000000.000000,,12642000000.000000,8217097000000.000000,-66976000000.000000,8162763000000.000000,,504308000000.000000,504308000000.000000,,,,,190075000000.000000,,1524118000000.000000,12257391000000.000000,,,15664000000.000000,9518000000000.000000,230476000000.000000,9287524000000.000000,,9518000000000.000000,167589000000.000000,,,,14904000000.000000,,7855000000.000000,,,137195000000.000000,9861207000000.000000,,1663146000000.000000,1663146000000.000000,1663146000000.000000,238348000000.000000,,238348000000.000000,238348000000.000000,407856000000.000000,,407856000000.000000,,407856000000.000000,,86834000000.000000,2396184000000.000000,12257391000000.000000,16631460751.000000
12M 2017,,186976000000.000000,991736000000.000000,,1552867000000.000000,1552867000000.000000,,19968000000.000000,10089939000000.000000,-90628000000.000000,10019279000000.000000,,781708000000.000000,781708000000.000000,,,,,190075000000.000000,,2066097000000.000000,15788738000000.000000,,,38031000000.000000,12713399000000.000000,120114000000.000000,12593285000000.000000,,12713399000000.000000,313930000000.000000,,,15236000000.000000,16921000000.000000,,108000000.000000,,,247318000000.000000,13344943000000.000000,,1663146000000.000000,1663146000000.000000,1663146000000.000000,238348000000.000000,,238348000000.000000,238348000000.000000,471779000000.000000,,471779000000.000000,,471779000000.000000,,70522000000.000000,2443795000000.000000,15788738000000.000000,16631460751.000000
