Period,Total Pendapatan,Pendapatan Bunga,Others,Total Pendapatan Bunga,Provisi Dan Komisi Kredit,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Others,Total Beban Bunga,Beban Provisi Dan Komisi,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Provisi Dan Komisi Lainnya,Laba (Rugi) Selisih Kurs,Keuntungan Dari Perubahan Nilai Wajar Efek-Efek,Pemulihan Kerugian Atas Aset Non-Produktif,Pemulihan Kerugian Atas Aset Produktif,Pemulihan Estimasi Kerugian Komitmen Dan Kontinjensi,Jasa Administrasi,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Kerugian Dari Penjualan Aset-Aset Keuangan,Others,Total Kerugian Dari Penjualan Aset-Aset Keuangan,Penurunan Nilai Wajar Aset Keuangan Yang Diperdagangkan,Others,Total Penurunan Nilai Wajar Aset Keuangan Yang Diperdagangkan,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Non-Keuangan,Beban Pemasaran,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Beban Kerugian Atas Aset Produktif,Beban Kerugian Atas Aset Non-Produktif,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,204737000000.000000,196416000000.000000,,196416000000.000000,8321000000.000000,204737000000.000000,-125677000000.000000,-125677000000.000000,,-125677000000.000000,,-125677000000.000000,79060000000.000000,-69242000000.000000,,2571000000.000000,1475000000.000000,,,,1905000000.000000,,9404000000.000000,15355000000.000000,,,,,,,,,,-41255000000.000000,-28042000000.000000,-14633000000.000000,-620000000.000000,-47000000.000000,-84597000000.000000,-69242000000.000000,9818000000.000000,-4996000000.000000,-4996000000.000000,-4996000000.000000,4822000000.000000,-1171000000.000000,-1509000000.000000,338000000.000000,-1171000000.000000,3651000000.000000,,,3651000000.000000,3651000000.000000,,3651000000.000000,,,,
12M 2009,252744000000.000000,241014000000.000000,,241014000000.000000,11730000000.000000,252744000000.000000,-165001000000.000000,-165001000000.000000,,-165001000000.000000,,-165001000000.000000,87743000000.000000,-66134000000.000000,,626000000.000000,141000000.000000,,,2663000000.000000,,,11146000000.000000,14576000000.000000,,,,,,,,,,-39941000000.000000,-35435000000.000000,,-3483000000.000000,-1851000000.000000,-80710000000.000000,-66134000000.000000,21609000000.000000,1470000000.000000,1470000000.000000,1470000000.000000,23079000000.000000,-7010000000.000000,-9189000000.000000,2179000000.000000,-7010000000.000000,16069000000.000000,,,16069000000.000000,16069000000.000000,,16069000000.000000,,,,
12M 2010,337211000000.000000,337211000000.000000,,337211000000.000000,,337211000000.000000,-201248000000.000000,-201248000000.000000,,-201248000000.000000,,-201248000000.000000,135963000000.000000,-102297000000.000000,,1545000000.000000,746000000.000000,,24000000.000000,,,,43293000000.000000,45608000000.000000,,,,,,,,,,-53581000000.000000,-64686000000.000000,-26792000000.000000,,-2846000000.000000,-147905000000.000000,-102297000000.000000,33666000000.000000,4147000000.000000,4147000000.000000,4147000000.000000,37813000000.000000,-9520000000.000000,-12575000000.000000,3055000000.000000,-9520000000.000000,28293000000.000000,,,28293000000.000000,28293000000.000000,,28293000000.000000,,,,
12M 2011,490312000000.000000,490312000000.000000,,490312000000.000000,,490312000000.000000,-298890000000.000000,-298890000000.000000,,-298890000000.000000,,-298890000000.000000,191422000000.000000,-143047000000.000000,,18918000000.000000,1902000000.000000,1470000000.000000,10337000000.000000,,,,14922000000.000000,47549000000.000000,,,,,,,,,,-91763000000.000000,-82604000000.000000,-15362000000.000000,,-867000000.000000,-190596000000.000000,-143047000000.000000,48375000000.000000,,,,48375000000.000000,-12161000000.000000,-10550000000.000000,-1611000000.000000,-12161000000.000000,36214000000.000000,,36214000000.000000,36214000000.000000,36214000000.000000,,36214000000.000000,36214000000.000000,36214000000.000000,,36214000000.000000
12M 2012,598070000000.000000,598070000000.000000,,598070000000.000000,,598070000000.000000,-330137000000.000000,-330137000000.000000,,-330137000000.000000,,-330137000000.000000,267933000000.000000,-140675000000.000000,,20687000000.000000,2798000000.000000,526000000.000000,3796000000.000000,28142000000.000000,,,422000000.000000,56371000000.000000,,,,,,,,,,-90058000000.000000,-106988000000.000000,,,,-197046000000.000000,-140675000000.000000,127258000000.000000,760000000.000000,760000000.000000,760000000.000000,128018000000.000000,-33937000000.000000,-30060000000.000000,-3877000000.000000,-33937000000.000000,94081000000.000000,,94081000000.000000,94081000000.000000,94081000000.000000,,94081000000.000000,94081000000.000000,94081000000.000000,,94081000000.000000
12M 2013,649136000000.000000,649136000000.000000,,649136000000.000000,,649136000000.000000,-361037000000.000000,-361037000000.000000,,-361037000000.000000,,-361037000000.000000,288099000000.000000,33291000000.000000,,27182000000.000000,2621000000.000000,,-548000000.000000,8088000000.000000,,,2512000000.000000,39855000000.000000,,,,,,,,,,,,,,-6564000000.000000,-6564000000.000000,33291000000.000000,321390000000.000000,-202682000000.000000,-202682000000.000000,-202682000000.000000,118708000000.000000,-40402000000.000000,-40402000000.000000,,-40402000000.000000,78306000000.000000,,78306000000.000000,78306000000.000000,78306000000.000000,,78306000000.000000,78306000000.000000,78306000000.000000,,78306000000.000000
12M 2014,899099000000.000000,899099000000.000000,,899099000000.000000,,899099000000.000000,-602597000000.000000,-602597000000.000000,,-602597000000.000000,,-602597000000.000000,296502000000.000000,-231756000000.000000,,19527000000.000000,2315000000.000000,,,-3540000000.000000,,,-930000000.000000,17372000000.000000,,,,,,,,,,-114693000000.000000,-131390000000.000000,,,-3045000000.000000,-249128000000.000000,-231756000000.000000,64746000000.000000,6702000000.000000,6702000000.000000,6702000000.000000,71448000000.000000,-18572000000.000000,-18572000000.000000,,-18572000000.000000,52876000000.000000,131770000000.000000,184646000000.000000,52876000000.000000,52876000000.000000,,52876000000.000000,184646000000.000000,184646000000.000000,,184646000000.000000
12M 2015,1000742000000.000000,1000742000000.000000,,1000742000000.000000,,1000742000000.000000,-625206000000.000000,-625206000000.000000,,-625206000000.000000,,-625206000000.000000,375536000000.000000,-283551000000.000000,,19622000000.000000,4176000000.000000,,35000000.000000,-14598000000.000000,,,-4822000000.000000,4413000000.000000,,,,,,,,,,-142611000000.000000,-150913000000.000000,,,5560000000.000000,-287964000000.000000,-283551000000.000000,91985000000.000000,4543000000.000000,4543000000.000000,4543000000.000000,96528000000.000000,-29150000000.000000,-29150000000.000000,,-29150000000.000000,67378000000.000000,575000000.000000,67953000000.000000,67378000000.000000,67378000000.000000,,67378000000.000000,67953000000.000000,67953000000.000000,,67953000000.000000
12M 2016,1067322000000.000000,1067322000000.000000,,1067322000000.000000,,1067322000000.000000,-590099000000.000000,-590099000000.000000,,-590099000000.000000,,-590099000000.000000,477223000000.000000,-401327000000.000000,,23732000000.000000,4819000000.000000,,,-12076000000.000000,,,-210000000.000000,16265000000.000000,,,,,,,,,,-219066000000.000000,-199624000000.000000,,,1098000000.000000,-417592000000.000000,-401327000000.000000,75896000000.000000,3549000000.000000,3549000000.000000,3549000000.000000,79445000000.000000,-57267000000.000000,-57267000000.000000,,-57267000000.000000,22178000000.000000,,22178000000.000000,22178000000.000000,22178000000.000000,,22178000000.000000,22178000000.000000,22178000000.000000,,22178000000.000000
12M 2017,1147285000000.000000,1147285000000.000000,,1147285000000.000000,,1147285000000.000000,-572548000000.000000,-572548000000.000000,,-572548000000.000000,,-572548000000.000000,574737000000.000000,-501084000000.000000,,37356000000.000000,-967000000.000000,,-29848000000.000000,-34677000000.000000,,,1334000000.000000,-26802000000.000000,,,,,,,,,,-247718000000.000000,-228595000000.000000,,,2031000000.000000,-474282000000.000000,-501084000000.000000,73653000000.000000,1664000000.000000,1664000000.000000,1664000000.000000,75317000000.000000,-25418000000.000000,-25418000000.000000,,-25418000000.000000,49899000000.000000,,49899000000.000000,49899000000.000000,49899000000.000000,,49899000000.000000,49899000000.000000,49899000000.000000,,49899000000.000000
