Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Properti Investasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Sewa Pembiayaan,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,500108844.000000,,480821323.000000,480821323.000000,480821323.000000,125801320.000000,125801320.000000,125801320.000000,9041449.000000,1058324483.000000,2174097419.000000,,126442990807.000000,2761145466.000000,1855001259.000000,131059137532.000000,133233234951.000000,,,46897302598.000000,1950677306.000000,,1596596880.000000,1596596880.000000,,17588374478.000000,19025509.000000,17607399987.000000,51866318.000000,112615529.000000,27020000.000000,,14967881750.000000,14967881750.000000,10583244828.000000,46897302598.000000,40807016025.000000,,31778675049.000000,31778675049.000000,9028340976.000000,40807016025.000000,87704318623.000000,,250000000.000000,7379456000.000000,37900316741.000000,,37900316741.000000,37900316741.000000,,-856413.000000,45528916328.000000,133233234951.000000,250.000000
12M 2020,,,693781784.000000,,161512673.000000,161512673.000000,161512673.000000,220965907.000000,220965907.000000,220965907.000000,,1695997108.000000,2772257472.000000,,134181389199.000000,2233305693.000000,2586555100.000000,139001249992.000000,141773507464.000000,,,44313373376.000000,126912159.000000,,90076212.000000,90076212.000000,,20185512396.000000,20630000.000000,20206142396.000000,24265795.000000,160540924.000000,,,8785464810.000000,8785464810.000000,14919971080.000000,44313373376.000000,50078556678.000000,,25952411774.000000,25952411774.000000,24126144904.000000,50078556678.000000,94391930054.000000,,250000000.000000,7379456000.000000,39757924220.000000,,39757924220.000000,39757924220.000000,,-5802810.000000,47381577410.000000,141773507464.000000,250.000000
12M 2021,,,2375742567.000000,,85181706.000000,85181706.000000,85181706.000000,34848710.000000,34848710.000000,34848710.000000,,1610937280.000000,4106710263.000000,,239709081110.000000,620136696.000000,4363812138.000000,244693029944.000000,248799740207.000000,,,25809858799.000000,,,23851972.000000,23851972.000000,,,2000000.000000,2000000.000000,476906001.000000,157547128.000000,,,9040180898.000000,9040180898.000000,16109372800.000000,25809858799.000000,40950124268.000000,,16909585247.000000,16909585247.000000,24040539021.000000,40950124268.000000,66759983067.000000,,54675000000.000000,7379456000.000000,119992888090.000000,180000000.000000,119812888090.000000,119992888090.000000,,-7586950.000000,182039757140.000000,248799740207.000000,546750000.000000
12M 2022,,,846321112.000000,,61014281.000000,61014281.000000,61014281.000000,50241980.000000,50241980.000000,50241980.000000,,6324678711.000000,7282256084.000000,,260795981110.000000,429140512.000000,8070932242.000000,269296053864.000000,276578309948.000000,,,50549290879.000000,2911333412.000000,,180049675.000000,180049675.000000,,16000000000.000000,9629055.000000,16009629055.000000,115659850.000000,2109006486.000000,,,11862581160.000000,11862581160.000000,17361031241.000000,50549290879.000000,27418187479.000000,,7208495623.000000,7208495623.000000,20209691856.000000,27418187479.000000,77967478358.000000,,120285000000.000000,7379456000.000000,70970415719.000000,180000000.000000,70790415719.000000,70970415719.000000,,-24040129.000000,198610831590.000000,276578309948.000000,2405700000.000000
12M 2023,,,11281059725.000000,,376711317.000000,376711317.000000,376711317.000000,43995644.000000,43995644.000000,43995644.000000,,18385268578.000000,30087035264.000000,,485401900000.000000,282031389.000000,5689075344.000000,491373006733.000000,521460041997.000000,,,74576092564.000000,,,233437926.000000,233437926.000000,,,40730963977.000000,40730963977.000000,8152235.000000,608616949.000000,,,10458789464.000000,10458789464.000000,22536132013.000000,74576092564.000000,82140028139.000000,,63788456168.000000,63788456168.000000,18351571971.000000,82140028139.000000,156716120703.000000,,152785372350.000000,42100850736.000000,169765706567.000000,180000000.000000,169585706567.000000,169765706567.000000,,91991641.000000,364743921294.000000,521460041997.000000,3055704161.000000
12M 2024,,,8107488524.000000,,286906921.000000,286906921.000000,286906921.000000,4368935.000000,4368935.000000,4368935.000000,,16710810844.000000,25109575224.000000,,485231698805.000000,505296567.000000,4989401577.000000,490726396949.000000,515835972173.000000,,,72538328412.000000,32464272956.000000,,314420422.000000,314420422.000000,,,5000000000.000000,5000000000.000000,22409866.000000,677157237.000000,31800000.000000,,10084534165.000000,10084534165.000000,23943733766.000000,72538328412.000000,63741443132.000000,,53703922004.000000,53703922004.000000,10037521128.000000,63741443132.000000,136279771544.000000,,152785691150.000000,42102687024.000000,184552130997.000000,180000000.000000,184372130997.000000,184552130997.000000,,115691458.000000,379556200629.000000,515835972173.000000,3055713823.000000
