Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2019,0.05,0.05,1.07,2.93,0.0,0.0,1.06,0.37,1.93
12M 2020,0.06,0.06,0.74,2.99,0.0,0.0,0.72,0.25,1.99
12M 2021,0.16,0.16,0.14,1.37,0.0,0.0,0.13,0.1,0.37
12M 2022,0.14,0.14,0.11,1.39,0.0,0.0,0.11,0.08,0.39
12M 2023,0.4,0.4,0.2,1.43,0.0,0.0,0.17,0.14,0.43
12M 2024,0.35,0.35,0.25,1.36,0.0,0.0,0.23,0.19,0.36
