Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada :,Pemasok,Karyawan,Lainnya,Total Pembayaran Kas Kepada :,Penerimaan Bunga,Pembayaran Untuk :,Beban Bunga,Pajak Penghasilan,Total Pembayaran Untuk :,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Properti Investasi,Perolehan Aset Tetap,Pembayaran Uang Muka Aset Tidak Lancar Lainnya,Perolehan Aset Tidak Lancar Lainnya,Penerimaan Uang Jaminan Pelanggan,Pembayaran Uang Jaminan Pelanggan,Penempatan Investasi Jangka Pendek,Perolehan Hak Atas Tanah,Hasil Penjualan Aset Tetap Dan Properti Investasi,Pembayaran Uang Muka,Perolehan Biaya Tangguhan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Uang Jaminan Bank,Penerimaan Uang Jaminan Bank,Penerimaan Penawaran Umum Saham Perdana,Pembayaran Biaya Emisi Saham,Penerimaan Setoran Modal,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Lembaga Keuangan Non Bank,Pembayaran Sewa Pembiayaan,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,11324501112.000000,24320664048.000000,,-1400285820.000000,-1947256595.000000,-5577157725.000000,-8924700140.000000,2313620.000000,-4073776416.000000,,,-4073776416.000000,11324501112.000000,-18594412034.000000,-17739565803.000000,-84364480.000000,,,,,,,,-770481751.000000,,-18594412034.000000,7446804509.000000,-185000000.000000,,,,,2000000000.000000,-49322694.000000,33000000000.000000,-20090318312.000000,,-46320000.000000,28043566785.000000,-35225801270.000000,7446804509.000000,176893587.000000,323215257.000000,500108844.000000
12M 2020,21459079539.000000,38628933891.000000,,-3454657140.000000,-3438155042.000000,-5961447457.000000,-12854259639.000000,3621532.000000,,-4295123105.000000,-24093140.000000,-4319216245.000000,21459079539.000000,-10003079155.000000,-10307883155.000000,-55196000.000000,,,,,,,360000000.000000,,,-10003079155.000000,-11262327444.000000,,,,,,2495448112.000000,-4319213259.000000,3000000000.000000,-15008680215.000000,,-27020000.000000,35070475858.000000,-32473337940.000000,-11262327444.000000,193672940.000000,500108844.000000,693781784.000000
12M 2021,13342861435.000000,23078571073.000000,,-1504471413.000000,-2225908833.000000,-2986935632.000000,-6717315878.000000,2905852.000000,,-3005996665.000000,-15302947.000000,-3021299612.000000,13342861435.000000,-2283365658.000000,-2189357880.000000,-76811278.000000,,,,,,,1491808888.000000,-1509005388.000000,,-2283365658.000000,-9377534994.000000,-277000000.000000,,,,20000000000.000000,4206789645.000000,-4333701804.000000,,-8788110439.000000,,,16881210000.000000,-37066722396.000000,-9377534994.000000,1681960783.000000,693781784.000000,2375742567.000000
12M 2022,5959294763.000000,21099279176.000000,,-1492421660.000000,-2497631376.000000,-8523977679.000000,-12514030715.000000,3886070.000000,,-2591026165.000000,-38813603.000000,-2629839768.000000,5959294763.000000,-2170301386.000000,,-28633486.000000,-1115430200.000000,-1026237700.000000,,,,,,,,-2170301386.000000,-5318414832.000000,-403571314.000000,277000000.000000,,-1224487568.000000,,7076044523.000000,-4164711111.000000,18257582469.000000,-25136271831.000000,,,,,-5318414832.000000,-1529421455.000000,2375742567.000000,846321112.000000
12M 2023,13858117581.000000,28226772356.000000,,-3159842864.000000,-3263227492.000000,-6686101048.000000,-13109171404.000000,153261451.000000,,-1383560458.000000,-29184364.000000,-1412744822.000000,13858117581.000000,-108134469059.000000,-107101814250.000000,-82704809.000000,-1566950000.000000,,622000000.000000,-5000000.000000,,,,,,-108134469059.000000,104711090091.000000,,,70200000000.000000,-1756262432.000000,2517086.000000,9289768785.000000,-12201102197.000000,67038750000.000000,-11862581151.000000,,,-16000000000.000000,,104711090091.000000,10434738613.000000,846321112.000000,11281059725.000000
12M 2024,-39433617.000000,30547037373.000000,,-5380258138.000000,-4628948642.000000,-14383182461.000000,-24392389241.000000,40162496.000000,,-6213475477.000000,-20768768.000000,-6234244245.000000,-39433617.000000,-24991051135.000000,,-365286835.000000,,-25000000000.000000,900000000.000000,-94000000.000000,,,316578300.000000,-748342600.000000,,-24991051135.000000,21856913551.000000,,,,,2155088.000000,64433580592.000000,-31969307636.000000,,-10545914493.000000,,-63600000.000000,,,21856913551.000000,-3173571201.000000,11281059725.000000,8107488524.000000
