Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,0.00 B,5793930.94,0.00,0.00,9.89 B,1.09%,3.18%,11.26%,1.43
12M 2020,0.00 B,7430429.92,0.00,0.00,9.76 B,1.31%,3.92%,4.55%,1.77
12M 2021,0.55 B,209.71,0.00,0.00,14.55 B,46.09%,62.99%,8.88%,4.74
12M 2022,2.41 B,6.90,0.00,0.00,15.61 B,6.00%,8.35%,6.84%,5.64
12M 2023,3.06 B,32.33,1.89,7.26,13.55 B,18.95%,27.09%,3.91%,8.05
12M 2024,3.06 B,4.84,14.26,5.53,21.26 B,2.87%,3.90%,4.69%,3.24
