Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,17332926067.000000,-6110624738.000000,11222301329.000000,-6360071109.000000,-6360071109.000000,-6360071109.000000,4862230220.000000,-3397940684.000000,2313620.000000,-3400254304.000000,,-3397940684.000000,1464289536.000000,-15806802.000000,-15806802.000000,-15806802.000000,1448482734.000000,,1448482734.000000,-856113.000000,1447626621.000000,1448482734.000000,1448482734.000000,,1448482734.000000,1447626621.000000,1447626621.000000,,1447626621.000000
12M 2020,18902543070.000000,-7224300374.000000,11678242696.000000,-7494171514.000000,-7494171514.000000,-7494171514.000000,4184071182.000000,-2310510405.000000,3621532.000000,-2367967166.000000,53835229.000000,-2310510405.000000,1873560777.000000,-15953298.000000,-15953298.000000,-15953298.000000,1857607479.000000,,1857607479.000000,-4946397.000000,1852661082.000000,1857607479.000000,1857607479.000000,,1857607479.000000,1852661082.000000,1852661082.000000,,1852661082.000000
12M 2021,21900321887.000000,-1438247173.000000,20462074714.000000,-6228420350.000000,-6228420350.000000,-6228420350.000000,14233654364.000000,100453785928.000000,2905852.000000,-3005996665.000000,103456876741.000000,100453785928.000000,114687440292.000000,-27476422.000000,-27476422.000000,-27476422.000000,114659963870.000000,,114659963870.000000,-1784140.000000,114658179730.000000,114659963870.000000,114659963870.000000,,114659963870.000000,114658179730.000000,114658179730.000000,,114658179730.000000
12M 2022,23761241363.000000,-1481319363.000000,22279922000.000000,-6924938428.000000,-6924938428.000000,-6924938428.000000,15354983572.000000,1254576631.000000,3886070.000000,-2724419439.000000,3975110000.000000,1254576631.000000,16609560203.000000,-22032574.000000,-22032574.000000,-22032574.000000,16587527629.000000,,16587527629.000000,-16453179.000000,16571074450.000000,16587527629.000000,16587527629.000000,,16587527629.000000,16571074450.000000,16571074450.000000,,16571074450.000000
12M 2023,25685236163.000000,-3213231115.000000,22472005048.000000,-9322077799.000000,-9322077799.000000,-9322077799.000000,13149927249.000000,85673858516.000000,312929415.000000,-1633744001.000000,86994673102.000000,85673858516.000000,98823785765.000000,-28494917.000000,-28494917.000000,-28494917.000000,98795290848.000000,,98795290848.000000,116031770.000000,98911322618.000000,98795290848.000000,98795290848.000000,,98795290848.000000,98911322618.000000,98911322618.000000,,98911322618.000000
12M 2024,38112417791.000000,-5461240634.000000,32651177157.000000,-11792473367.000000,-11792473367.000000,-11792473367.000000,20858703790.000000,-6048452241.000000,244281670.000000,-6439111016.000000,146377105.000000,-6048452241.000000,14810251549.000000,-23827119.000000,-23827119.000000,-23827119.000000,14786424430.000000,,14786424430.000000,23699817.000000,14810124247.000000,14786424430.000000,14786424430.000000,,14786424430.000000,14810124247.000000,14810124247.000000,,14810124247.000000
