Period,Total Pendapatan,Penjualan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,190843805226.000000,,,190843805226.000000,-111179680789.000000,79664124437.000000,-59991019003.000000,-55756880898.000000,-4234138105.000000,-59991019003.000000,19673105434.000000,-49288346462.000000,,313381777.000000,415859264.000000,-38868952357.000000,-12687063991.000000,,1538428845.000000,-49288346462.000000,-29615241028.000000,-9900950856.000000,-39516191884.000000,-2007226.000000,-39518199110.000000,,,,,-39518199110.000000,-39516191884.000000,-2007226.000000,-39518199110.000000,,,,
12M 2009,202367772456.000000,,,202367772456.000000,-116730474662.000000,85637297794.000000,-59607925370.000000,-54902744078.000000,-4705181292.000000,-59607925370.000000,26029372424.000000,75082384833.000000,,13771270151.000000,551141886.000000,35755335462.000000,-8517325530.000000,,33521962864.000000,75082384833.000000,101111757257.000000,-17326800541.000000,83784956716.000000,,83784956716.000000,,,,,83784956716.000000,83784956716.000000,,83784956716.000000,,,,
12M 2010,380208336908.000000,,,380208336908.000000,-184314503298.000000,195893833610.000000,-67090284378.000000,-60096385298.000000,-6993899080.000000,-67090284378.000000,128803549232.000000,1380148991.000000,,1572658751.000000,2165061679.000000,3923142220.000000,-6732951721.000000,,452238062.000000,1380148991.000000,130183698223.000000,-24110736333.000000,106072961890.000000,,106072961890.000000,,,,,106072961890.000000,106072961890.000000,,106072961890.000000,,,,
12M 2011,356344278906.000000,,,356344278906.000000,-171056793180.000000,185287485726.000000,-76734974762.000000,-71318721910.000000,-5416252852.000000,-76734974762.000000,108552510964.000000,4648718270.000000,11858414869.000000,,2596757075.000000,-800407107.000000,-3322987278.000000,,-5683059289.000000,4648718270.000000,113201229234.000000,-22358868270.000000,90842360964.000000,,90842360964.000000,,,,90842360964.000000,90842360964.000000,90842360964.000000,,90842360964.000000,90842360964.000000,90842360964.000000,,90842360964.000000
12M 2012,297872638598.000000,,,297872638598.000000,-147528311233.000000,150344327365.000000,-99807264409.000000,-94623854268.000000,-5183410141.000000,-99807264409.000000,50537062956.000000,7751370557.000000,15269713424.000000,,2417256490.000000,-6243563205.000000,-3575403683.000000,,-116632469.000000,7751370557.000000,58288433513.000000,-18375292608.000000,39913140905.000000,,39913140905.000000,,,,39913140905.000000,39913140905.000000,39913140905.000000,,39913140905.000000,39913140905.000000,39913140905.000000,,39913140905.000000
12M 2013,252660725868.000000,,,252660725868.000000,-118975171133.000000,133685554735.000000,-115205200638.000000,-109234916140.000000,-5970284498.000000,-115205200638.000000,18480354097.000000,-19351644827.000000,10877388853.000000,,1647329354.000000,-27259418406.000000,-3999960215.000000,,-616984413.000000,-19351644827.000000,-871290730.000000,-23013178947.000000,-23884469677.000000,,-23884469677.000000,,,,-23884469677.000000,-23884469677.000000,-23884469677.000000,,-23884469677.000000,-23884469677.000000,-23884469677.000000,,-23884469677.000000
12M 2014,247295677198.000000,,,247295677198.000000,-122705248928.000000,124590428270.000000,-127310497432.000000,-121089171766.000000,-6221325666.000000,-127310497432.000000,-2720069162.000000,126287861566.000000,13516201109.000000,,1922027470.000000,24652244874.000000,-3331159670.000000,,89528547783.000000,126287861566.000000,123567792404.000000,-16510977835.000000,107056814569.000000,,107056814569.000000,,,,107056814569.000000,107056814569.000000,107056814569.000000,,107056814569.000000,107056814569.000000,107056814569.000000,,107056814569.000000
12M 2015,262234886917.000000,,,262234886917.000000,-125727788603.000000,136507098314.000000,-140376060679.000000,-134763444025.000000,-5612616654.000000,-140376060679.000000,-3868962365.000000,-18266951804.000000,5409179414.000000,,2176509110.000000,306422473.000000,-2295769749.000000,-16616847814.000000,-7246445238.000000,-18266951804.000000,-22135914169.000000,-1010374415.000000,-23146288584.000000,,-23146288584.000000,2264557395.000000,2264557395.000000,2264557395.000000,-20881731189.000000,-23146288584.000000,-23146288584.000000,,-23146288584.000000,-20881731189.000000,-20881731189.000000,,-20881731189.000000
12M 2016,242237199644.000000,,,242237199644.000000,-113436740700.000000,128800458944.000000,-153021046440.000000,-147035150949.000000,-5985895491.000000,-153021046440.000000,-24220587496.000000,340525101056.000000,18558729253.000000,,5724858968.000000,12303575714.000000,,-13704333311.000000,317642270432.000000,340525101056.000000,316304513560.000000,2090641883.000000,318395155443.000000,,318395155443.000000,-2977934947.000000,-2977934947.000000,-2977934947.000000,315417220496.000000,318395155443.000000,320822219484.000000,-2427064041.000000,318395155443.000000,315417220496.000000,318063671348.000000,-2646450852.000000,315417220496.000000
12M 2017,182508958373.000000,,,182508958373.000000,-101959522675.000000,80549435698.000000,-145825874887.000000,-140767984219.000000,-5057890668.000000,-145825874887.000000,-65276439189.000000,-2657995353.000000,21935183420.000000,,1841818425.000000,1147169297.000000,-4256345333.000000,-8634726480.000000,-14691094682.000000,-2657995353.000000,-67934434542.000000,1740591982.000000,-66193842560.000000,,-66193842560.000000,844432485.000000,844432485.000000,844432485.000000,-65349410075.000000,-66193842560.000000,-64305269689.000000,-1888572871.000000,-66193842560.000000,-65349410075.000000,-63724605755.000000,-1624804320.000000,-65349410075.000000
12M 2018,156507546904.000000,,,156507546904.000000,-97138872545.000000,59368674359.000000,-150789622013.000000,-145556979826.000000,-5232642187.000000,-150789622013.000000,-91420947654.000000,223742672298.000000,23687232697.000000,,409439356.000000,2320775912.000000,-9824777648.000000,-6793851911.000000,213943853892.000000,223742672298.000000,132321724644.000000,1644292973.000000,133966017617.000000,,133966017617.000000,10611592803.000000,10611592803.000000,10611592803.000000,144577610420.000000,133966017617.000000,136252658975.000000,-2286641358.000000,133966017617.000000,144577610420.000000,146525057768.000000,-1947447348.000000,144577610420.000000
