Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Pajak Penghasilan Final,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pemasok,Karyawan,Total Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Beban Bunga Dan Keuangan,Penerimaan Bunga Dari Aktivitas Operasi,Penerimaan Restuisi Pajak,Pembayaran Denda Pajak,Pembayaran Surat Ketetapan Pajak,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dividen Dari Entitas Asosiasi,Penurunan (Penerimaan) Piutang Lain-Lain,Penurunan Piutang Lain - Lain Pihak Ketiga,Penerimaan (Pembayaran) Uang Jaminan,Penerimaan Bunga,Pelunasan Pinjaman Kepada Pihak Ketiga,Pembayaran Deviden,Penambahan (Penurunan) Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Real Estat,Kenaikan Uang Muka,Pembayaran Uang Muka Pembelian Aset Tetap,Penerimaan Dividen Dari Investasi Ekuitas,Arus Kas Keluar Bersih Akuisisi Entitas Anak,Arus Kas Masuk Bersih Penjualan Entitas Anak,Penambahan (Pengurangan) Hutang Leasing,Penempatan Investasi Tersedia Untuk Dijual,Pencairan Investasi Tersedia Untuk Dijual,Penambahan Investasi Pada Entitas Asosiasi,Pembayaran Investasi Saham Kepada Kepentingan Nonpengendali,Penerimaan (Penempatan) Aset Keuangan Lainnya,Penambahan (Pencairan) Reksadana,Kenaikan (Penurunan) Beban Ditangguhkan,Total Penerimaan (Penempatan) Aset Keuangan Lainnya,Hasil Penjualan Properti Investasi,Kenaikan (Penurunan) Hutang Kepada Pihak Yang Mempunyai Hubungan Istimewa,Perolehan Aset Tetap,Penambahan Properti Investasi,Penambahan Aset Bangun Kelola Serah,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pemberian Pinjaman Kepada Pihak Ketiga,Penambahan Utang Bank,Pembayaran Hutang Bank,Penerimaan Utang Bank Jangka Panjang,Pemberian Piutang Afiliasi,Penerimaan Utang Lain-Lain,Penerimaan Utang Lain-Lain Pihak Berelasi,Penambahan Piutang Lain-Lain,Pembayaran Biaya Perolehan Pinjaman,Pelunasan Utang Lain-Lain,Pembayaran Uang Muka,Kenaikan (Penurunan) Hutang Kepada Pihak Yang Mempunyai Hubungan Istimewa,Peningkatan Utang Lain-Lain Kepada Pihak Berelasi,Penambahan ( Penurunan ) Deviden,Penambahan (Hutang) Hutang Leasing,Tambahan Modal Disetor,Penambahan (Pembayaran) Hutang Lain-Lain Kepada Pihak Ketiga,Pembayaran Utang Lain-Lain Jangka Pendek Kepada Pihak Ketiga,Pembayaran Utang Lain-Lain Jangka Panjang Kepada Pihak Ketiga,Penambahan Utang Lain - Lain Jangka Panjang Kepada Pihak Ketiga,Total Penambahan (Pembayaran) Hutang Lain-Lain Kepada Pihak Ketiga,Pembayaran Utang Pembelian Aset Tetap,Pembayaran Investasi Saham Kepada Kepentingan Nonpengendali,Liabilitas Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-3857822176.000000,200395742705.000000,,-187246364315.000000,,,-187246364315.000000,-4879582714.000000,,,,,-12127617852.000000,-3857822176.000000,-18184465314.000000,,82753015.000000,,,352871215.000000,,,-8552046300.000000,642438687.000000,,,,,,,,,,,,,,,,,,-10434726129.000000,-186398742.000000,-89357060.000000,-18184465314.000000,17848233783.000000,,,,,,,,,,,,,,,,,,15289658804.000000,-11946221286.000000,15000000000.000000,18343437518.000000,,,-495203735.000000,17848233783.000000,-4194053707.000000,20479774300.000000,100931175.000000,16386651768.000000
12M 2009,15352807668.000000,207479918558.000000,,-171029051129.000000,,,-171029051129.000000,-4653979146.000000,,1744341773.000000,,,-18188422388.000000,15352807668.000000,33214271711.000000,,-63051047.000000,,,550904649.000000,,,,38170330811.000000,,,,,,,,,,,,,,,,790909091.000000,,-5796178392.000000,-331985524.000000,-106657877.000000,33214271711.000000,-33167482266.000000,,,,,,,,,,,,,,,,,,-13775151088.000000,-38424123829.000000,19700000000.000000,-32499274917.000000,,,-668207349.000000,-33167482266.000000,15399597113.000000,16386651768.000000,-116145158.000000,31670103723.000000
12M 2010,120251670077.000000,359457448632.000000,,-219197920531.000000,,,-219197920531.000000,-3402987792.000000,,1572642608.000000,,,-18177512840.000000,120251670077.000000,-8967825446.000000,,-28465535.000000,,,2165061679.000000,,,,2234900802.000000,,,,,,,,,,-7000000000.000000,,,,,,,,-5741540764.000000,-438660628.000000,-159121000.000000,-8967825446.000000,-65924025202.000000,,,,,,,,,,,,,,,,,,-26222000000.000000,-39106187766.000000,,-65328187766.000000,,,-595837436.000000,-65924025202.000000,45359819429.000000,31670103723.000000,-83030349.000000,76946892803.000000
12M 2011,37658483199.000000,284878086033.000000,,-210866578296.000000,,,-210866578296.000000,-2333333.000000,,,-8476092933.000000,,-27874598272.000000,37658483199.000000,-12421163667.000000,,-197098099.000000,,,2596757075.000000,,,,772963627.000000,,,,,,,,,,-4139130000.000000,,7000000000.000000,,,7000000000.000000,,,-15224415857.000000,-2800636299.000000,-429604114.000000,-12421163667.000000,-25996257474.000000,,,,,,,,,,,,,,,,,,,-25996257474.000000,,-25996257474.000000,,,,-25996257474.000000,-758937942.000000,76946892803.000000,34222881.000000,76222177742.000000
12M 2012,32890341810.000000,249737940889.000000,,,-103929738469.000000,-92249029591.000000,-196178768060.000000,,,,-892832876.000000,,-19775998143.000000,32890341810.000000,-52864646719.000000,,-295260862.000000,,,2417256490.000000,,,,1785904470.000000,,,,,,,,,,,,-276960150.000000,,,-276960150.000000,,,-14026958197.000000,-42468628470.000000,,-52864646719.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-19974304909.000000,76222177742.000000,153286056.000000,56401158889.000000
12M 2013,26635639931.000000,259132529561.000000,,,-109527927503.000000,-99922850283.000000,-209450777786.000000,,,,-1109689639.000000,,-21936422205.000000,26635639931.000000,-11135872542.000000,8114250000.000000,-1834838.000000,,,1647329354.000000,,,,415134545.000000,,,,,,,,,,,,,,,,,,-17447706689.000000,-3863044914.000000,,-11135872542.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,15499767389.000000,56401158889.000000,1195308323.000000,73096234601.000000
12M 2014,-9247502069.000000,257648990467.000000,,,-134888781565.000000,-108623353675.000000,-243512135240.000000,,,,-6929108266.000000,,-16455249030.000000,-9247502069.000000,1969798950.000000,5950450000.000000,1819982541.000000,,,1922027470.000000,,,,542581822.000000,,,,,,,,,,,,,,,,,,-6839248474.000000,-1425994409.000000,,1969798950.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-7277703119.000000,73096234601.000000,110040408.000000,65928571890.000000
12M 2015,3045415535.000000,266227433881.000000,-16949572732.000000,,-124166848707.000000,-119399231468.000000,-243566080175.000000,,,,,-2666365439.000000,,3045415535.000000,-1573028476.000000,2975225000.000000,1020284022.000000,,,2176509110.000000,,,,1099608181.000000,,,,,,,,,,,,,,,,,,-6864882749.000000,-1979772040.000000,,-1573028476.000000,-1311003333.000000,,,,,,,,,,,,,,,,,,,,,,-1311003333.000000,,,-1311003333.000000,161383726.000000,65928571890.000000,551617790.000000,66641573406.000000
12M 2016,-152236438485.000000,224160686566.000000,-3984284559.000000,,-115125390275.000000,-133489895037.000000,-248615285312.000000,-2054000000.000000,,2226683096.000000,-123326155742.000000,-644082534.000000,,-152236438485.000000,141120815026.000000,2367853934.000000,-2623600708.000000,-8422558456.000000,,5724858968.000000,,,,506345482.000000,,,,,-1377714864487.000000,1624786511815.000000,,-94052000000.000000,42992005.000000,,,,,,,,,-6232494477.000000,-3262229050.000000,,141120815026.000000,-521780000.000000,,,,,,,,,,,,,,,,,,,,-521780000.000000,-521780000.000000,,,,-521780000.000000,-11637403459.000000,66641573406.000000,-216516717.000000,54787653230.000000
12M 2017,-18535832491.000000,183584458361.000000,-8372146432.000000,,-103167301956.000000,-127096758691.000000,-230264060647.000000,-3874262000.000000,,40531306244.000000,,-141128017.000000,,-18535832491.000000,-59618322525.000000,4526610032.000000,-55127630544.000000,22748070.000000,,1856012590.000000,,,,953075894.000000,,,-1401922548.000000,102070000.000000,-2634000000.000000,,,,39860000000.000000,,-38026391000.000000,,,,,,,-8817943426.000000,-930951593.000000,,-59618322525.000000,64401491004.000000,,65000000000.000000,,,,,,,,,,,,,,,,,,-598508996.000000,-598508996.000000,,,,64401491004.000000,-13752664012.000000,54787653230.000000,125914472.000000,41160903690.000000
12M 2018,-63689146993.000000,153332113556.000000,-6041239962.000000,,-74236873445.000000,-127820596417.000000,-202057469862.000000,-8922550725.000000,,,,,,-63689146993.000000,42001309003.000000,5409500000.000000,-25210500000.000000,2418459122.000000,,409439356.000000,,,,212058015910.000000,,,-226379931.000000,81656000.000000,,,,,,,-148166000000.000000,,,,,,,-3590282552.000000,-1182598902.000000,,42001309003.000000,14400000000.000000,,5000000000.000000,-40000000000.000000,50000000000.000000,,,,,-600000000.000000,,,,,,,,,,,,,,,,14400000000.000000,-7287837990.000000,41160903690.000000,148056369.000000,34021122069.000000
12M 2019,-84181006964.000000,154861335782.000000,-6994708427.000000,,-95503990789.000000,-126981470990.000000,-222485461779.000000,-9562172540.000000,,,,,,-84181006964.000000,-14435902406.000000,13323891626.000000,-23243298600.000000,822958478.000000,,407586754.000000,,,,795770443.000000,,,,81656000.000000,,,,,,,,,,,,,,-4798012094.000000,-1826455013.000000,,-14435902406.000000,82037057111.000000,,,,,,,,,,,,,82391212164.000000,,,,,,,,,,,-354155053.000000,82037057111.000000,-16579852259.000000,34021122069.000000,-70000835.000000,17371268975.000000
12M 2020,-87930860468.000000,71249227407.000000,-3457323418.000000,,-29713141946.000000,-114912339836.000000,-144625481782.000000,-11097282675.000000,,,,,,-87930860468.000000,-8982786919.000000,,-69027827732.000000,-764394800.000000,,151816169.000000,,,,1104681820.000000,,,,,,,,,,,,,70020918441.000000,,70020918441.000000,,,-10467980817.000000,,,-8982786919.000000,90449967082.000000,,,,,,,,,,,,,101955620000.000000,,,,,,,,,,,-11505652918.000000,90449967082.000000,-6463680305.000000,17371268975.000000,28002130.000000,10935590800.000000
12M 2021,-90670893454.000000,82719753163.000000,-3579321911.000000,,-55342487660.000000,-104657161607.000000,-159999649267.000000,-9811675439.000000,,,,,,-90670893454.000000,-16384888042.000000,,-17818540801.000000,1565496994.000000,,109054220.000000,,,,403500000.000000,,,,,,,,,,,,,,,,,,-622519864.000000,-21878591.000000,,-16384888042.000000,127748858614.000000,,,,,,,,,,-244722121465.000000,,,386516521668.000000,,,,,,,,,,,-14045541589.000000,127748858614.000000,20693077118.000000,10935590800.000000,23294859.000000,31651962777.000000
12M 2022,-117766495601.000000,85134338748.000000,-3385454045.000000,,-78178039162.000000,-115214085858.000000,-193392125020.000000,-6123255284.000000,,,,,,-117766495601.000000,-14281804421.000000,,-9775062826.000000,621597603.000000,,421417327.000000,,,,154000000.000000,,,,,,,,,,,,,,,,,,-5703756525.000000,,,-14281804421.000000,136570461430.000000,,,-9999999996.000000,,,,,,,-29494000000.000000,,,182149753870.000000,,,,,,,,,,,-6085292444.000000,136570461430.000000,4522161408.000000,31651962777.000000,-91333060.000000,36082791125.000000
12M 2023,-110347019716.000000,86134764780.000000,-1206229961.000000,,-64513641463.000000,-127232897049.000000,-191746538512.000000,-3529016023.000000,,,,,,-110347019716.000000,-29902609452.000000,,-25202106553.000000,2952600000.000000,,2054157474.000000,,,,667905406.000000,,,,,,,,,,,,,,,,,,-4237126367.000000,-6138039412.000000,,-29902609452.000000,148421646475.000000,,,-13999999992.000000,,,,,,,-48311600500.000000,,,140323572354.000000,,,70835340500.000000,,,,,,,,-425665887.000000,148421646475.000000,8172017307.000000,36082791125.000000,8619123.000000,44263427555.000000
12M 2024,-152430138133.000000,63677783566.000000,-2907787297.000000,,-76949690762.000000,-131185806570.000000,-208135497332.000000,-5064637070.000000,,,,,,-152430138133.000000,-20993014553.000000,,-19211270012.000000,2058000000.000000,,788039719.000000,,,1028732272.000000,244743789.000000,,,,,,,,,,,,,,,,,,-4789417502.000000,-1111842819.000000,,-20993014553.000000,156393663729.000000,,,-19500000000.000000,,,,,,,,,,176010892687.000000,,,,,,,,,,,-117228958.000000,156393663729.000000,-17029488957.000000,44263427555.000000,51544448.000000,27285483046.000000
