Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Aset Real Estat,Others,Total Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Real Estat,Investasi Pada Entitas Asosiasi,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Properti Investasi,Aset Tetap,Tanah Untuk Dikembangkan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Wesel Bayar,Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Bank,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembelian Aset Tetap,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Dari Pihak Ketiga,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Dari Pihak Ketiga,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Utang Bank,Utang Pembelian Aset Tetap,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Kepentingan Non Pengendali,Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,16386651768.000000,11120850375.000000,10698848454.000000,,,10698848454.000000,1816259334.000000,,,1816259334.000000,5071677874.000000,45094287805.000000,,298630388377.000000,,,,,4079507620.000000,128756034626.000000,188757579055.000000,,106370809355.000000,726594319033.000000,771688606838.000000,,,418362395177.000000,97665450000.000000,7304347672.000000,21091719992.000000,,,21091719992.000000,6500577188.000000,142795434015.000000,,,,,40880365036.000000,632948959.000000,,101491552315.000000,143004866310.000000,,418362395177.000000,128294063598.000000,,89779623645.000000,631095826.000000,,90410719471.000000,,,,,,37883344127.000000,128294063598.000000,546656458775.000000,,745000000000.000000,36750000000.000000,7537459036.000000,-564255310973.000000,,225032148063.000000,771688606838.000000,1745000000.000000
12M 2009,,,31670103723.000000,12439986939.000000,6168856773.000000,,,6168856773.000000,1675838338.000000,,,1675838338.000000,7696277397.000000,59651063170.000000,,311261009709.000000,,,,,493258711.000000,129006771247.000000,144291499718.000000,,100162766938.000000,685215306323.000000,744866369493.000000,,,350501186210.000000,,5113478911.000000,120728568904.000000,,,120728568904.000000,5871347602.000000,69437840658.000000,,,,,35093646698.000000,335929639.000000,15000000000.000000,98920373798.000000,149349950135.000000,,350501186210.000000,93085537540.000000,,52969664904.000000,259907797.000000,,53229572701.000000,,,,,,39855964839.000000,93085537540.000000,443586723750.000000,,745000000000.000000,36750000000.000000,,-480470354257.000000,,301279645743.000000,744866369493.000000,1745000000.000000
12M 2010,,,76946892803.000000,26783671922.000000,5628554360.000000,,,5628554360.000000,1912745418.000000,,,1912745418.000000,17632346608.000000,128904211111.000000,,277118780212.000000,,,,,896026470.000000,129905302345.000000,131580142110.000000,,99117069921.000000,638617321058.000000,767521532169.000000,,,288395490574.000000,,5793343637.000000,8748101306.000000,,,8748101306.000000,27815228763.000000,70625476077.000000,,,,,33566699730.000000,,,141846641061.000000,175413340791.000000,,288395490574.000000,71773433962.000000,,25996257474.000000,,,25996257474.000000,,,,,,45777176488.000000,71773433962.000000,360168924536.000000,,745000000000.000000,36750000000.000000,,-374397392367.000000,,407352607633.000000,767521532169.000000,1745000000.000000
12M 2011,,,76222177742.000000,11878785276.000000,5187127361.000000,,,5187127361.000000,2567409929.000000,,,2567409929.000000,7158826760.000000,103014327068.000000,,255763592936.000000,78245193669.000000,,,,1211337561.000000,132647984803.000000,131359583489.000000,,35979325723.000000,635207018181.000000,738221345249.000000,,,189947525767.000000,,7323476423.000000,9651794675.000000,,,9651794675.000000,6763617162.000000,76856101108.000000,,,,,33854168964.000000,,,55498367435.000000,89352536399.000000,,189947525767.000000,45984793818.000000,,,,,,,,,,,45984793818.000000,45984793818.000000,235932319585.000000,,745000000000.000000,36750000000.000000,,-279460974336.000000,,502289025664.000000,738221345249.000000,1745000000.000000
12M 2012,,,56401158889.000000,24308522528.000000,5482388223.000000,,,5482388223.000000,22881582565.000000,20667440849.000000,2214141716.000000,22881582565.000000,6890307113.000000,115963959318.000000,,227394389065.000000,93514907093.000000,,,,2218486885.000000,198623572024.000000,127609293965.000000,,8711444534.000000,658072093566.000000,774036052884.000000,,,171968274621.000000,,8717722375.000000,14847133592.000000,,,14847133592.000000,6293866083.000000,90417952775.000000,,,,,36101655699.000000,,,15589944097.000000,51691599796.000000,,171968274621.000000,59865611694.000000,,,,5233590588.000000,5233590588.000000,,,,,,54632021106.000000,59865611694.000000,231833886315.000000,,745000000000.000000,36750000000.000000,,-239547833431.000000,,542202166569.000000,774036052884.000000,1745000000.000000
12M 2013,,,73096234601.000000,24213539142.000000,5484223061.000000,,,5484223061.000000,23100160722.000000,20789687002.000000,2310473720.000000,23100160722.000000,8409264694.000000,134303422220.000000,,232520362075.000000,116183299086.000000,,,,3100629534.000000,200125464218.000000,128906858685.000000,,7050124949.000000,687886738547.000000,822190160767.000000,,,211392051970.000000,,9012964596.000000,19608552935.000000,,,19608552935.000000,5716912928.000000,111013567336.000000,,,,,45506006341.000000,,,20534047834.000000,66040054175.000000,,211392051970.000000,72575158765.000000,,,,5578027311.000000,5578027311.000000,,,,,,66997131454.000000,72575158765.000000,283967210735.000000,,745000000000.000000,36750000000.000000,,-263432303108.000000,19905253140.000000,538222950032.000000,822190160767.000000,1745000000.000000
12M 2014,,,65928571890.000000,15102729385.000000,3664240520.000000,,,3664240520.000000,23650129749.000000,21352348621.000000,2297781128.000000,23650129749.000000,8442524004.000000,116788195548.000000,,238546458994.000000,123749050195.000000,,,,3725889361.000000,197799753980.000000,119008390693.000000,,15720970710.000000,698550513933.000000,815338709481.000000,,,64175239986.000000,,7010065902.000000,8486786782.000000,,,8486786782.000000,4226371250.000000,21988283737.000000,,,,,,,,22463732315.000000,22463732315.000000,,64175239986.000000,105883704894.000000,,,,3907457304.000000,3907457304.000000,,28087311200.000000,28087311200.000000,,,73888936390.000000,105883704894.000000,170058944880.000000,,745000000000.000000,36750000000.000000,,-156375488539.000000,19905253140.000000,645279764601.000000,815338709481.000000,1745000000.000000
12M 2015,,,66641573406.000000,10693281570.000000,5619181498.000000,2975225000.000000,2643956498.000000,5619181498.000000,22107127168.000000,19938481257.000000,2168645911.000000,22107127168.000000,8837397272.000000,113898560914.000000,,246975174183.000000,122310565883.000000,,,,5107542332.000000,195844320226.000000,111969537694.000000,,23617217987.000000,705824358305.000000,819722919219.000000,,,61773573582.000000,,6049143253.000000,10148214094.000000,,,10148214094.000000,4677103032.000000,22264413076.000000,,,,,,490892500.000000,,18143807627.000000,18634700127.000000,,61773573582.000000,107972960055.000000,,,1179704167.000000,12638152666.000000,13817856833.000000,,,,,,94155103222.000000,107972960055.000000,169746533637.000000,,745000000000.000000,52711645767.000000,24179000233.000000,-160878835597.000000,-11035424821.000000,649976385582.000000,819722919219.000000,1745000000.000000
12M 2016,,,54787653230.000000,5628592689.000000,32918206662.000000,27650649456.000000,5267557206.000000,32918206662.000000,19761073423.000000,17769230575.000000,1991842848.000000,19761073423.000000,100664168713.000000,213759694717.000000,,1979742717017.000000,1762461702674.000000,,,,9085349214.000000,139671000000.000000,97273643692.000000,,62989275804.000000,4051223688401.000000,4264983383118.000000,,,52725343478.000000,,8133984354.000000,6151956496.000000,,,6151956496.000000,3717259407.000000,20459188006.000000,,,,,,490892500.000000,,13772062715.000000,14262955215.000000,,52725343478.000000,94236111958.000000,,,657924167.000000,1802989401.000000,2460913568.000000,,,,,,91775198390.000000,94236111958.000000,146961455436.000000,,745000000000.000000,56989645767.000000,382869064952.000000,2946957189920.000000,-13793972957.000000,4118021927682.000000,4264983383118.000000,1745000000.000000
12M 2017,,,41160903690.000000,4935524756.000000,87601312829.000000,82778280000.000000,4823032829.000000,87601312829.000000,15549605276.000000,13585883455.000000,1963721821.000000,15549605276.000000,63442086854.000000,212689433405.000000,,1989128218171.000000,1778278616189.000000,,,,11714653883.000000,133198069996.000000,94353496265.000000,,23572211722.000000,4030245266226.000000,4242934699631.000000,,,121138360150.000000,,7521283897.000000,,416063836.000000,6017929506.000000,6433993342.000000,5136936511.000000,20311020439.000000,,65000000000.000000,,,,521780000.000000,,,521780000.000000,16213345961.000000,121138360150.000000,107759817024.000000,,,136144167.000000,1891053869.000000,2027198036.000000,,,,,,105732618988.000000,107759817024.000000,228898177174.000000,,745000000000.000000,56989645767.000000,340971396546.000000,2879168169228.000000,-8092689084.000000,4014036522457.000000,4242934699631.000000,1745000000.000000
