Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2016,0.00,1611.29,0.00,1611.29,73 B,"2,470 B","2,542 B","2,244 B","2,199 B"
12M 2017,2.24,206.20,2.24,206.20,52 B,"1,505 B","1,556 B","1,246 B","1,905 B"
12M 2018,1.42,189.75,1.42,189.75,"1,660 B",168 B,"1,829 B","1,390 B",296 B
12M 2019,1.48,214.00,1.48,214.00,98 B,"1,889 B","1,987 B","1,704 B","1,888 B"
12M 2020,1.37,243.76,1.37,243.76,"2,732 B",,"2,732 B","2,369 B",500 B
12M 2021,1.40,239.41,1.40,239.41,53 B,"3,266 B","3,319 B","2,932 B","3,778 B"
12M 2022,1.12,230.62,1.12,230.62,198 B,"2,423 B","2,621 B","2,203 B","2,832 B"
12M 2023,1.24,223.90,1.24,223.90,"2,470 B",,"2,470 B","2,231 B",422 B
12M 2024,1.32,242.40,1.32,242.40,"3,242 B",,"3,242 B","2,827 B",699 B
