Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Untuk Beban Usaha,(Pembayaran) Penerimaan Kas Dari Kegiatan Operasi Lainnya,Pembayaran Beban Keuangan,Penerimaan Pendapatan Keuangan,Pembayaran Pajak Penghasilan,Penerimaan Pajak Penghasilan,Pembayaran Imbalan Kerja Karyawan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,(Penambahan) Pengurangan Aset Tidak Lancar Lain-Lain,Penambahan Tanaman Perkebunan,Penambahan Perkebunan Plasma,Akuisisi Entitas Anak Baru,Penerimaan Atas Penjualan Entitas Anak,Pembelian Saham Dari Kepentingan Non-Pengendali,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Pendek,Penerimaan Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Deposito Berjangka Yang Dibatasi Penggunaannya,Pembayaran Dividen Kepada Kepentingan Non-Pengendali,Pembayaran Dividen Kepada Pemegang Saham,Pembayaran Biaya Emisi Penerbitan Saham,Pembayaran Dividen,Penerimaan Penerbitan Saham,Penerimaan Pinjaman Afiliasi,Pembayaran Pinjaman Afiliasi,Pembayaran Pinjaman Jangka Panjang- Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,-740485910461.000000,7360013948480.000000,-6997750901818.000000,-330329968691.000000,-555826326012.000000,-11378197861.000000,-134896179880.000000,2269673617.000000,-72954215562.000000,13538386914.000000,-13172129648.000000,-740485910461.000000,-61405722918.000000,3247675530.000000,-47655215844.000000,-45606885.000000,-16321519914.000000,-630555805.000000,,,-500000.000000,-61405722918.000000,853601853109.000000,,,1294306075000.000000,-440704220891.000000,,-1000.000000,,,,,,,,853601853109.000000,51710219730.000000,249088498266.000000,-2839158234.000000,297959559762.000000
12M 2017,966462775591.000000,12044257240661.000000,-9784069375457.000000,-428112937706.000000,-623647191047.000000,-47634241941.000000,-121622648285.000000,5387228166.000000,-77667182019.000000,3778758656.000000,-4206875437.000000,966462775591.000000,-92172045964.000000,2732677357.000000,-80518177668.000000,-339158375.000000,-13960784778.000000,-86602500.000000,,,,-92172045964.000000,-863205347455.000000,,,1160103296775.000000,-2142438078809.000000,,-9334965.000000,-400157955653.000000,-8525374803.000000,,527822100000.000000,,,,-863205347455.000000,11085382172.000000,297959559762.000000,1238227379.000000,310283169313.000000
12M 2018,219337873643.000000,10545147309404.000000,-8793886440679.000000,-416449333948.000000,-704633651589.000000,-3210002434.000000,-114581126034.000000,3282258181.000000,-288385388417.000000,4282164730.000000,-12227915571.000000,219337873643.000000,-95573627193.000000,3473210031.000000,-87688520743.000000,-672673174.000000,-10409139824.000000,-243703483.000000,,,-32800000.000000,-95573627193.000000,-7909110903.000000,,,1554453082840.000000,-1429677645583.000000,,-1660.000000,-132684546500.000000,,,,,,,-7909110903.000000,115855135547.000000,310283169313.000000,12248086312.000000,438386391172.000000
12M 2019,-73542549887.000000,9559126989297.000000,-8372413747225.000000,-414276276489.000000,-611927396992.000000,-24492638425.000000,-147131743043.000000,2536886998.000000,-55059276145.000000,,-9905347863.000000,-73542549887.000000,-334518621442.000000,4443348414.000000,-93125829197.000000,702306670.000000,-2774071942.000000,-639709805.000000,-243124665582.000000,,,-334518621442.000000,259203875718.000000,,,2829390639732.000000,-2758163891861.000000,,,,-4946132828.000000,,282180680870.000000,,,-89257420195.000000,259203875718.000000,-148857295611.000000,438386391172.000000,-6092634870.000000,283436460691.000000
12M 2020,-589908176123.000000,8460817597876.000000,-8084225717003.000000,-426019280265.000000,-541494057174.000000,-11088207197.000000,-85313918632.000000,2507014414.000000,-30908848675.000000,138152167598.000000,-12334927065.000000,-589908176123.000000,-63576621036.000000,4472299792.000000,-69631170922.000000,-109669478.000000,-614294885.000000,2306214457.000000,,,,-63576621036.000000,731428148772.000000,,,2558046506960.000000,-1826618358188.000000,,,,,,,,,,731428148772.000000,77943351613.000000,283436460691.000000,1288674642.000000,362668486946.000000
12M 2021,-411122584027.000000,12439413110885.000000,-11600688125000.000000,-441755269720.000000,-572250966983.000000,-25260458703.000000,-104548461765.000000,3113036896.000000,-103201027690.000000,4402904316.000000,-10347326263.000000,-411122584027.000000,-33140814773.000000,4419141764.000000,-40532520570.000000,-203093556.000000,,3175657589.000000,,,,-33140814773.000000,467369575247.000000,,,2813636287726.000000,-2247518008603.000000,,,,,-98748703876.000000,,,,,467369575247.000000,23106176447.000000,362668486946.000000,1781254616.000000,387555918009.000000
12M 2022,1112343493477.000000,11932297537242.000000,-9580736965941.000000,-425592971351.000000,-548691640991.000000,-56064757050.000000,-139184573631.000000,2203709379.000000,-51333141985.000000,306811399.000000,-20860513594.000000,1112343493477.000000,-53923734784.000000,5284085375.000000,-64133528930.000000,-44809000.000000,,4970517771.000000,,,,-53923734784.000000,-1051684417877.000000,,,2143974578000.000000,-3154910778637.000000,,,,,-40748217240.000000,,,,,-1051684417877.000000,6735340816.000000,387555918009.000000,23688370887.000000,417979629712.000000
12M 2023,-37144332734.000000,8854655434440.000000,-7652660598408.000000,-365924795376.000000,-524460319654.000000,-149083503301.000000,-173995450780.000000,1367494471.000000,-27098976273.000000,10301195412.000000,-10244813265.000000,-37144332734.000000,-26771782278.000000,6550515581.000000,-33279654979.000000,-745103801.000000,-335216860.000000,1037677781.000000,,,,-26771782278.000000,-112443881296.000000,1626860820000.000000,-1724558427620.000000,,,-14746273676.000000,,,,,,,,,-112443881296.000000,-176359996308.000000,417979629712.000000,-3378582796.000000,238241050608.000000
12M 2024,-420284676022.000000,11208214283890.000000,-10340224720015.000000,-364622796016.000000,-565594545858.000000,-113788624757.000000,-228908581528.000000,3035371671.000000,-21317233254.000000,10935223594.000000,-8013053749.000000,-420284676022.000000,4037219012.000000,2932045412.000000,-56325806497.000000,893751000.000000,-503252589.000000,-4959518314.000000,,62000000000.000000,,4037219012.000000,579600835087.000000,3830231304320.000000,-3199015658579.000000,,,-53746810654.000000,,,,,,456404000000.000000,-454272000000.000000,,579600835087.000000,163353378077.000000,238241050608.000000,12458170742.000000,414052599427.000000
