Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Untuk Beban Operasi,Penerimaan Kas Dari Penghasilan Operasi Lainnya,Penerimaan Piutang Lain-Lain Dan Utang Lain-Lain,Pembayaran Pajak Penghasilan,Penerimaan Pendapatan Bunga Dan Keuangan,Pembayaran Beban Bunga Dan Keuangan,Pembayaran Piutang Lain-Lain Dan Utang Lain-Lain,Pembayaran Untuk Beban Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Deposito Berjangka,Penerimaan Dari Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Takberwujud,Perolehan Aset Tetap,Pinjaman Kepada Pihak Berelasi,Penerimaan Pembayaran Piutang Dari Pihak Berelasi,Uang Muka Pembelian Kendaraan,Perolehan Aset Tidak Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Obligasi Wajib Konversi,Pembayaran Liabilitas Sewa,Penerimaan Dari Hasil Penerbitan Saham Baru,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Pembayaran Dividen Kas,Perolehan Saham Treasuri,Penempatan Kembali Saham Treasuri,Pembayaran Beban Penerbitan Saham,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Utang Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Reklasifikasi Dari Deposito Berjangka Yang Dibatasi Penggunaannya Ke Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,35252085422.000000,846990231523.000000,-565456108396.000000,-95171341444.000000,-115713510531.000000,5305116114.000000,2210250773.000000,-23232336395.000000,,-3556078542.000000,-4264589456.000000,-11859548224.000000,35252085422.000000,-6259420374.000000,,1287558181.000000,-1291854359.000000,,-5852298196.000000,,,-402826000.000000,,-6259420374.000000,-31416627961.000000,,,,635596626993.000000,-610464254644.000000,-6668153654.000000,-48666666666.000000,,,,-1214179990.000000,,-31416627961.000000,-2423962913.000000,,25643984065.000000,23220021152.000000
12M 2019,201156380130.000000,966331700476.000000,-500339958299.000000,-92137045654.000000,-138358445415.000000,4232193644.000000,1718942953.000000,-37296447311.000000,,-1884858950.000000,-969700427.000000,-140000887.000000,201156380130.000000,3118244531.000000,22513407966.000000,380687726.000000,-17229251746.000000,,-1396744415.000000,,,-1149855000.000000,,3118244531.000000,-38501965326.000000,150000000000.000000,,75000000000.000000,13953137784.000000,-54924462622.000000,-9834816487.000000,-208000000000.000000,,,-3506394167.000000,-1052331719.000000,-137098115.000000,-38501965326.000000,165772659335.000000,,23220021152.000000,188992680487.000000
12M 2020,212500750913.000000,919473493515.000000,-512647083289.000000,-100903844223.000000,-68765972364.000000,16459334658.000000,6361969035.000000,-41075921197.000000,,-2794899407.000000,-2369989657.000000,-1236336158.000000,212500750913.000000,-3918709693.000000,,1962006362.000000,-2498554204.000000,,-1849750151.000000,,,-1532411700.000000,,-3918709693.000000,-182097789167.000000,,-11031699901.000000,,,,,-169500000000.000000,,,,-1417206263.000000,-148883003.000000,-182097789167.000000,26484252053.000000,,188992680487.000000,215476932540.000000
12M 2021,97933973535.000000,1030831900207.000000,-783516800523.000000,-123263776974.000000,,,,-32975215226.000000,8456581890.000000,-1598715839.000000,,,97933973535.000000,-136039790880.000000,,8139514540.000000,,,-41172160516.000000,-100000000000.000000,,,-3007144904.000000,-136039790880.000000,-17829321216.000000,,-17829321216.000000,,,,,,,,,,,-17829321216.000000,-55935138561.000000,,215476932540.000000,159541793979.000000
12M 2022,64694068640.000000,1044167717706.000000,-801512238946.000000,-131696114599.000000,,,,-53569920697.000000,7717577769.000000,-412952593.000000,,,64694068640.000000,-82238622749.000000,,3868311964.000000,,,-84506073488.000000,,,,-1600861225.000000,-82238622749.000000,-10311269543.000000,,-10311269543.000000,,,,,,,,,,,-10311269543.000000,-27855823652.000000,,159541793979.000000,131685970327.000000
12M 2023,46446502735.000000,1023354986239.000000,-850244038780.000000,-116521406903.000000,,,,-16201255409.000000,6950197748.000000,-891980160.000000,,,46446502735.000000,89321563816.000000,,2180634591.000000,,,-11408734455.000000,,100000000000.000000,,-1450336320.000000,89321563816.000000,-114904565889.000000,,-2404565889.000000,,51660001750.000000,-51660001750.000000,,-112500000000.000000,,,,,,-114904565889.000000,20863500662.000000,,131685970327.000000,152549470989.000000
12M 2024,328266036369.000000,1274760800597.000000,-782137825145.000000,-129220100967.000000,,,,-43301952883.000000,8403911506.000000,-238796739.000000,,,328266036369.000000,-114752254429.000000,,4182973884.000000,,,-116005660828.000000,,,,-2929567485.000000,-114752254429.000000,-78003054000.000000,,,,,,,-79500000000.000000,-7485654000.000000,8982600000.000000,,,,-78003054000.000000,135510727940.000000,,152549470989.000000,288060198929.000000
