Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Eksplorasi,Beban Penyusutan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Keuntungan Atas Penjualan Entitas Anak,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,2098829132.000000,,2098829132.000000,-6103148307.000000,-36456500.000000,-6066691807.000000,,,-6103148307.000000,-4004319175.000000,-4555934188.000000,,,,,,-4555934188.000000,-4555934188.000000,-8560253363.000000,1098382736.000000,-7461870627.000000,402587.000000,-7461468040.000000,,,-7461468040.000000,-7461870627.000000,402587.000000,-7461468040.000000,,,,
12M 2009,,,,-5997505643.000000,-32013350.000000,-5965492293.000000,,,-5997505643.000000,-5997505643.000000,877419075.000000,,,,,,877419075.000000,877419075.000000,-5120086568.000000,1221556086.000000,-3898530482.000000,214445.000000,-3898316037.000000,,,-3898316037.000000,-3898530482.000000,214445.000000,-3898316037.000000,,,,
12M 2010,,,,-4558578347.000000,-41410850.000000,-4517167497.000000,,,-4558578347.000000,-4558578347.000000,244439306.000000,,,,,,244439306.000000,244439306.000000,-4314139041.000000,615337125.000000,-3698801916.000000,299182.000000,-3698502734.000000,,,-3698502734.000000,-3698801916.000000,299182.000000,-3698502734.000000,,,,
12M 2011,485466804222.000000,-217985484265.000000,267481319957.000000,-36141663533.000000,-126407910.000000,-30676804340.000000,-5338451283.000000,,-36141663533.000000,231339656424.000000,1397482901.000000,1924281536.000000,855026572.000000,-1242278663.000000,,,-139546544.000000,1397482901.000000,232737139325.000000,-55261859624.000000,177475279701.000000,,177475279701.000000,,177475279701.000000,177475279701.000000,177217934391.000000,257345310.000000,177475279701.000000,177475279701.000000,177217934391.000000,257345310.000000,177475279701.000000
12M 2012,848500274577.000000,-481733214139.000000,366767060438.000000,-51499900917.000000,-165000000.000000,-51334900917.000000,,,-51499900917.000000,315267159521.000000,78401415107.000000,34740063716.000000,42672192641.000000,-1363961212.000000,,,2353119962.000000,78401415107.000000,393668574628.000000,-90220808072.000000,303447766556.000000,,303447766556.000000,,303447766556.000000,303447766556.000000,303327901705.000000,119864851.000000,303447766556.000000,303447766556.000000,303327901705.000000,119864851.000000,303447766556.000000
12M 2013,859279262868.000000,-571006996821.000000,288272266047.000000,-45295988021.000000,-313390375.000000,-44982597646.000000,,,-45295988021.000000,242976278026.000000,194400772534.000000,35643391848.000000,157294398386.000000,-1112334234.000000,,,2575316534.000000,194400772534.000000,437377050560.000000,-100090982122.000000,337286068438.000000,,337286068438.000000,6320325760.000000,343606394198.000000,337286068438.000000,337163202287.000000,122866151.000000,337286068438.000000,343606394198.000000,343483528047.000000,122866151.000000,343606394198.000000
12M 2014,,,,-95783979582.000000,,-95783979582.000000,,,-95783979582.000000,-95783979582.000000,19184175650.000000,46988018263.000000,-10731672452.000000,-676819048.000000,,,-16395351113.000000,19184175650.000000,-76599803932.000000,30391713116.000000,-46208090816.000000,,-46208090816.000000,369497162.000000,-45838593654.000000,-46208090816.000000,-45865870751.000000,-342220065.000000,-46208090816.000000,-45838593654.000000,-45496373589.000000,-342220065.000000,-45838593654.000000
12M 2015,,,,-87666310531.000000,,-87666310531.000000,,,-87666310531.000000,-87666310531.000000,43719979132.000000,29172581027.000000,20902210262.000000,-223965943.000000,,,-6130846214.000000,43719979132.000000,-43946331399.000000,11301778465.000000,-32644552934.000000,,-32644552934.000000,573138265.000000,-32071414669.000000,-32644552934.000000,-30102059892.000000,-2542493042.000000,-32644552934.000000,-32071414669.000000,-29511526602.000000,-2559888067.000000,-32071414669.000000
12M 2016,,,,-77341814982.000000,,-77341814982.000000,,,-77341814982.000000,-77341814982.000000,-2554148264.000000,10075002746.000000,-8547331080.000000,-1902794432.000000,,,-2179025498.000000,-2554148264.000000,-79895963246.000000,-7265066273.000000,-87161029519.000000,,-87161029519.000000,-6322603618.000000,-93483633137.000000,-87161029519.000000,-78526751435.000000,-8634278084.000000,-87161029519.000000,-93483633137.000000,-84911311402.000000,-8572321735.000000,-93483633137.000000
12M 2017,56338867827.000000,-27999644996.000000,28339222831.000000,-77985369800.000000,,-77985369800.000000,,,-77985369800.000000,-49646146969.000000,-9084106541.000000,5863073473.000000,-8861401852.000000,-128124559.000000,,,-5957653603.000000,-9084106541.000000,-58730253510.000000,14136505156.000000,-44593748354.000000,,-44593748354.000000,-30333896.000000,-44624082250.000000,-44593748354.000000,-33576828091.000000,-11016920263.000000,-44593748354.000000,-44624082250.000000,-33658777389.000000,-10965304861.000000,-44624082250.000000
12M 2018,518585515663.000000,-493281781650.000000,25303734013.000000,-65532603325.000000,,-65532603325.000000,,,-65532603325.000000,-40228869312.000000,-80688315471.000000,1003077843.000000,-39868614373.000000,-41798883079.000000,,,-23895862.000000,-80688315471.000000,-120917184783.000000,27370107634.000000,-93547077149.000000,,-93547077149.000000,933159303.000000,-92613917846.000000,-93547077149.000000,-53280039192.000000,-40267037957.000000,-93547077149.000000,-92613917846.000000,-52545317790.000000,-40068600056.000000,-92613917846.000000
12M 2019,547834061890.000000,-316005482930.000000,231828578960.000000,-331093660860.000000,-74466394927.000000,-69982664397.000000,-97901860929.000000,-88742740607.000000,-331093660860.000000,-99265081900.000000,-33625062672.000000,517851401.000000,45156387128.000000,-57117637463.000000,,,-22181663738.000000,-33625062672.000000,-132890144572.000000,31960292812.000000,-100929851760.000000,,-100929851760.000000,-464551417.000000,-101394403177.000000,-100929851760.000000,-39535771487.000000,-61394080273.000000,-100929851760.000000,-101394403177.000000,-40006745975.000000,-61387657202.000000,-101394403177.000000
12M 2020,1141685024208.000000,-1205661792798.000000,-63976768590.000000,-108723218416.000000,-4453515293.000000,-54134715590.000000,-50134987533.000000,,-108723218416.000000,-172699987006.000000,-120186054514.000000,1021252097.000000,-55436325478.000000,-60657435186.000000,,461500000.000000,-5575045947.000000,-120186054514.000000,-292886041520.000000,17018555821.000000,-275867485699.000000,,-275867485699.000000,-711058017.000000,-276578543716.000000,-275867485699.000000,-165174966701.000000,-110692518998.000000,-275867485699.000000,-276578543716.000000,-165695170991.000000,-110883372725.000000,-276578543716.000000
12M 2021,1394412951021.000000,-1445205367879.000000,-50792416858.000000,-131563535190.000000,-52431519384.000000,-79132015806.000000,,,-131563535190.000000,-182355952048.000000,-71902286278.000000,4672662160.000000,-22487793097.000000,-47913676902.000000,,175000000.000000,-6348478439.000000,-71902286278.000000,-254258238326.000000,-87223707551.000000,-341481945877.000000,,-341481945877.000000,1664972318.000000,-339816973559.000000,-341481945877.000000,-185933036242.000000,-155548909635.000000,-341481945877.000000,-339816973559.000000,-184331446124.000000,-155485527435.000000,-339816973559.000000
12M 2022,777407701783.000000,-453703831207.000000,323703870576.000000,-218468265273.000000,-42611374696.000000,-175856890577.000000,,,-218468265273.000000,105235605303.000000,-36397391886.000000,14450048752.000000,-16236646065.000000,-55831030952.000000,,92500000.000000,21127736379.000000,-36397391886.000000,68838213417.000000,-41672102331.000000,27166111086.000000,,27166111086.000000,18956092.000000,27185067178.000000,27166111086.000000,58517683060.000000,-31351571974.000000,27166111086.000000,27185067178.000000,58496577829.000000,-31311510651.000000,27185067178.000000
12M 2023,811659069690.000000,-459740579672.000000,351918490018.000000,-264533390752.000000,-73266729314.000000,-191266661438.000000,,,-264533390752.000000,87385099266.000000,-29360735857.000000,30908557126.000000,12351463976.000000,-53047021344.000000,,,-19573735615.000000,-29360735857.000000,58024363409.000000,-27347558609.000000,30676804800.000000,,30676804800.000000,-1633708855.000000,29043095945.000000,30676804800.000000,62666531017.000000,-31989726217.000000,30676804800.000000,29043095945.000000,60982571161.000000,-31939475216.000000,29043095945.000000
12M 2024,1461186279340.000000,-829793313750.000000,631392965590.000000,-256248243464.000000,-60714040935.000000,-195534202529.000000,,,-256248243464.000000,375144722126.000000,138678993812.000000,33505149529.000000,-10271554160.000000,-17523482293.000000,,1750468392.000000,131218412344.000000,138678993812.000000,513823715938.000000,-101871833759.000000,411951882179.000000,,411951882179.000000,2948003173.000000,414899885352.000000,411951882179.000000,366166673988.000000,45785208191.000000,411951882179.000000,414899885352.000000,369107615326.000000,45792270026.000000,414899885352.000000
