Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,2.92,73.56,2.92,73.56,12 B,12 B,23 B,16 B,6 B
12M 2009,5.67,37.90,5.67,37.90,12 B,12 B,23 B,23 B,(0 B)
12M 2010,52.96,4.06,52.96,4.06,19 B,26 B,45 B,41 B,4 B
12M 2011,1.47,1059.77,1.47,1059.77,7 B,3 B,10 B,(990 B),"1,088 B"
12M 2012,1.68,247.00,1.71,243.06,2 B,3 B,4 B,(742 B),"1,163 B"
12M 2013,1.47,258.07,1.49,0.00,2 B,2 B,4 B,(829 B),"1,100 B"
12M 2014,2.08,191.29,2.11,187.78,2 B,0 B,2 B,(443 B),710 B
12M 2015,2.13,186.09,2.17,182.79,0 B,,0 B,(277 B),796 B
12M 2016,1.95,171.03,1.99,167.94,141 B,330 B,471 B,366 B,199 B
12M 2017,2.39,165.07,2.43,162.18,331 B,456 B,787 B,767 B,(124 B)
12M 2018,1.96,155.75,2.00,153.06,303 B,564 B,867 B,852 B,(182 B)
12M 2019,0.96,148.65,0.97,146.17,75 B,804 B,878 B,854 B,92 B
12M 2020,1.49,119.26,1.52,116.99,5 B,812 B,817 B,775 B,(52 B)
12M 2021,1.41,86.57,1.44,84.51,,800 B,800 B,486 B,(106 B)
12M 2022,1.06,96.94,1.08,95.09,0 B,788 B,789 B,407 B,(38 B)
12M 2023,1.03,108.45,1.05,106.80,22 B,804 B,826 B,386 B,122 B
12M 2024,1.39,150.74,1.41,149.29,39 B,698 B,736 B,219 B,546 B
