Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Anjak Piutang,Penerimaan Pembiayaan Konsumen,Penerimaan Penjualan Kendaraan Sitaan,Pendapatan (Beban) Non Operasi Netto,Penerimaan Dari Pelanggan,"Pembayaran Kepada Kontraktor, Pemasok Dan Lainnya",Pembayaran Kepada Karyawan,Kenaikan Dana Yang Dibatasi Penggunaannya,Pembayaran Iuran Dana Hasil Produksi Kepada Pemerintah,Penghasilan Bunga,Pembayaran Beban Bunga,Pembayaran Beban Usaha,Penerimaan Uang Muka Penjualan,Penerimaan (Pembayaran) Lainnya,Restitusi Pajak,Pajak Penghasilan Dan Pajak Final,Pembayaran Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Penjualan Aset Tetap,Uang Muka Penjualan Saham,Penjualan Aset Lainnya,Penambahan Properti Pertambangan,Pembayaran Bunga Yang Dikapitalisasi Ke Aset Tetap,Penjualan Investasi Reksadana,Investasi Pada Medium Term Notes,Penjualan Investasi Saham,Hasil Penjualan Investasi Pada Surat Berharga Utang,Pembayaran Biaya Reklamasi,Pembayaran Investasi Saham,Penerimaan Dari Penjualan Aset Keuangan,Perolehan Aset Tetap,Peningkatan Aset Tidak Lancar Lainnya,Peningkatan/(Penurunan) Aset Tidak Lancar Lainnya,Kenaikan Uang Muka Pembelian Aset Tetap,Penambahan Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Investasi Pada Ventura Bersama,Investasi Pada Entitas Anak,Penempatan Pada Reksadana,Arus Kas Keluar Bersih Pada Tanggal Akuisisi Setelah Dikurangi Saldo Kas Entitas Anak Pada Tanggal Akuisisi,Pembayaran Uang Muka Sehubungan Dengan Pembangunan Smelter,Penempatan Pada Aset Keuangan Tersedia Dijual - Investasi Obligasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Sewa Pembiayaan,Pembayaran Hutang Sewa Guna Usaha,Pembayaran Utang Pembelian Aset Tetap,Penerimaan Utang Dari Lembaga Keuangan,Jangka Panjang,Jangka Pendek,Total Penerimaan Utang Dari Lembaga Keuangan,Pembayaran Utang Dari Lembaga Keuangan,Jangka Panjang,Jangka Pendek,Total Pembayaran Utang Dari Lembaga Keuangan,Penerimaan/Pembayaran Pinjaman,Penerimaan Pinjaman,Pembayaran Pinjaman,Total Penerimaan/Pembayaran Pinjaman,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Kas Dari Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Panjang,Penerimaan (Pembayaran) Utang Pihak Berelasi,Penerimaan Hutang Pembiayaan,Pembayaran Biaya Reklamasi,Penerimaan Hutang Afiliasi,Pembayaran Beban Bunga,Penambahan Modal Disetor,Penambahan Modal Disetor - Kepentingan Non Pengendali,Uang Muka Pembelian Saham Treasuri,Pembayaran Biaya Emisi Saham,Penerimaan Dari Pelepasan Kepentingan Di Entitas Anak Tanpa Hilangnya Pengendalian Dari Kegiatan Pendanaan,Penjualan Saham Pada Entitas Anak,Perolehan Saham Pada Entitas Anak,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,9914741615.000000,8823704738.000000,7344910807.000000,285599047.000000,,,,,,,,,-5424634585.000000,,-1114838392.000000,,,,9914741615.000000,-5380024919.000000,80362929.000000,,4400000.000000,,,,,9719939769.000000,,,-5425000000.000000,,-5937940279.000000,,,,-3821787338.000000,,,,,,,-5380024919.000000,-2977805514.000000,,,,,,,,,,,,,,-7664622321.000000,-7664622321.000000,,,,,,,,4561816807.000000,,125000000.000000,,,,,,,,-2977805514.000000,1556911182.000000,5453418759.000000,,7010329941.000000
12M 2009,-5029881553.000000,,,,,,,,,,,,-5041613052.000000,,51997734.000000,,,-40266235.000000,-5029881553.000000,-1071226930.000000,631075502.000000,,,,,,,,,,,,-12760000.000000,,,,-1689542432.000000,,,,,,,-1071226930.000000,-796944653.000000,-525219858.000000,,,,,,,,,,,,,,,,,,,,,,-271724795.000000,,,,,,,,,,-796944653.000000,-6898053136.000000,7010329941.000000,,112276805.000000
12M 2010,-3942718285.000000,,,,,,,,,,,,-3927595070.000000,,225383969.000000,,,-240507184.000000,-3942718285.000000,-6250240906.000000,,,,,,,,,,,,,,,,,-6250240906.000000,,,,,,,-6250240906.000000,14454051063.000000,-206135755.000000,,,,,,,,,,,,,,,,,,,,7000000000.000000,,7660186818.000000,,,,,,,,,,14454051063.000000,4261091872.000000,112276805.000000,,4373368677.000000
12M 2011,89830710799.000000,,,,,346663382150.000000,-228908875379.000000,-11583369019.000000,,-15811687361.000000,713539071.000000,-1242278663.000000,,,,,,,89830710799.000000,-49470982674.000000,,,,,,,,,,,,,-5835885851.000000,-18250000.000000,,-3831468000.000000,-39785378823.000000,,,,,,,-49470982674.000000,955527087897.000000,-2571219017.000000,,-1326049720.000000,,,,,,,,,,10500000000.000000,-13000000000.000000,-2500000000.000000,,,,,-19200619155.000000,,,,,983736000000.000000,,,-2611024211.000000,,,,,955527087897.000000,995886816022.000000,4373368677.000000,-27468794.000000,1000232715905.000000
12M 2012,228369279069.000000,,,,,764142588502.000000,-365050215991.000000,-21950024585.000000,,-99634964264.000000,35191756181.000000,-1363961212.000000,,,,,,-82965899562.000000,228369279069.000000,-424736579447.000000,,,,,,,,,,,,,-69233691789.000000,,-1338382000.000000,2957568000.000000,-70417040037.000000,,,,-1705033621.000000,,-285000000000.000000,-424736579447.000000,-89619769766.000000,-5769039196.000000,,-4162222070.000000,,,,,,,,,,,-4500000000.000000,-4500000000.000000,,,,,,,,,,36788932500.000000,,,,,,,-111977441000.000000,-89619769766.000000,-285987070144.000000,1000232715905.000000,32195157526.000000,746440803287.000000
12M 2013,181363652268.000000,,,,,795928187298.000000,-334897785769.000000,-30326837961.000000,,-166123791423.000000,36402441848.000000,-1112334234.000000,,,,,,-118506227491.000000,181363652268.000000,45481595883.000000,,,,,,,,,,,,,-20994829645.000000,,,,-129595574472.000000,-3870000000.000000,,-85058000000.000000,,,285000000000.000000,45481595883.000000,-269112729216.000000,,,-2202411941.000000,,,,,,,,,,,,,,,,,,,,,,4543233750.000000,,,,,,,-271453551025.000000,-269112729216.000000,-42267481065.000000,746440803287.000000,129579141526.000000,833752463748.000000
12M 2014,-31432586120.000000,,,,,167625444160.000000,-117896430146.000000,-20400157569.000000,,-16368099261.000000,46988018263.000000,-676819048.000000,,,,,,-90704542519.000000,-31432586120.000000,-82539718476.000000,,6000000000.000000,,,,,,3999000000.000000,,,,,-30189765522.000000,,,-37893934200.000000,-28162741582.000000,3707722828.000000,,,,,,-82539718476.000000,-284235683246.000000,,,-1979658152.000000,,,,,,,,,,,,,,,,,,,-6278248094.000000,,,1929483750.000000,52400000000.000000,-49428217500.000000,,,,,-280879043250.000000,-284235683246.000000,-398207987842.000000,833752463749.000000,10250808498.000000,445795284405.000000
12M 2015,-17234932689.000000,,,,,383845139.000000,-40961765524.000000,-19861598590.000000,,,29172581027.000000,-223965943.000000,,,,14255971202.000000,,,-17234932689.000000,-358613246816.000000,,,,,,,,,,,,,-90767941086.000000,,,,-217636429.000000,-1335600000.000000,,,,-266292069301.000000,,-358613246816.000000,198014686302.000000,,,,,,,,,,,,,,,,,,,,,,-2346588641.000000,,,-1992475057.000000,204784000000.000000,,,,53969750000.000000,-56400000000.000000,,198014686302.000000,-177833493203.000000,445795284405.000000,9480918513.000000,277442709715.000000
12M 2016,-163319324648.000000,,,,,131749900140.000000,-319819124858.000000,-13934124581.000000,,,10000179458.000000,-10678739879.000000,,,,39362585072.000000,,,-163319324648.000000,-487889737478.000000,,,,,,93659542430.000000,-7500000000.000000,,,,,,-554932322121.000000,,,,-19116957787.000000,,,,,,,-487889737478.000000,479361745330.000000,,,-402375799.000000,,360305598273.000000,120967006606.000000,481272604879.000000,,,,,,,,,,,,,,,-1508483750.000000,,,,,,,,,,,479361745330.000000,-171847316796.000000,277442709715.000000,-784378148.000000,104811014771.000000
12M 2017,19913771923.000000,,,,,93739249640.000000,-65408869305.000000,-14279681885.000000,,,5863073473.000000,,,,,,,,19913771923.000000,-374094660008.000000,,,,,,,7500000000.000000,,,,,,-329079360101.000000,,,,-13782899907.000000,-38732400000.000000,,,,,,-374094660008.000000,269517533614.000000,,,-1314024941.000000,,206816375819.000000,977198182153.000000,1184014557972.000000,,-30123392558.000000,-849143347872.000000,-879266740430.000000,,,,,,,,,,,,,-33916258987.000000,,,,,,,,,269517533614.000000,-84663354471.000000,104811014771.000000,246135035.000000,20393795335.000000
