Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2010,,,,,,,,,,,,,,,0.0
12M 2011,,,,,,,,,8.99,6.22,0.22,0.18,,,0.0
12M 2012,,,,,,,,,6.04,5.41,0.2,0.18,,,0.0
12M 2013,,,,,,,,,4.98,5.12,0.15,0.14,,,0.0
12M 2014,,,,,,,,,5.16,4.6,0.15,0.14,,,0.0
12M 2015,,,,,,,,,5.88,5.9,0.17,0.16,,,0.0
12M 2016,,,,,,,,,7.18,7.41,0.16,0.16,,,0.0
12M 2017,,,,,,,,,8.3,8.44,0.16,0.15,,,0.0
12M 2018,,,,,,,,,3.03,3.25,0.06,0.07,,,0.0
12M 2019,,,,,,,,,3.92,4.53,0.1,0.16,,,0.0
12M 2020,,,,,,,,,2.23,2.43,0.07,0.09,,,0.0
12M 2021,,,,,,,,,4.5,4.71,0.12,0.11,,,0.0
12M 2022,,,,,,,,,7.0,7.1,0.12,0.11,,,0.0
12M 2023,,,,,,,,,13.13,14.15,0.11,0.1,,,0.0
12M 2024,,,,,,,,,32.11,29.78,0.12,0.11,,,0.0
