Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari,Pembiayaan Konsumen,Anjak Piutang,Total Pembiayaan Konsumen,Pembiayaan Bersama Without Recourse,Bunga Bank,Lain-Lain,Total Penerimaan Kas Dari,Pengeluaran Kas Untuk,Pembayaran Kepada Penyalur Kendaraan,Beban Bunga Dan Keuangan,Pembiayaan Konsumen,Total Beban Bunga Dan Keuangan,Pembayaran Pembiayaan Bersama Without Recourse,Premi Asuransi,Beban Gaji Dan Tunjangan,Beban Umum Dan Administrasi,Pajak Penghasilan Badan,Beban Iklan Dan Promosi,Lain-Lain,Total Pengeluaran Kas Untuk,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Transaksi Jual Dan Sewa Balik,Penjualan Aset Tetap,Penambahan Aset Hak Guna,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pembiayaan Bersama With Recourse,Penerimaan Pinjaman Bank,Penerimaan Dari Anjak Piutang,Penerimaan Dari Penerbitan Wesel Bayar Jangka Menengah,Penerimaan Dari Pencairan Deposito Berjangka,Penempatan Deposito Yang Dibatasi Penggunaannya,Penempatan Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Pencairan Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Penerbitan Saham Baru,Pembayaran Porsi Pokok Liabilitas Sewa,Penerimaan Dana Ipo,Penerimaan Utang Jual Dan Sewa Guna Usaha Kembali,Penerimaan Dari Pinjaman Pihak Berelasi,Penerimaan Dari Penerbitan Modal Saham,Penerimaan Pinjaman Pihak Ketiga,Penerimaan Lain-Lain,Pembayaran Pinjaman Bank,Pembayaran Pembiayaan Bersama With Recourse,Pembayaran Biaya Emisi Saham,Pembayaran Wesel Bayar Jangka Menengah,Pembayaran Deviden,Pembayaran Biaya Penerbitan Wesel Bayar Jangka Menengah,Pembayaran Pinjaman Pihak Berelasi,Pembayaran Utang Pihak Ketiga,Pembayaran Utang Sewa Guna Usaha,Pembayaran Uang Muka Hutang Sewa Guna Usaha,Pembayaran Biaya Penawaran Umum Saham,Biaya Emisi Dari Penawaran Umum Terbatas Ii (Put Ii),Penerimaan Dari Penawaran Umum Terbatas Ii (Put Ii),Penerimaan Pinjaman Pemegang Saham,Pembayaran Bunga Pinjaman Pemegang Saham,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2010,-119780612000.000000,,601948272000.000000,,601948272000.000000,4946058000.000000,40345000.000000,63845361000.000000,670780036000.000000,,-621612155000.000000,-75646532000.000000,,-75646532000.000000,-13131806000.000000,-15603393000.000000,-37433344000.000000,-13656358000.000000,-6370754000.000000,-2356489000.000000,-4749817000.000000,-790560648000.000000,-119780612000.000000,-2668265000.000000,,303050000.000000,,-2971315000.000000,-2668265000.000000,116704145000.000000,417411442000.000000,155000000000.000000,,,,,,,,,,,,,2257070000.000000,,-109924098000.000000,-364795281000.000000,,,,,,-7580400000.000000,-664588000.000000,,,,,25000000000.000000,,,116704145000.000000,-5744732000.000000,6987226000.000000,1242494000.000000
12M 2011,-394540297000.000000,,814955455000.000000,,814955455000.000000,91027009000.000000,473888000.000000,78536003000.000000,984992355000.000000,,-1150325757000.000000,-101956545000.000000,,-101956545000.000000,-21610268000.000000,-28412355000.000000,-38868574000.000000,-13614231000.000000,-10687452000.000000,-5907652000.000000,-8149818000.000000,-1379532652000.000000,-394540297000.000000,-25335362000.000000,,1447949000.000000,,-26783311000.000000,-25335362000.000000,423201454000.000000,662185050000.000000,402379147000.000000,,,,,,,,,92000000000.000000,9891547000.000000,,,,,-365559972000.000000,-365777424000.000000,,,,,,-2667834000.000000,-859032000.000000,-2472887000.000000,-5917141000.000000,,,,,,423201454000.000000,3325795000.000000,1242494000.000000,4568289000.000000
12M 2012,-273017491000.000000,,1093151230000.000000,,1093151230000.000000,55383021000.000000,120767000.000000,106066623000.000000,1254721641000.000000,,-1257217287000.000000,-131951409000.000000,,-131951409000.000000,-46960025000.000000,-26350571000.000000,-23360523000.000000,-13118055000.000000,-10612331000.000000,-9107745000.000000,-9061186000.000000,-1527739132000.000000,-273017491000.000000,-15623619000.000000,,923200000.000000,,-16546819000.000000,-15623619000.000000,266695589000.000000,378397069000.000000,526108224000.000000,,100000000000.000000,36000000000.000000,,,,,,,4794000000.000000,,,,,-413596655000.000000,-353307919000.000000,,,,-3693600000.000000,,-3473219000.000000,-2614311000.000000,-1918000000.000000,,,,,,,266695589000.000000,-21945521000.000000,4568289000.000000,-17377232000.000000
12M 2013,-244409328000.000000,,1418519972000.000000,,1418519972000.000000,150346281000.000000,47598000.000000,97301666000.000000,1666215517000.000000,,-1585540322000.000000,-163263428000.000000,,-163263428000.000000,-61826007000.000000,-31001384000.000000,-30635667000.000000,-11968633000.000000,-11417234000.000000,-6633758000.000000,-8338412000.000000,-1910624845000.000000,-244409328000.000000,-5885415000.000000,,1749695000.000000,,-7635110000.000000,-5885415000.000000,253276998000.000000,890545934000.000000,168655689000.000000,41186567000.000000,,,,,,,,,,,,,,-341098448000.000000,-493148357000.000000,,,,-3693600000.000000,,-4947408000.000000,-4223379000.000000,,,,,,,,253276998000.000000,2982255000.000000,-17377232000.000000,-14394977000.000000
12M 2014,-496648464000.000000,,1862896414000.000000,,1862896414000.000000,180408098000.000000,489355000.000000,121059193000.000000,2164853060000.000000,,-2152685916000.000000,-232478274000.000000,,-232478274000.000000,-149300979000.000000,-38859865000.000000,-29333213000.000000,-19010367000.000000,-15649095000.000000,-14999690000.000000,-9184125000.000000,-2661501524000.000000,-496648464000.000000,-24382071000.000000,6393428000.000000,1127405000.000000,,-31902904000.000000,-24382071000.000000,643983375000.000000,164821697000.000000,1495114383000.000000,55857233000.000000,118057500000.000000,,,,,,,,,,,,,-1056501317000.000000,-138980403000.000000,,,,-7223195000.000000,-53522453000.000000,-5071151000.000000,-5568919000.000000,,,,,77000000000.000000,,,643983375000.000000,122952840000.000000,-14394977000.000000,108557863000.000000
12M 2015,-531955148000.000000,,2230621064000.000000,,2230621064000.000000,185336692000.000000,1837525000.000000,184998832000.000000,2602794113000.000000,,-2506139383000.000000,-300325273000.000000,,-300325273000.000000,-153554772000.000000,-39582865000.000000,-67792404000.000000,-22299271000.000000,-19727411000.000000,-12841884000.000000,-12485998000.000000,-3134749261000.000000,-531955148000.000000,-14419003000.000000,,1428233000.000000,,-15847236000.000000,-14419003000.000000,458153167000.000000,277075625000.000000,1543178124000.000000,,150000000000.000000,,,,,,,,,,150037094000.000000,,,-1303159948000.000000,-224379493000.000000,-2646199000.000000,-100000000000.000000,,-3137500000.000000,-23430144000.000000,-4171067000.000000,-1213325000.000000,,,,,,,,458153167000.000000,-88220984000.000000,108557863000.000000,20336879000.000000
12M 2016,-400810904000.000000,,2687601996000.000000,,2687601996000.000000,194492274000.000000,1572066000.000000,262098158000.000000,3145764494000.000000,,-2569030792000.000000,-360350436000.000000,,-360350436000.000000,-199894881000.000000,-46029611000.000000,-209868857000.000000,-99849068000.000000,-24177935000.000000,,-37373818000.000000,-3546575398000.000000,-400810904000.000000,-10894729000.000000,,3238500000.000000,,-14133229000.000000,-10894729000.000000,492052420000.000000,,1877488165000.000000,,538098110000.000000,,,,,,,,,,,,,-1405288063000.000000,-267098206000.000000,-218057500000.000000,,-7999741000.000000,-5774270000.000000,-6582546000.000000,-9323600000.000000,-3409929000.000000,,,,,,,,492052420000.000000,80346787000.000000,20336879000.000000,100683666000.000000
12M 2017,-190021970000.000000,,2780579729000.000000,,2780579729000.000000,16573236000.000000,2420044000.000000,284019240000.000000,3083592249000.000000,,-2292853077000.000000,-379456616000.000000,,-379456616000.000000,-185191499000.000000,-48654698000.000000,-206339702000.000000,-116261038000.000000,-2604342000.000000,,-42253247000.000000,-3273614219000.000000,-190021970000.000000,-12453264000.000000,,1847535000.000000,,-14300799000.000000,-12453264000.000000,211903796000.000000,,1681823638000.000000,,385000000000.000000,,,,,,,,,,,,,-1698010146000.000000,,-142000000000.000000,,,-3388000000.000000,-11521696000.000000,,,,,,,,,,211903796000.000000,9428562000.000000,100683666000.000000,110112228000.000000
12M 2018,1323276626000.000000,,2404943814000.000000,372120000000.000000,2404943814000.000000,,10894475000.000000,162858425000.000000,2578696714000.000000,,-553637646000.000000,-297541421000.000000,,-297541421000.000000,-46114759000.000000,-66052871000.000000,-153108338000.000000,-121082866000.000000,-5091245000.000000,,-12790942000.000000,-1255420088000.000000,1323276626000.000000,-5790708000.000000,,1426218000.000000,,-7216926000.000000,-5790708000.000000,-1486646800000.000000,,146065012000.000000,,75000000000.000000,,-179800454000.000000,,,,,,,,,,,-1211671608000.000000,,-450000000000.000000,,,-1239750000.000000,,,,,,,,135000000000.000000,,,-1486646800000.000000,202959118000.000000,110112228000.000000,313071346000.000000
12M 2019,861890644000.000000,,1203948787000.000000,18389810000.000000,1203948787000.000000,,16489516000.000000,76555277000.000000,1296993580000.000000,,-82588376000.000000,-137978351000.000000,,-137978351000.000000,-7053628000.000000,-182626000.000000,-110266019000.000000,-85669785000.000000,-4925476000.000000,,-6438675000.000000,-435102936000.000000,861890644000.000000,-1336025000.000000,,2295523000.000000,,-3631548000.000000,-1336025000.000000,-733983811000.000000,,,,,,-88353808000.000000,,228808818000.000000,,,,,,,,,-763968096000.000000,,-460000000000.000000,,,,,,,,,-3566306000.000000,353095581000.000000,,,,-733983811000.000000,144960618000.000000,313071346000.000000,458031964000.000000
