Period,Aset,Kas Dan Setara Kas,Pihak Ketiga,Others,Total Kas Dan Setara Kas,Piutang Pembiayaan Konsumen,Piutang Pembiayaan Konsumen,Others,Total Piutang Pembiayaan Konsumen,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tetap,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Pinjaman Yang Diterima,Liabilitas Keuangan,Liabilitas Derivatif,Beban Akrual,Utang Pajak,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Wesel Bayar,Utang Pemegang Saham,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,,9598011000.000000,9598011000.000000,,933909615000.000000,-194359860000.000000,739549755000.000000,2922814000.000000,,,2922814000.000000,223197000.000000,,8870777000.000000,8870777000.000000,3269392000.000000,764433946000.000000,,,575046920000.000000,,,9430917000.000000,670573000.000000,4630831000.000000,4630831000.000000,,4630831000.000000,,25000000000.000000,16480107000.000000,631259348000.000000,,108000000000.000000,,25174598000.000000,,,25174598000.000000,,133174598000.000000,764433946000.000000,1080000000.000000
12M 2011,,,,14856455000.000000,14856455000.000000,,1458915336000.000000,-286557047000.000000,1172358289000.000000,5002102000.000000,,,5002102000.000000,1008921000.000000,,39913854000.000000,39913854000.000000,8066757000.000000,1241206378000.000000,,,919389553000.000000,,,13438414000.000000,853243000.000000,20898677000.000000,20898677000.000000,,20898677000.000000,,25000000000.000000,21307924000.000000,1000887811000.000000,,154000000000.000000,40082859000.000000,46235708000.000000,,,46235708000.000000,,240318567000.000000,1241206378000.000000,1540000000.000000
12M 2012,,,,20952119000.000000,20952119000.000000,,1687208003000.000000,-192636488000.000000,1494571515000.000000,7919908000.000000,,,7919908000.000000,551134000.000000,,53974028000.000000,53974028000.000000,10505507000.000000,1588474211000.000000,,,1138080226000.000000,,,15271851000.000000,1581341000.000000,22337497000.000000,22337497000.000000,,22337497000.000000,97112500000.000000,25000000000.000000,33751852000.000000,1333135267000.000000,,154000000000.000000,40082859000.000000,61256085000.000000,,,61256085000.000000,,255338944000.000000,1588474211000.000000,1540000000.000000
12M 2013,,,14745591000.000000,,14745591000.000000,,1800371858000.000000,-16008604000.000000,1784363254000.000000,,8830975000.000000,1522489000.000000,10353464000.000000,559680000.000000,,49014039000.000000,49014039000.000000,10371385000.000000,1869407413000.000000,,,1368818674000.000000,,,16185003000.000000,2123660000.000000,57826027000.000000,16639460000.000000,41186567000.000000,57826027000.000000,96850000000.000000,25000000000.000000,30100257000.000000,1596903621000.000000,,154000000000.000000,40082859000.000000,78420933000.000000,,,78420933000.000000,,272503792000.000000,1869407413000.000000,1540000000.000000
12M 2014,,,108557863000.000000,,108557863000.000000,,2355586053000.000000,-20965366000.000000,2334620687000.000000,,15616683000.000000,861047000.000000,16477730000.000000,890389000.000000,,81881047000.000000,81881047000.000000,12873753000.000000,2555301469000.000000,,,1804132465000.000000,,,24760473000.000000,2312851000.000000,54578671000.000000,14365106000.000000,40213565000.000000,54578671000.000000,216802473000.000000,102000000000.000000,40273064000.000000,2244859997000.000000,,154000000000.000000,40082859000.000000,116901995000.000000,2000000000.000000,114901995000.000000,116901995000.000000,-543382000.000000,310441472000.000000,2555301469000.000000,1540000000.000000
12M 2015,,,44029780000.000000,,44029780000.000000,,2931682150000.000000,-27011235000.000000,2904670915000.000000,,27683765000.000000,1510628000.000000,29194393000.000000,282944000.000000,,79497852000.000000,79497852000.000000,27117418000.000000,3084793302000.000000,,,2087026893000.000000,,,32414125000.000000,7195497000.000000,30141832000.000000,10650059000.000000,19491773000.000000,30141832000.000000,282490795000.000000,102000000000.000000,46912952000.000000,2588182094000.000000,,232966892000.000000,108506862000.000000,157326772000.000000,9600000000.000000,147726772000.000000,157326772000.000000,-2189318000.000000,496611208000.000000,3084793302000.000000,2329668917.000000
12M 2016,,,100683666000.000000,,100683666000.000000,,3413101844000.000000,-30695924000.000000,3382405920000.000000,,33611839000.000000,,33611839000.000000,1412687000.000000,,73461753000.000000,73461753000.000000,12374487000.000000,3603950352000.000000,,,2282595231000.000000,,,31657170000.000000,1780724000.000000,19757184000.000000,8333020000.000000,11424164000.000000,19757184000.000000,580278880000.000000,102000000000.000000,72551116000.000000,3090620305000.000000,,232966892000.000000,108506862000.000000,174957241000.000000,9600000000.000000,165357241000.000000,174957241000.000000,-3100948000.000000,513330047000.000000,3603950352000.000000,2329668917.000000
12M 2017,,,110112228000.000000,,110112228000.000000,,3619685892000.000000,-34407540000.000000,3585278352000.000000,,45783117000.000000,,45783117000.000000,6901374000.000000,,67035764000.000000,67035764000.000000,35525849000.000000,3850636684000.000000,,,2278431361000.000000,,6079729000.000000,31487620000.000000,5067916000.000000,16663053000.000000,16663053000.000000,,16663053000.000000,823164750000.000000,102000000000.000000,62986557000.000000,3325880986000.000000,,232966892000.000000,108506862000.000000,192815350000.000000,9600000000.000000,183215350000.000000,192815350000.000000,-9533406000.000000,524755698000.000000,3850636684000.000000,2329668917.000000
12M 2018,,,313071346000.000000,193200454000.000000,506271800000.000000,,1602143948000.000000,-34628989000.000000,1567514959000.000000,,32912364000.000000,4780126000.000000,37692490000.000000,73028469000.000000,,54932463000.000000,54932463000.000000,21446264000.000000,2260886445000.000000,,,1253447628000.000000,,1665575000.000000,26673834000.000000,996007000.000000,30948702000.000000,8095872000.000000,22852830000.000000,30948702000.000000,457831053000.000000,237000000000.000000,20133766000.000000,2028696565000.000000,,232966892000.000000,108506862000.000000,-88968824000.000000,9600000000.000000,-98568824000.000000,-88968824000.000000,-20315050000.000000,232189880000.000000,2260886445000.000000,2329668917.000000
12M 2019,,,458031964000.000000,52745444000.000000,510777408000.000000,,522013323000.000000,-19315693000.000000,502697630000.000000,,49933215000.000000,1139727000.000000,51072942000.000000,84256211000.000000,,34556998000.000000,34556998000.000000,7934309000.000000,1191295498000.000000,,,474112492000.000000,,13294551000.000000,24518679000.000000,350266000.000000,31639726000.000000,30449017000.000000,1190709000.000000,31639726000.000000,,,53085626000.000000,597001340000.000000,,609697279000.000000,292094038000.000000,-288678890000.000000,9600000000.000000,-298278890000.000000,-288678890000.000000,-18818269000.000000,594294158000.000000,1191295498000.000000,6096972783.000000
