Period,Total Pendapatan,Pendapatan Pembiayaan Konsumen,Pendapatan Bunga,Total Pendapatan,Total Beban Usaha,Beban Bunga,Pembentukan Cadangan Kerugian Penurunan Nilai,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,178392437000.000000,178351492000.000000,40945000.000000,178392437000.000000,-159441628000.000000,-76857979000.000000,-24199016000.000000,-41701530000.000000,-15576829000.000000,-1106274000.000000,-159441628000.000000,18950809000.000000,-2061250000.000000,,-2061250000.000000,-2061250000.000000,16889559000.000000,-4342582000.000000,12546977000.000000,,12546977000.000000,12546977000.000000,12546977000.000000,,12546977000.000000,12546977000.000000,12546977000.000000,,12546977000.000000
12M 2011,219251174000.000000,218777969000.000000,473205000.000000,219251174000.000000,-198772059000.000000,-100289928000.000000,-34155288000.000000,-44767438000.000000,-17988897000.000000,-1570508000.000000,-198772059000.000000,20479115000.000000,3401835000.000000,,3401835000.000000,3401835000.000000,23880950000.000000,-2819840000.000000,21061110000.000000,,21061110000.000000,21061110000.000000,21061110000.000000,,21061110000.000000,21061110000.000000,21061110000.000000,,21061110000.000000
12M 2012,283403267000.000000,283280244000.000000,123023000.000000,283403267000.000000,-269308515000.000000,-134173393000.000000,-84928191000.000000,-28080639000.000000,-18562276000.000000,-3564016000.000000,-269308515000.000000,14094752000.000000,3464308000.000000,,3464308000.000000,3464308000.000000,17559060000.000000,-2538683000.000000,15020377000.000000,,15020377000.000000,15020377000.000000,15020377000.000000,,15020377000.000000,15020377000.000000,15020377000.000000,,15020377000.000000
12M 2013,256316117000.000000,256270251000.000000,45866000.000000,256316117000.000000,-270525000000.000000,-160394570000.000000,-62064850000.000000,-32511403000.000000,-13679560000.000000,-1874617000.000000,-270525000000.000000,-14208883000.000000,32766855000.000000,,32766855000.000000,32766855000.000000,18557972000.000000,-1393124000.000000,17164848000.000000,,17164848000.000000,17164848000.000000,17164848000.000000,,17164848000.000000,17164848000.000000,17164848000.000000,,17164848000.000000
12M 2014,337642199000.000000,337152844000.000000,489355000.000000,337642199000.000000,-338970654000.000000,-215725295000.000000,-64297728000.000000,-35306395000.000000,-20870326000.000000,-2770910000.000000,-338970654000.000000,-1328455000.000000,42464945000.000000,,42464945000.000000,42464945000.000000,41136490000.000000,-2655428000.000000,38481062000.000000,,37937680000.000000,38481062000.000000,38481062000.000000,,38481062000.000000,37937680000.000000,37937680000.000000,,37937680000.000000
12M 2015,474837840000.000000,472540934000.000000,2296906000.000000,474837840000.000000,-481814275000.000000,-287815153000.000000,-96377599000.000000,-61541313000.000000,-35814491000.000000,-265719000.000000,-481814275000.000000,-6976435000.000000,55441261000.000000,-459381000.000000,55900642000.000000,55441261000.000000,48464826000.000000,-8610460000.000000,39854366000.000000,,41181630000.000000,39854366000.000000,39854366000.000000,,39854366000.000000,41181630000.000000,41181630000.000000,,41181630000.000000
12M 2016,548989398000.000000,546844578000.000000,2144820000.000000,548989398000.000000,-803833940000.000000,-344779625000.000000,-121771693000.000000,-214321314000.000000,-120847529000.000000,-2113779000.000000,-803833940000.000000,-254844542000.000000,283310487000.000000,-428964000.000000,283739451000.000000,283310487000.000000,28465945000.000000,-2835735000.000000,25630210000.000000,,24718580000.000000,25630210000.000000,25630210000.000000,,25630210000.000000,24718580000.000000,24718580000.000000,,24718580000.000000
12M 2017,583096686000.000000,580071631000.000000,3025055000.000000,583096686000.000000,-858364030000.000000,-388116710000.000000,-116942479000.000000,-202037882000.000000,-132229908000.000000,-19037051000.000000,-858364030000.000000,-275267344000.000000,296240920000.000000,-605011000.000000,296845931000.000000,296240920000.000000,20973576000.000000,-3115467000.000000,17858109000.000000,,11425651000.000000,17858109000.000000,17858109000.000000,,17858109000.000000,11425651000.000000,11425651000.000000,,11425651000.000000
12M 2018,184582616000.000000,170964523000.000000,13618093000.000000,184582616000.000000,-714210386000.000000,-316734380000.000000,-77893834000.000000,-163030039000.000000,-153342479000.000000,-3209654000.000000,-714210386000.000000,-529627770000.000000,185310382000.000000,-2723619000.000000,188034001000.000000,185310382000.000000,-344317388000.000000,62533214000.000000,-281784174000.000000,,-292565818000.000000,-281784174000.000000,-281784174000.000000,,-281784174000.000000,-292565818000.000000,-292565818000.000000,,-292565818000.000000
12M 2019,175512938000.000000,155675511000.000000,19837427000.000000,175512938000.000000,-460146455000.000000,-142182898000.000000,-69128242000.000000,-140926285000.000000,-107496132000.000000,-412898000.000000,-460146455000.000000,-284633517000.000000,78925669000.000000,-3967485000.000000,82893154000.000000,78925669000.000000,-205707848000.000000,5997782000.000000,-199710066000.000000,,-198213285000.000000,-199710066000.000000,-199710066000.000000,,-199710066000.000000,-198213285000.000000,-198213285000.000000,,-198213285000.000000
12M 2020,70115576000.000000,49626279000.000000,20489297000.000000,70115576000.000000,-219117068000.000000,-49472000000.000000,-44905697000.000000,-64876379000.000000,-59721643000.000000,-141349000.000000,-219117068000.000000,-149001492000.000000,21723941000.000000,-4097859000.000000,25821800000.000000,21723941000.000000,-127277551000.000000,27818190000.000000,-99459361000.000000,,-84433201000.000000,-99459361000.000000,-99459361000.000000,,-99459361000.000000,-84433201000.000000,-84433201000.000000,,-84433201000.000000
12M 2021,123778136000.000000,120121691000.000000,3656445000.000000,123778136000.000000,-123701753000.000000,-47415627000.000000,-1738628000.000000,,-74361883000.000000,-185615000.000000,-123701753000.000000,76383000.000000,30454863000.000000,-731289000.000000,31186152000.000000,30454863000.000000,30531246000.000000,4950566000.000000,35481812000.000000,,34775555000.000000,35481812000.000000,35481812000.000000,,35481812000.000000,34775555000.000000,34775555000.000000,,34775555000.000000
12M 2022,181990515000.000000,179938174000.000000,2052341000.000000,181990515000.000000,-144001912000.000000,-76275030000.000000,3353889000.000000,,-71043453000.000000,-37318000.000000,-144001912000.000000,37988603000.000000,16944572000.000000,-410468000.000000,17355040000.000000,16944572000.000000,54933175000.000000,-13118913000.000000,41814262000.000000,,43682140000.000000,41814262000.000000,41814262000.000000,,41814262000.000000,43682140000.000000,43682140000.000000,,43682140000.000000
12M 2023,234038162000.000000,232822447000.000000,1215715000.000000,234038162000.000000,-255062479000.000000,-133137244000.000000,-10176756000.000000,,-111694313000.000000,-54166000.000000,-255062479000.000000,-21024317000.000000,24902698000.000000,-243143000.000000,25145841000.000000,24902698000.000000,3878381000.000000,-60971375000.000000,-57092994000.000000,,-57151546000.000000,-57092994000.000000,-57092994000.000000,,-57092994000.000000,-57151546000.000000,-57151546000.000000,,-57151546000.000000
12M 2024,345706134000.000000,344099690000.000000,1606444000.000000,345706134000.000000,-386192665000.000000,-226885544000.000000,-18962980000.000000,,-140262181000.000000,-81960000.000000,-386192665000.000000,-40486531000.000000,41242971000.000000,-321289000.000000,41564260000.000000,41242971000.000000,756440000.000000,-43920566000.000000,-43164126000.000000,,-43002679000.000000,-43164126000.000000,-43164126000.000000,,-43164126000.000000,-43002679000.000000,-43002679000.000000,,-43002679000.000000
