Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Keuntungan Atas Penjualan Entitas Anak,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,2358101000000.000000,-2073493000000.000000,284608000000.000000,-137813000000.000000,146795000000.000000,1790391000000.000000,1952794000000.000000,98728000000.000000,,-45918000000.000000,-216561000000.000000,1348000000.000000,1790391000000.000000,1937186000000.000000,-26310000000.000000,,,,-26310000000.000000,1910876000000.000000,629082000000.000000,2539958000000.000000,1910876000000.000000,1816612000000.000000,94264000000.000000,1910876000000.000000,2539958000000.000000,2449687000000.000000,90271000000.000000,2539958000000.000000
12M 2013,3658760000000.000000,-3285891000000.000000,372869000000.000000,-196837000000.000000,176032000000.000000,215319000000.000000,932588000000.000000,209982000000.000000,,-499980000000.000000,-286720000000.000000,-140551000000.000000,215319000000.000000,391351000000.000000,-42263000000.000000,,,,-42263000000.000000,349088000000.000000,-509476000000.000000,-160388000000.000000,349088000000.000000,245914000000.000000,103174000000.000000,349088000000.000000,-160388000000.000000,-288568000000.000000,128180000000.000000,-160388000000.000000
12M 2014,6123875000000.000000,-5385075000000.000000,738800000000.000000,-224137000000.000000,514663000000.000000,683312000000.000000,942630000000.000000,187971000000.000000,,-53361000000.000000,-278917000000.000000,-115011000000.000000,683312000000.000000,1197975000000.000000,-133165000000.000000,,,,-133165000000.000000,1064810000000.000000,-102843000000.000000,961967000000.000000,1064810000000.000000,802926000000.000000,261884000000.000000,1064810000000.000000,961967000000.000000,692787000000.000000,269180000000.000000,961967000000.000000
12M 2015,4282278000000.000000,-3318226000000.000000,964052000000.000000,-300293000000.000000,663759000000.000000,1012710000000.000000,,76011000000.000000,,-210543000000.000000,-369922000000.000000,1517164000000.000000,1012710000000.000000,1676469000000.000000,-224857000000.000000,,,,-224857000000.000000,1451612000000.000000,-715823000000.000000,735789000000.000000,1451612000000.000000,923407000000.000000,528205000000.000000,1451612000000.000000,735789000000.000000,194323000000.000000,541466000000.000000,735789000000.000000
12M 2016,6344774000000.000000,,6344774000000.000000,-143619000000.000000,6201155000000.000000,383980000000.000000,,,,90695000000.000000,-282834000000.000000,576119000000.000000,383980000000.000000,6585135000000.000000,-881710000000.000000,,,,-881710000000.000000,5703425000000.000000,384419000000.000000,6087844000000.000000,5703425000000.000000,5669928000000.000000,33497000000.000000,5703425000000.000000,6087844000000.000000,6078672000000.000000,9172000000.000000,6087844000000.000000
12M 2017,2293403000000.000000,,2293403000000.000000,-212717000000.000000,2080686000000.000000,1106783000000.000000,,,,-27864000000.000000,-348016000000.000000,1482663000000.000000,1106783000000.000000,3187469000000.000000,-79292000000.000000,-182789000000.000000,103497000000.000000,,-79292000000.000000,3108177000000.000000,51913000000.000000,3160090000000.000000,3108177000000.000000,3231698000000.000000,-123521000000.000000,3108177000000.000000,3160090000000.000000,3272477000000.000000,-112387000000.000000,3160090000000.000000
12M 2018,-6104643000000.000000,,-6104643000000.000000,-138387000000.000000,-6243030000000.000000,-442026000000.000000,,,,-150383000000.000000,-281971000000.000000,-9672000000.000000,-442026000000.000000,-6685056000000.000000,550224000000.000000,-80762000000.000000,630986000000.000000,,550224000000.000000,-6134832000000.000000,1069000000.000000,-6133763000000.000000,-6134832000000.000000,-6194577000000.000000,59745000000.000000,-6134832000000.000000,-6133763000000.000000,-6193524000000.000000,59761000000.000000,-6133763000000.000000
12M 2019,8241125000000.000000,,8241125000000.000000,-157014000000.000000,8084111000000.000000,-346023000000.000000,,,,72793000000.000000,-316879000000.000000,-101937000000.000000,-346023000000.000000,7738088000000.000000,-393970000000.000000,,,,-393970000000.000000,7344118000000.000000,-2302000000.000000,7341816000000.000000,7344118000000.000000,7371033000000.000000,-26915000000.000000,7344118000000.000000,7341816000000.000000,7369027000000.000000,-27211000000.000000,7341816000000.000000
12M 2020,9186701000000.000000,,9186701000000.000000,-182227000000.000000,9004474000000.000000,-311249000000.000000,,,,-26267000000.000000,-220676000000.000000,-64306000000.000000,-311249000000.000000,8693225000000.000000,130107000000.000000,-9653000000.000000,139760000000.000000,,130107000000.000000,8823332000000.000000,1551000000.000000,8824883000000.000000,8823332000000.000000,8825428000000.000000,-2096000000.000000,8823332000000.000000,8824883000000.000000,8825999000000.000000,-1116000000.000000,8824883000000.000000
12M 2021,26064901000000.000000,,26064901000000.000000,-153497000000.000000,25911404000000.000000,-215336000000.000000,,,,-16306000000.000000,-192137000000.000000,-6893000000.000000,-215336000000.000000,25696068000000.000000,-804242000000.000000,-909000000.000000,-803333000000.000000,,-804242000000.000000,24891826000000.000000,3383000000.000000,24895209000000.000000,24891826000000.000000,24889900000000.000000,1926000000.000000,24891826000000.000000,24895209000000.000000,24893268000000.000000,1941000000.000000,24895209000000.000000
12M 2022,6338674000000.000000,,6338674000000.000000,-232400000000.000000,6106274000000.000000,-247602000000.000000,,,,-82369000000.000000,-184833000000.000000,19600000000.000000,-247602000000.000000,5858672000000.000000,-1232449000000.000000,-14506000000.000000,-1217943000000.000000,,-1232449000000.000000,4626223000000.000000,-40001000000.000000,4586222000000.000000,4626223000000.000000,4616367000000.000000,9856000000.000000,4626223000000.000000,4586222000000.000000,4587086000000.000000,-864000000.000000,4586222000000.000000
12M 2023,-11003035000000.000000,,-11003035000000.000000,-222144000000.000000,-11225179000000.000000,-84086000000.000000,,,,12560000000.000000,-95106000000.000000,-1540000000.000000,-84086000000.000000,-11309265000000.000000,1157924000000.000000,-2801000000.000000,1160725000000.000000,,1157924000000.000000,-10151341000000.000000,26432000000.000000,-10124909000000.000000,-10151341000000.000000,-10149771000000.000000,-1570000000.000000,-10151341000000.000000,-10124909000000.000000,-10124870000000.000000,-39000000.000000,-10124909000000.000000
12M 2024,1478187000000.000000,,1478187000000.000000,-232424000000.000000,1245763000000.000000,3669463000000.000000,,3849103000000.000000,,-32143000000.000000,-153187000000.000000,5690000000.000000,3669463000000.000000,4915226000000.000000,-1623730000000.000000,-9217000000.000000,-1614513000000.000000,,-1623730000000.000000,3291496000000.000000,26456000000.000000,3317952000000.000000,3291496000000.000000,3290197000000.000000,1299000000.000000,3291496000000.000000,3317952000000.000000,3316653000000.000000,1299000000.000000,3317952000000.000000
