Period,Aset,Aset Lancar,Kas Dan Setara Kas,Penempatan Pada Bank Indonesia Dan Bank Lain,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Others,Total Piutang Lain-Lain,Persediaan,Properti Investasi,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Properti Investasi,Aset Tetap,Aset Tak Berwujud,Goodwill,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Liabilitas Derivatif,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Liabilitas Derivatif,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Wesel Bayar,Utang Obligasi,Obligasi Konversi,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,872324000000.000000,,124923000000.000000,,124923000000.000000,124923000000.000000,131165000000.000000,,,,131165000000.000000,98613000000.000000,,2614069000000.000000,3841094000000.000000,,,,,,4504562000000.000000,5886000000.000000,749619000000.000000,,100682000000.000000,25615000000.000000,176441000000.000000,5562805000000.000000,9403899000000.000000,,,775265000000.000000,144139000000.000000,447196000000.000000,,,447196000000.000000,20841000000.000000,26165000000.000000,,129189000000.000000,831000000.000000,882000000.000000,130902000000.000000,6022000000.000000,775265000000.000000,1506605000000.000000,,1495333000000.000000,1179000000.000000,491000000.000000,1497003000000.000000,,,,,9602000000.000000,1506605000000.000000,2281870000000.000000,,7700000000.000000,1639370000000.000000,3287464000000.000000,64683000000.000000,2122812000000.000000,7122029000000.000000,9403899000000.000000,7700.000000
12M 2012,,,1243053000000.000000,,178179000000.000000,,178179000000.000000,178179000000.000000,540573000000.000000,,,,540573000000.000000,80251000000.000000,,2572611000000.000000,4614667000000.000000,,,,,,6855714000000.000000,32877000000.000000,887826000000.000000,,100682000000.000000,16484000000.000000,403185000000.000000,8296768000000.000000,12911435000000.000000,,,489446000000.000000,87724000000.000000,38839000000.000000,,,38839000000.000000,63441000000.000000,24464000000.000000,,260411000000.000000,692000000.000000,4662000000.000000,265765000000.000000,9213000000.000000,489446000000.000000,2691674000000.000000,,2676439000000.000000,697000000.000000,,2677136000000.000000,,,,1935000000.000000,12603000000.000000,2691674000000.000000,3181120000000.000000,,244167000000.000000,1372515000000.000000,5104077000000.000000,121490000000.000000,2888066000000.000000,9730315000000.000000,12911435000000.000000,244167.000000
12M 2013,,,405632000000.000000,,498437000000.000000,,498437000000.000000,498437000000.000000,215984000000.000000,80147000000.000000,135837000000.000000,,215984000000.000000,97096000000.000000,,302202000000.000000,1519351000000.000000,,93597000000.000000,,,93597000000.000000,10945522000000.000000,64497000000.000000,1187037000000.000000,2498000000.000000,100682000000.000000,2289000000.000000,2294412000000.000000,14690534000000.000000,16209885000000.000000,,,2086143000000.000000,62493000000.000000,,33692000000.000000,1452129000000.000000,1485821000000.000000,14923000000.000000,40575000000.000000,,474201000000.000000,827000000.000000,5198000000.000000,480226000000.000000,2105000000.000000,2086143000000.000000,3456033000000.000000,,3417442000000.000000,,,3417442000000.000000,,,,26104000000.000000,12487000000.000000,3456033000000.000000,5542176000000.000000,,271297000000.000000,2570074000000.000000,5349991000000.000000,257848000000.000000,2218499000000.000000,10667709000000.000000,16209885000000.000000,2712967000.000000
12M 2014,,,537772000000.000000,,621346000000.000000,,621346000000.000000,621346000000.000000,66819000000.000000,61715000000.000000,5104000000.000000,,66819000000.000000,90907000000.000000,,548765000000.000000,1865609000000.000000,,122916000000.000000,23340000000.000000,99576000000.000000,122916000000.000000,10645375000000.000000,113037000000.000000,1150943000000.000000,1940000000.000000,153456000000.000000,3129000000.000000,2291499000000.000000,14482295000000.000000,16347904000000.000000,,,807985000000.000000,19831000000.000000,,66314000000.000000,,66314000000.000000,76385000000.000000,120491000000.000000,,433543000000.000000,,1984000000.000000,435527000000.000000,89437000000.000000,807985000000.000000,3960132000000.000000,,3182737000000.000000,,,3182737000000.000000,729635000000.000000,,,30959000000.000000,16801000000.000000,3960132000000.000000,4768117000000.000000,,271297000000.000000,2570074000000.000000,6152917000000.000000,565073000000.000000,2020426000000.000000,11579787000000.000000,16347904000000.000000,2712967000.000000
12M 2015,,,400500000000.000000,,305282000000.000000,,305282000000.000000,305282000000.000000,120094000000.000000,78029000000.000000,42065000000.000000,,120094000000.000000,190089000000.000000,,553733000000.000000,1569698000000.000000,,149465000000.000000,117366000000.000000,32099000000.000000,149465000000.000000,10517639000000.000000,114896000000.000000,1189171000000.000000,1516000000.000000,100682000000.000000,3458000000.000000,3054915000000.000000,15131742000000.000000,16701440000000.000000,,,1035106000000.000000,19935000000.000000,,44000000.000000,,44000000.000000,90043000000.000000,78677000000.000000,,704820000000.000000,,41905000000.000000,746725000000.000000,99682000000.000000,1035106000000.000000,4185550000000.000000,,2350562000000.000000,,,2350562000000.000000,717210000000.000000,,1049462000000.000000,50867000000.000000,17449000000.000000,4185550000000.000000,5220656000000.000000,,271297000000.000000,2570074000000.000000,6582350000000.000000,948861000000.000000,1108202000000.000000,11480784000000.000000,16701440000000.000000,2712967000.000000
12M 2016,,,488439000000.000000,,380600000000.000000,,380600000000.000000,380600000000.000000,,,,,,,,271380000000.000000,1140419000000.000000,,,,,,23801617000000.000000,84635000000.000000,6278000000.000000,222000000.000000,,,111101000000.000000,24003853000000.000000,25144272000000.000000,,,339090000000.000000,,,201000000.000000,,201000000.000000,20961000000.000000,37375000000.000000,,,,,,280553000000.000000,339090000000.000000,5438645000000.000000,,2791798000000.000000,,,2791798000000.000000,721108000000.000000,,1061926000000.000000,846645000000.000000,17168000000.000000,5438645000000.000000,5777735000000.000000,,271297000000.000000,5184989000000.000000,11989793000000.000000,382203000000.000000,1538255000000.000000,19366537000000.000000,25144272000000.000000,2712967000.000000
12M 2017,,,902173000000.000000,,623283000000.000000,,623283000000.000000,623283000000.000000,,,,,,,,20564000000.000000,1546020000000.000000,,,,,,24755150000000.000000,122807000000.000000,4957000000.000000,43000000.000000,,,200616000000.000000,25083573000000.000000,26629593000000.000000,,,148721000000.000000,,,85000000.000000,,85000000.000000,3741000000.000000,130430000000.000000,,,,,,14465000000.000000,148721000000.000000,4193513000000.000000,,2465413000000.000000,,,2465413000000.000000,,,958639000000.000000,752292000000.000000,17169000000.000000,4193513000000.000000,4342234000000.000000,,271297000000.000000,5184989000000.000000,14984136000000.000000,254353000000.000000,1592584000000.000000,22287359000000.000000,26629593000000.000000,2712967000.000000
12M 2018,,,782337000000.000000,,365900000000.000000,,365900000000.000000,365900000000.000000,,,,,,,,18830471000000.000000,19978708000000.000000,,,,,,,82328000000.000000,,,,,53838000000.000000,136166000000.000000,20114874000000.000000,,,3995842000000.000000,,,309000000.000000,,309000000.000000,4226000000.000000,46691000000.000000,,,,,,3944616000000.000000,3995842000000.000000,154784000000.000000,,,,13279000000.000000,13279000000.000000,,,,121641000000.000000,19864000000.000000,154784000000.000000,4150626000000.000000,,271297000000.000000,5185019000000.000000,10105699000000.000000,308780000000.000000,93453000000.000000,15964248000000.000000,20114874000000.000000,2712967000.000000
12M 2019,,,393720000000.000000,,440289000000.000000,,440289000000.000000,440289000000.000000,,,,,,,,25694408000000.000000,26528417000000.000000,,,,,,,102704000000.000000,,,,,26402000000.000000,129106000000.000000,26657523000000.000000,,,3359287000000.000000,,,518000000.000000,,518000000.000000,5643000000.000000,21261000000.000000,,,,,,3331865000000.000000,3359287000000.000000,524071000000.000000,,,,32263000000.000000,32263000000.000000,,,,467152000000.000000,24656000000.000000,524071000000.000000,3883358000000.000000,,271297000000.000000,5185019000000.000000,17177360000000.000000,49402000000.000000,91087000000.000000,22774165000000.000000,26657523000000.000000,2712967000.000000
12M 2020,,,430605000000.000000,,80540000000.000000,,80540000000.000000,80540000000.000000,,,,,,,,34409028000000.000000,34920173000000.000000,,,,,,,102704000000.000000,,,,,26072000000.000000,128776000000.000000,35048949000000.000000,,,3241306000000.000000,,7900000000.000000,,,7900000000.000000,,1153000000.000000,,,,,,3232253000000.000000,3241306000000.000000,411016000000.000000,,,,49609000000.000000,49609000000.000000,,,,326779000000.000000,34628000000.000000,411016000000.000000,3652322000000.000000,,271297000000.000000,5185019000000.000000,25851638000000.000000,19106000000.000000,69567000000.000000,31396627000000.000000,35048949000000.000000,2712967000.000000
