Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kas Kepada,Pemasok,Karyawan,Total Pembayaran Kas Kepada,Pembayaran Untuk Operasi Lainnya,Penerimaan Dari Pendapatan Keuangan,Pembayaran Atas Beban Keuangan,Penerimaan Piutang,Pemberian Piutang,Perubahan Pada Piutang Non Usaha,Penempatan Investasi Pada Efek Ekuitas,Penerimaan Dari Penjualan Investasi Pada Efek Ekuitas,Penerimaan Dari Pendapatan Dividen,Pembayaran Dividen Kepada Kepentingan Non-Pengendali,Perolehan Aset Keuangan Tersedia Untuk Dijual,Penerimaan Dari Pengembalian Setoran Modal Saham,Penerimaan Uang Muka Penjualan Investasi,Pembayaran Uang Muka Investasi,Perubahan Pada Piutang,Penurunan (Kenaikan) Aset Lainnya,Perubahan Pada Uang Muka Investasi,Restitusi Pajak,Pembayaran Bunga,Penjualan Properti Investasi,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,(Penempatan Pada) Penerimaan Dari Rekening Bank Yang Dibatasi Penggunaannya,Perubahan Pada Uang Muka Penyertaan Saham,Penambahan Aset Tidak Lancar Lainnya,Penerimaan Dari Penjualan Asosiasi,Pembayaran Uang Muka Proyek,Pembayaran Hutang Lain-Lain Sehubungan Dengan Investasi,Perolehan Aset Tetap,Penambahan Investasi,Perubahan Pada Aset Keuangan Lainnya,Penempatan Investasi Pada Penyertaan Saham,Penerimaan Dari Penjualan Aset Tetap,Penambahan Aset Tidak Berwujud,Perolehan Aset Keuangan Tersedia Untuk Dijual,Penerimaan Dari Penjualan Aset Keuangan Tersedia Untuk Dijual,Penambahan Properti Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman Bank,Penerimaan Bersih Hasil Penawaran Umum Saham Perdana,Penerimaan Setoran Modal,Pembayaran Untuk Pinjaman Bank - Bersih,Pembayaran Untuk Biaya Fasilitas Pinjaman Bank,Penambahan Pada Piutang Lain-Lain – Tidak Lancar,Penerimaan Dari Kas Yang Dibatasi Penggunaannya,Pembayaran Biaya Penerbitan Saham,Pengembalian Modal Kepada Kepentingan Nonpengendali,Pembayaran Biaya Transaksi,Penerimaan Setoran Modal Di Entitas Anak Dari Kepentingan Non-Pengendali,Pembayaran Untuk Pinjaman Kepada Pihak Berelasi,Pembayaran Saham Treasuri,Pembayaran Untuk Sewa Pembiayaan,Pembayaran Dividen,Perubahan Kepemilikan Kepentingan Non-Pengendali,Pembayaran Dividen Kepada Kepentingan Non-Pengendali Oleh Entitas Anak,Penerimaan Dari Wesel Bayar,Pembayaran Wesel Bayar Jangka Menengah,Pembayaran Untuk Saham Treasuri,Penerimaan Dari Obligasi Tukar,Pembayaran Utang Obligasi,Penebusan Kembali Dari Obligasi Tukar,Pembayaran Biaya Transaksi Obligasi Tukar,Tambahan Modal Disetor Dan Amnesti Pajak,Penambahan Pada Uang Muka Setoran Modal,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Dari Entitas Anak Yang Dilepas,Kas Dan Setara Kas Akhir Periode
12M 2012,552240000000.000000,2304407000000.000000,,-2128426000000.000000,-66459000000.000000,-2194885000000.000000,-402492000000.000000,17628000000.000000,-172877000000.000000,,,,,,1016548000000.000000,,,,,,,,,,,,-16089000000.000000,552240000000.000000,-1237295000000.000000,-84223000000.000000,-312453000000.000000,,9692000000.000000,-1200000000.000000,,-156321000000.000000,-1506939000000.000000,840319000000.000000,,2013000000.000000,,,,-28183000000.000000,-1237295000000.000000,1097108000000.000000,1357198000000.000000,,236467000000.000000,-78376000000.000000,,,,,,,7323000000.000000,-424063000000.000000,,-822000000.000000,,,-619000000.000000,,,,,,,,,,,1097108000000.000000,412053000000.000000,,872324000000.000000,-41324000000.000000,1243053000000.000000
12M 2013,84000000.000000,3331395000000.000000,,-3311123000000.000000,-109743000000.000000,-3420866000000.000000,-231528000000.000000,65912000000.000000,-185962000000.000000,,,,,,217306000000.000000,,,,,,230992000000.000000,,,,,,-7165000000.000000,84000000.000000,-2743008000000.000000,,-154200000000.000000,,375000000.000000,1362000000.000000,-37673000000.000000,-128878000000.000000,-1591236000000.000000,389000000.000000,,,-2552000000.000000,-811898000000.000000,5313000000.000000,-24010000000.000000,-2743008000000.000000,2678615000000.000000,3599102000000.000000,1492134000000.000000,,-2406778000000.000000,,,88003000000.000000,-69035000000.000000,,-24811000000.000000,,,,,,,,,,,,,,,,,,2678615000000.000000,-64309000000.000000,-773073000000.000000,1243053000000.000000,-39000000.000000,405632000000.000000
12M 2014,353076000000.000000,6010142000000.000000,,-5427739000000.000000,-68536000000.000000,-5496275000000.000000,-42918000000.000000,13781000000.000000,-241987000000.000000,,,,,,234647000000.000000,,,,30041000000.000000,,-144917000000.000000,,,,,,-9438000000.000000,353076000000.000000,-337343000000.000000,,-264483000000.000000,,50828000000.000000,3606000000.000000,,-29563000000.000000,-15993000000.000000,,,584000000.000000,,-64036000000.000000,,-18286000000.000000,-337343000000.000000,116407000000.000000,1358204000000.000000,,,-1929657000000.000000,,,-3681000000.000000,,,-33459000000.000000,,,,,,,,725000000000.000000,,,,,,,,,,116407000000.000000,132140000000.000000,,405632000000.000000,,537772000000.000000
12M 2015,567568000000.000000,4596928000000.000000,,-3318122000000.000000,-100756000000.000000,-3418878000000.000000,-155582000000.000000,24612000000.000000,-282893000000.000000,,,,,,169793000000.000000,,,,-51302000000.000000,,-62949000000.000000,,,,,,-252161000000.000000,567568000000.000000,-571317000000.000000,,,,,,,-18850000000.000000,-201929000000.000000,,,555000000.000000,,-351093000000.000000,,,-571317000000.000000,45696000000.000000,190112000000.000000,,,-1177512000000.000000,,,-280199000000.000000,,,,,,,,,,,,,-5905000000.000000,1319200000000.000000,,,,,,,45696000000.000000,41947000000.000000,-179219000000.000000,537772000000.000000,,400500000000.000000
12M 2016,292736000000.000000,,,,-92653000000.000000,-92653000000.000000,-40806000000.000000,200230000000.000000,-262050000000.000000,,,,-151352000000.000000,192900000000.000000,566507000000.000000,,,12996000000.000000,-10513000000.000000,,-106304000000.000000,,,,,,-16219000000.000000,292736000000.000000,-256000000.000000,,,,,,,-193000000.000000,,,,,-63000000.000000,,,,-256000000.000000,-303476000000.000000,863392000000.000000,,,-745151000000.000000,,,34016000000.000000,,,,,,,,,,-252108000000.000000,,,-3848000000.000000,,,-202502000000.000000,,2361000000.000000,,364000000.000000,-303476000000.000000,-10996000000.000000,216941000000.000000,400500000000.000000,-118006000000.000000,488439000000.000000
12M 2017,1922507000000.000000,,,,-96875000000.000000,-96875000000.000000,-143323000000.000000,322028000000.000000,-364787000000.000000,,,,-245022000000.000000,2048863000000.000000,808989000000.000000,,,,-92296000000.000000,,-225336000000.000000,,,,,,-89734000000.000000,1922507000000.000000,-39000000.000000,,,,,,,-39000000.000000,,,,,,,,,-39000000.000000,-1494380000000.000000,668500000000.000000,,,-1027117000000.000000,,,3725000000.000000,,,,,,,,,,-235800000000.000000,-725000000000.000000,,-2057000000.000000,,,-176631000000.000000,,,,,-1494380000000.000000,428088000000.000000,-14354000000.000000,488439000000.000000,,902173000000.000000
12M 2018,-378929000000.000000,,,,-62019000000.000000,-62019000000.000000,-98694000000.000000,38289000000.000000,-273002000000.000000,,,,-1551512000000.000000,558398000000.000000,939706000000.000000,,,,,,244494000000.000000,,-51754000000.000000,,,41666000000.000000,-164501000000.000000,-378929000000.000000,-162000000.000000,,,,,,,-162000000.000000,,,,,,,,,-162000000.000000,167874000000.000000,3053274000000.000000,,,-1727782000000.000000,,,7341000000.000000,,,,,,,,,,-200759000000.000000,,,-6549000000.000000,-957681000000.000000,,,,30000000.000000,,,167874000000.000000,-211217000000.000000,91381000000.000000,902173000000.000000,,782337000000.000000
12M 2019,674502000000.000000,,,,-93617000000.000000,-93617000000.000000,-91312000000.000000,47106000000.000000,-334503000000.000000,,-24556000000.000000,,-1687189000000.000000,1025562000000.000000,1839418000000.000000,,,,,,67129000000.000000,,,,,,-73536000000.000000,674502000000.000000,-243000000.000000,,,,,,,-243000000.000000,,,,,,,,,-243000000.000000,-1064590000000.000000,3105119000000.000000,,,-3627032000000.000000,,,12000000.000000,,,,,,,,-298198000000.000000,,-232167000000.000000,,,-12324000000.000000,,,,,,,,-1064590000000.000000,-390331000000.000000,1714000000.000000,782337000000.000000,,393720000000.000000
12M 2020,366699000000.000000,,,,-94433000000.000000,-94433000000.000000,-91195000000.000000,21242000000.000000,-236013000000.000000,,,,-585886000000.000000,298072000000.000000,1069564000000.000000,,,,,,14793000000.000000,,,,,,-29445000000.000000,366699000000.000000,-425000000.000000,,,,,,,-500000000.000000,,,,75000000.000000,,,,,-425000000.000000,-314474000000.000000,1049820000000.000000,,,-1138278000000.000000,,,-283000000.000000,,,,,,,,-148976000000.000000,-4012000000.000000,-16428000000.000000,,,-56317000000.000000,,,,,,,,-314474000000.000000,51800000000.000000,-14915000000.000000,393720000000.000000,,430605000000.000000
12M 2021,-362643000000.000000,,,,-91980000000.000000,-91980000000.000000,-82156000000.000000,8496000000.000000,-193551000000.000000,,,,-1317184000000.000000,443465000000.000000,871386000000.000000,,,,,,665000000.000000,,,,,,-1784000000.000000,-362643000000.000000,-453000000.000000,,,,,,,-453000000.000000,,,,,,,,,-453000000.000000,383298000000.000000,1964355000000.000000,,,-1284719000000.000000,,,-9000000.000000,,,,,,,,-296329000000.000000,,,,,,,,,,,,,383298000000.000000,20202000000.000000,11305000000.000000,430605000000.000000,,462112000000.000000
