Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok Dan Pihak Ketiga,Pembayaran Kepada Karyawan,Penerimaan ( Pembayaran ) Bunga- Bersih,Pembayaran Bunga,Penerimaan Bunga,Total Penerimaan ( Pembayaran ) Bunga- Bersih,Penerimaan Dividen,Penerimaan Atas Unwind Call Spread Option,Penempatan Pada (Pencairan) Restricted Fund,Penerimaan Penjualan Unit Reit,Penerimaan Pajak,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Atas Penawaran Umum Saham Perdana,Penerimaan Dividen,Penerimaan Jaminan Kinerja Rumah Sakit,Penerimaan Surat Promes,Perolehan Property Investasi,Pelepasan Property Investasi,Penjualan Aset Tetap,Perolehan Aset Tetap,Perolehan Aset Tetap,Penambahan Properti Investasi,Total Perolehan Aset Tetap,Penarikan Uang Muka,Penempatan Untuk Restricted Funds,Perolehan Saham Minoritas Pada Entitas Anak,Pelepasan Saham Entitas Anak,Investasi Pada Reksadana,Pencairan,Penempatan,Total Investasi Pada Reksadana,"Perolehan Entitas Anak, Setelah Dikurangi Kas Yang Diperoleh","Pelepasan Entitas Anak, Setelah Dikurangi Kas",Penempatan Investasi,Pelunasan Utang Atas Pembelian Saham Entitas Anak,Penempatan Investasi Entitas Anak,Penambahan Piutang Kepada Pihak Berelasi,Penempatan Investasi Pada Ventura Bersama,Pelepasan Investasi Pada Ventura Bersama,Pelepasan Investasi,Penempatan Investasi Dan Uang Muka,Penempatan Investasi Lain,Pelepasan Investasi Lain,Pembayaran Kepada Pihak Ketiga,Perolehan Saham Dari Pemegang Saham Non Pengendali Pada Entitas Anak,Pengembalian Uang Muka Pembelian Aset Tetap,Penempatan Uang Muka Pembelian Aset Tetap,Penempatan Deposito Berjangka,Pembayaran Atas Entitas Anak Yang Telah Dilepas Pengendaliannya,Pembayaran Atas Pemegang Saham Non Pengendali Entitas Anak,Pelepasan Investasi Pada Dana Investasi Infrastruktur,Pembayaran Atas Perolehan Entitas Anak Yang Terutang,Pencairan Dana Yang Dibatasi Penggunaannya,Penempatan Dana Yang Dibatasi Penggunaannya,Akuisisi Entitas Anak,Penempatan Uang Muka,Penempatan Investasi Pada Entitas Asosiasi,Pelepasan Investasi Pada Entitas Asosiasi,Penempatan Investasi Pada Dana Infrastruktur,Pencairan Investasi Pada Obligasi,Penempatan Investasi Pada Obligasi,Penempatan Pada Promes,Pelepasan Investasi Aset Keuangan Tersedia Untuk Dijual,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Atas Penawaran Umum Saham Perdana Entitas Anak,Pembelian Kembali Obligasi,Biaya Pembelian Kembali Obligasi,Penerimaan Bersih Dari Penerbitan Obligasi,Penerimaan Dari Penerbitan Obligasi,Pembayaran Dari Penerbitan Obligasi,Biaya Emisi Dari Penerbitan Obligasi,Total Penerimaan Bersih Dari Penerbitan Obligasi,Penurunan Modal Pada Entitas Anak,Pembayaran Kepada Pihak Berelasi,Pembelian Kembali Saham Treasuri,Pembelian Kembali Saham Treasuri Entitas Anak,Penerimaan Atas Program Kepemilikan Saham Oleh Manajemen Entitas Anak,Pembayaran Perpetual Securities,Pelunasan Surat Promes,Penerimaan Bersih Dari Penawaran Umum Terbatas Iii,Biaya Emisi Penerbitan Saham,Pembayaran Utang Sewa Pembiayaan,Perolehan Atas Mesop Pada Entitas Anak,Penerimaan Dari (Pembayaran Kepada) Pihak Hubungan Istimewa,Penerimaan Atas Unwind Call Spread Option,Penempatan Untuk Restricted Funds,Pinjaman Anjak Piutang,Penerimaan,Pembayaran Biaya Provisi,Total Pinjaman Anjak Piutang,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Cerukan Pinjaman Bank,Pembelian Kembali Saham,Hasil Penambahan Modal Entitas Anak Melalui Hak Memesan Efek Terlebih Dahulu,Penerimaan,Biaya Emisi Saham,Total Hasil Penambahan Modal Entitas Anak Melalui Hak Memesan Efek Terlebih Dahulu,Pembayaran Pinjaman Anjak Piutang,Penerimaan Uang Muka Setoran Modal,Penerimaan Pinjaman Anjak Piutang,Penerimaan Uang Muka Setoran Modal Pada Entitas Anak,Penambahan Modal Pada Entitas Anak,Penawaran Umum Terbatas Pada Entitas Anak,Penerimaan,Biaya Emisi,Total Penawaran Umum Terbatas Pada Entitas Anak,Hasil Dari Penambahan Modal Tanpa Hmetd,Penerimaan Dari Pihak Ketiga,Pembayaran Utang Sewa Psak 73,Pembayaran Dividen Oleh Entitas Anak Kepada Kepentingan Nonpengendali,Pembayaran Dividen,Penerimaan Utang Bank Jangka Pendek,Penerimaan Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Penerimaan Dari Pihak Non Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Dampak Kas Dan Setara Kas Atas Pengendalian Entitas Anak,Dampak Kas Dan Setara Kas Atas Hilangnya Pengendalian Pada Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2008,-239041705492.000000,2676012411179.000000,-2065651030995.000000,-347844919633.000000,-247319436953.000000,,,-247319436953.000000,,,,,,-254238729090.000000,-239041705492.000000,-273799625602.000000,,34358739614.000000,,-5014994000.000000,,,5559505309.000000,-267016671933.000000,,,-267016671933.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41686204592.000000,,,,,,,,,,,-273799625602.000000,-67692372466.000000,,,,,,,,,,,,,,,-39335266601.000000,,,-432718351.000000,,-6730794855.000000,,,,,,,80593724254.000000,-101787316913.000000,,,,,,,,,,,,,,,,,,,,,,,,,-67692372466.000000,-580533703560.000000,2028987176903.000000,251463874332.000000,,,1699917347675.000000
12M 2009,115733565255.000000,3281496666236.000000,-2232745043684.000000,-323459478619.000000,-369372948348.000000,,,-369372948348.000000,,,,,,-240185630330.000000,115733565255.000000,-118138581449.000000,,36271003286.000000,,10950000000.000000,,,3287966850.000000,-164967043144.000000,,,-164967043144.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3680508441.000000,,,,,,,,,,,-118138581449.000000,60176167384.000000,,,,,,,,,,,,,,,-26458030357.000000,,,-197010898.000000,,16881273.000000,,,,,,,138038243681.000000,-51223916315.000000,,,,,,,,,,,,,,,,,,,,,,,,,60176167384.000000,57771151190.000000,1699917347675.000000,-224428577022.000000,,,1533259921843.000000
12M 2010,-689995773786.000000,3421406787564.000000,-2913401562035.000000,-363783374404.000000,-451007651518.000000,,,-451007651518.000000,,,,,,-383209973393.000000,-689995773786.000000,-93733631489.000000,,37314903005.000000,,9400000000.000000,,,220929025288.000000,-330627012618.000000,,,-330627012618.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30750547164.000000,,,,,,,,,,,-93733631489.000000,2953056766427.000000,,,,721760391601.000000,,,,721760391601.000000,,,,,,,,2373068775162.000000,,,,-3005038778.000000,,,,,,,,-88937164665.000000,,,,,,,,,,,,,,,,,,,,-49830196893.000000,,,,,2953056766427.000000,2169327361152.000000,1533259921843.000000,-42500091875.000000,,,3660087191120.000000
12M 2011,374527460106.000000,4972581629604.000000,-3402713135032.000000,-408083017261.000000,-316064203550.000000,,,-316064203550.000000,,,,,,-471193813655.000000,374527460106.000000,-2905342041622.000000,,35370007588.000000,,4495500000.000000,,,1590421400.000000,-424456041894.000000,,,-424456041894.000000,,,-221067000000.000000,,,,,,,,-2199746371810.000000,,,,,,,,,,,,,,,,,,,,-101528556906.000000,,,,,,,,,,,-2905342041622.000000,1037745192843.000000,,,,568970232006.000000,,,,568970232006.000000,,,,,,,,,,,,-6339182135.000000,,,,,,,140000000000.000000,-459622201824.000000,,-61731458788.000000,,,,,,,,,,,,,,956394200000.000000,,,,-99926396416.000000,,,,,1037745192843.000000,-1493069388673.000000,3660087191120.000000,7542894892.000000,,,2174560697339.000000
12M 2012,1288793481006.000000,7636269050885.000000,-4851031998739.000000,-684851925524.000000,,-452595838532.000000,81486812047.000000,-371109026485.000000,,,,,89887095477.000000,-530369714608.000000,1288793481006.000000,-1704701448032.000000,,270941921449.000000,61000000000.000000,31878000000.000000,,,467759850643.000000,,-940731518620.000000,-10981513930.000000,-951713032550.000000,,,-77464500000.000000,,,,,,-501676697309.000000,,-856005945917.000000,,,,,,,,,,,,,,,,,,,,-149421044348.000000,,,,,,,,,,,-1704701448032.000000,1536825247903.000000,,,,,2458404100000.000000,-218228248000.000000,-212607080000.000000,2027568772000.000000,,,,,,,,,,,,-2616065994.000000,,,,,,,45000000000.000000,-192566768420.000000,,-154792655006.000000,,,,,,,,,,,,,,,,,-8268034677.000000,-177500000000.000000,,,,,1536825247903.000000,1120917280877.000000,2174560697339.000000,41625407203.000000,,,3337103385419.000000
12M 2013,-2078824228757.000000,7810716658086.000000,-8002801477895.000000,-926561441291.000000,,-560124264854.000000,93717333882.000000,-466406930972.000000,,,,,,-493771036685.000000,-2078824228757.000000,-580321132581.000000,312795102215.000000,102000000000.000000,,814869309976.000000,,,,,-1288374464375.000000,-22911940070.000000,-1311286404445.000000,-2520000000.000000,,-160815519862.000000,,,,,,321102682275.000000,53100000000.000000,-593399462251.000000,,,,,,,,,,,,,,,,,,,,-116166840489.000000,,,,,,,,,,,-580321132581.000000,1141962270359.000000,1404900000000.000000,,,,1347241187500.000000,-1211305833210.000000,-23419111967.000000,112516242323.000000,,,,,,,,,-78466324884.000000,,,2362551181.000000,,,,,,,73583300.000000,-11218103421.000000,,,,,,,,,,,,,,,,,,,,-288205678140.000000,,,,,1141962270359.000000,-1517183090979.000000,3337357407919.000000,34877464021.000000,,,1855051780961.000000
12M 2014,731470095313.000000,10860045389639.000000,-7656034420150.000000,-1288080174631.000000,,-798918462470.000000,64860824565.000000,-734057637905.000000,,,,,,-450403061640.000000,731470095313.000000,-348598401294.000000,,247350342124.000000,156000000000.000000,,,,665198588.000000,,-625009364434.000000,-21460468648.000000,-646469833082.000000,-626756261175.000000,,-45030000000.000000,858000000000.000000,,,,,-206525706710.000000,,15295000000.000000,,,,,,,,,,,,,,,,,,,,-101127141039.000000,,,,,,,,,,,-348598401294.000000,1320131773997.000000,,,,,1716600000000.000000,,-127071741361.000000,1589528258639.000000,,,,,,,,,-1899274884.000000,,,-5499980983.000000,,,,,,,570000000000.000000,-401386972185.000000,,,,,,,,,,,,,,,,,,,-29228373877.000000,-320000000000.000000,,,-81381882713.000000,,1320131773997.000000,1703003468016.000000,1855051780961.000000,-28885773473.000000,,,3529169475504.000000
12M 2015,-2710700676429.000000,8638670900068.000000,-8597735478623.000000,-1364088264631.000000,,-863970420919.000000,83693332829.000000,-780277088090.000000,,,,,,-607270745153.000000,-2710700676429.000000,204819718850.000000,,190006743444.000000,120000000000.000000,,,,86214960.000000,,-496606674144.000000,-8304892095.000000,-504911566239.000000,-319197200722.000000,,-40692527564.000000,1136800000000.000000,-43000000000.000000,,,-43000000000.000000,,,,,,,-213357207223.000000,,-38589000000.000000,,,,,,,,,,,,,,-124258289681.000000,,,,,,,-10000000000.000000,-10206914400.000000,62139466275.000000,,204819718850.000000,753472031246.000000,,,,,,,,,,,,,,,,,,,,-18155401836.000000,,,,,,,788633369956.000000,,,,,,,,,,,,,,,,,,,,-137465876654.000000,-380000000000.000000,,531781227414.000000,-54731287634.000000,23410000000.000000,753472031246.000000,-1752408926333.000000,3582643822338.000000,9131107272.000000,,,1839366003277.000000
12M 2016,-558962000000.000000,10079228000000.000000,-7475659000000.000000,-1635605000000.000000,,-1258485000000.000000,77255000000.000000,-1181230000000.000000,,,194789000000.000000,,,-540485000000.000000,-558962000000.000000,629579000000.000000,,200670000000.000000,138000000000.000000,,,,176513000000.000000,,-529937000000.000000,-22594000000.000000,-552531000000.000000,-61760000000.000000,,-42756000000.000000,1196564000000.000000,-47000000000.000000,,,-47000000000.000000,1417000000.000000,-4021000000.000000,-98095000000.000000,,,,-37264000000.000000,,-100158000000.000000,,,,,,,,,,,,,,-140000000000.000000,,,,,,,,,,,629579000000.000000,1350745000000.000000,,,,,8900463000000.000000,-9024338000000.000000,-218890000000.000000,-342765000000.000000,,,,,,,,,,-19467000000.000000,,-13039000000.000000,,,,,,,351304000000.000000,,,,,494039000000.000000,-4199000000.000000,489840000000.000000,,,,,,,,,,,,,-6835000000.000000,-80000000000.000000,,1232598000000.000000,-260891000000.000000,,1350745000000.000000,1421362000000.000000,1839366000000.000000,-11026000000.000000,,,3249702000000.000000
12M 2017,-4507226000000.000000,12828491000000.000000,-14282481000000.000000,-1441219000000.000000,,-1152740000000.000000,82615000000.000000,-1070125000000.000000,422831000000.000000,,-391002000000.000000,,,-573721000000.000000,-4507226000000.000000,-2073113000000.000000,,42045000000.000000,138000000000.000000,,,,532896000000.000000,,-1129627000000.000000,-24041000000.000000,-1153668000000.000000,-1736036000000.000000,,-2000000000.000000,,-12116000000.000000,,,-12116000000.000000,-192166000000.000000,-64021000000.000000,,,,,-13335000000.000000,,158000000.000000,,,,,,,,,,,,,,135000000000.000000,,,,,,4000000000.000000,-995000000.000000,,249125000000.000000,,-2073113000000.000000,5864108000000.000000,,,,,,,,,,,,,,,,,,-33630000000.000000,,8360000000.000000,,,,11395000000.000000,-488000000.000000,10907000000.000000,1000000000.000000,,,,,,,,,,,3107748000000.000000,,,2874536000000.000000,-7762000000.000000,2866774000000.000000,,,,-1085000000.000000,-44177000000.000000,,322705000000.000000,-374494000000.000000,,5864108000000.000000,-716231000000.000000,3249702000000.000000,4689000000.000000,,,2538160000000.000000
