Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,2.53,260.11,2.63,250.67,,"3,222 B","3,222 B","1,522 B","7,749 B"
12M 2009,1.49,282.46,1.53,274.73,,"2,907 B","2,907 B","1,374 B","7,799 B"
12M 2010,1.65,356.48,1.67,351.65,,"3,386 B","3,386 B",(274 B),"11,134 B"
12M 2011,1.49,382.78,1.53,373.67,,"3,758 B","3,758 B","1,583 B","12,695 B"
12M 2012,1.88,461.75,1.91,452.45,196 B,"6,087 B","6,283 B","2,945 B","16,000 B"
12M 2013,1.42,554.69,1.46,540.31,317 B,"7,846 B","8,163 B","6,307 B","19,172 B"
12M 2014,1.31,676.20,1.35,653.56,593 B,"9,882 B","10,475 B","6,946 B","24,237 B"
12M 2015,1.26,710.39,1.30,687.21,"1,350 B","11,448 B","12,798 B","10,959 B","28,720 B"
12M 2016,0.77,804.78,0.80,780.01,"1,746 B","12,366 B","14,112 B","10,862 B","30,587 B"
12M 2017,0.43,989.23,0.44,959.65,"2,248 B","12,057 B","14,305 B","11,767 B","36,177 B"
12M 2018,0.27,812.52,0.28,781.85,"2,177 B","13,540 B","15,718 B","13,899 B","28,976 B"
12M 2019,0.60,405.86,0.61,395.14,"2,539 B","11,690 B","14,230 B","9,544 B","30,316 B"
12M 2020,0.78,274.73,0.81,265.31,"3,452 B","15,735 B","19,186 B","16,193 B","22,504 B"
12M 2021,0.53,264.49,0.55,254.89,"3,442 B","18,188 B","21,630 B","16,742 B","21,769 B"
12M 2022,0.37,216.12,0.38,206.56,"3,007 B","18,812 B","21,819 B","19,193 B","19,818 B"
12M 2023,0.45,216.01,0.47,206.90,"3,695 B","17,148 B","20,842 B","18,193 B","19,893 B"
12M 2024,0.24,421.29,0.24,419.05,"3,024 B","7,620 B","10,643 B","5,315 B","23,413 B"
