Period,Total Pendapatan,Final,Others,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,2553306718090.000000,,,2553306718090.000000,-1334494092559.000000,1218812625531.000000,-753359631367.000000,,-148530857460.000000,-604828773907.000000,,-753359631367.000000,465452994164.000000,6232534445.000000,68369099431.000000,832130395.000000,14929059636.000000,9458073114.000000,-87355828131.000000,6232534445.000000,471685528609.000000,-74827540819.000000,-46771645647.000000,-28055895172.000000,-74827540819.000000,396857987790.000000,-25985654034.000000,370872333756.000000,,,,,370872333756.000000,396857987790.000000,-25985654034.000000,370872333756.000000,,,,,
12M 2009,2565101010425.000000,,,2565101010425.000000,-1378533339426.000000,1186567670999.000000,-705860900053.000000,,-134910105988.000000,-570950794065.000000,,-705860900053.000000,480706770946.000000,45951248924.000000,-91160995148.000000,265958104.000000,10819166632.000000,15220649633.000000,110806469703.000000,45951248924.000000,526658019870.000000,-90172627542.000000,-82284732636.000000,-7887894906.000000,-90172627542.000000,436485392328.000000,-48431896701.000000,388053495627.000000,,,,,388053495627.000000,436485392328.000000,-48431896701.000000,388053495627.000000,,,,,
12M 2010,3125312604025.000000,,,3125312604025.000000,-1601542288803.000000,1523770315222.000000,-802410993415.000000,,-185968223638.000000,-616442769777.000000,,-802410993415.000000,721359321807.000000,-2105670035.000000,92714434789.000000,6173682595.000000,-21502225224.000000,6156047508.000000,-85647609703.000000,-2105670035.000000,719253651772.000000,-124732732990.000000,-136239927283.000000,11507194293.000000,-124732732990.000000,594520918782.000000,-69175132762.000000,525345786020.000000,,,,,525345786020.000000,594520918782.000000,-69175132762.000000,525345786020.000000,,,,,
12M 2011,4189580354855.000000,,,4189580354855.000000,-2293260256746.000000,1896320098109.000000,-968323966017.000000,,-217781474334.000000,-750542491683.000000,,-968323966017.000000,927996132092.000000,56814172966.000000,-6727591726.000000,,-776546729.000000,2366381400.000000,61951930021.000000,56814172966.000000,984810305058.000000,-170715956132.000000,-175560142390.000000,4844186258.000000,-170715956132.000000,814094348926.000000,,814094348926.000000,-234177073133.000000,-234177073133.000000,-234177073133.000000,579917275793.000000,814094348926.000000,708282328610.000000,105812020316.000000,814094348926.000000,579917275793.000000,474105255477.000000,105812020316.000000,,579917275793.000000
12M 2012,6160214023204.000000,,,6160214023204.000000,-3339267470227.000000,2820946552977.000000,-1271753309270.000000,-1343938696897.000000,,,72185387627.000000,-1271753309270.000000,1549193243707.000000,27895042678.000000,,,1632727916.000000,26262314762.000000,,27895042678.000000,1577088286385.000000,-254241267447.000000,,,-254241267447.000000,1322847018938.000000,,1322847018938.000000,1159700781153.000000,1159700781153.000000,1159700781153.000000,2482547800091.000000,1322847018938.000000,1060221934429.000000,262625084509.000000,1322847018938.000000,2482547800091.000000,2219922715582.000000,262625084509.000000,,2482547800091.000000
12M 2013,6666214436739.000000,,,6666214436739.000000,-3619571510440.000000,3046642926299.000000,-1103622577321.000000,-1534231202817.000000,,,430608625496.000000,-1103622577321.000000,1943020348978.000000,-18190121998.000000,,,-26711729704.000000,8521607706.000000,,-18190121998.000000,1924830226980.000000,-332339012284.000000,,,-332339012284.000000,1592491214696.000000,,1592491214696.000000,83656737311.000000,83656737311.000000,83656737311.000000,1676147952007.000000,1592491214696.000000,1228230222876.000000,364260991820.000000,1592491214696.000000,1676147952007.000000,1311886960187.000000,364260991820.000000,,1676147952007.000000
12M 2014,11655041747007.000000,,,11655041747007.000000,-6257664110188.000000,5397377636819.000000,-1588587520330.000000,-2120565543596.000000,,,531978023266.000000,-1588587520330.000000,3808790116489.000000,-113811574580.000000,,,-122050717802.000000,8239143222.000000,,-113811574580.000000,3694978541909.000000,-559762631282.000000,,,-559762631282.000000,3135215910627.000000,,3135215910627.000000,-138332048770.000000,-138332048770.000000,-138332048770.000000,2996883861857.000000,3135215910627.000000,2547285310439.000000,587930600188.000000,3135215910627.000000,2996883861857.000000,2408953261669.000000,587930600188.000000,,2996883861857.000000
12M 2015,8910177991351.000000,-206527925189.000000,,8910177991351.000000,-4791656100182.000000,3911993965980.000000,-2421661347026.000000,-2391092211267.000000,,,-30569135759.000000,-2421661347026.000000,1490332618954.000000,-205502767814.000000,,,-177007309352.000000,-13057606802.000000,-15437851660.000000,-205502767814.000000,1284829851140.000000,-260709216880.000000,,,-260709216880.000000,1024120634260.000000,,1024120634260.000000,-407206499373.000000,-407206499373.000000,-407206499373.000000,616914134887.000000,1024120634260.000000,535393802755.000000,488726831505.000000,1024120634260.000000,616914134886.000000,148483248571.000000,468430886315.000000,,616914134886.000000
12M 2016,10537827000000.000000,-213194000000.000000,,10537827000000.000000,-6020661000000.000000,4303972000000.000000,-2489599000000.000000,-2771009000000.000000,,,281410000000.000000,-2489599000000.000000,1814373000000.000000,-256626000000.000000,,,-240915000000.000000,-15711000000.000000,,-256626000000.000000,1557747000000.000000,-330373000000.000000,,,-330373000000.000000,1227374000000.000000,,1227374000000.000000,408782000000.000000,408782000000.000000,408782000000.000000,1636156000000.000000,1227374000000.000000,882411000000.000000,344963000000.000000,1227374000000.000000,1636156000000.000000,1279844000000.000000,356312000000.000000,,1636156000000.000000
12M 2017,10902928000000.000000,-161191000000.000000,11064119000000.000000,10902928000000.000000,-6335929000000.000000,4566999000000.000000,-3385833000000.000000,-3139469000000.000000,,,-246364000000.000000,-3385833000000.000000,1181166000000.000000,-14037000000.000000,,,-132897000000.000000,11549000000.000000,107311000000.000000,-14037000000.000000,1167129000000.000000,-310145000000.000000,,,-310145000000.000000,856984000000.000000,,856984000000.000000,1001341000000.000000,1001341000000.000000,1001341000000.000000,1858325000000.000000,856984000000.000000,614172000000.000000,242812000000.000000,856984000000.000000,1858325000000.000000,1605347000000.000000,252978000000.000000,,1858325000000.000000
