Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Properti Investasi,Aset Tetap,Goodwill,Aset Tak Berwujud,Aset Pajak Tangguhan,Tanah Untuk Dikembangkan,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Obligasi,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Keuangan Lainnya,Utang Pajak,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Pihak Ketiga,Pihak Berelasi,Total Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Usaha,Utang Jangka Panjang Dari Pihak Berelasi,Utang Obligasi,Liabilitas Keuangan Lainnya,Utang Sewa Pembiayaan,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Adjustment,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1699917347675.000000,800234908287.000000,798246501351.000000,1988406936.000000,800234908287.000000,617971203410.000000,5330086982218.000000,482698377215.000000,8930908818805.000000,,12046789830.000000,,17315554439.000000,1268960681947.000000,,163432474016.000000,69017506654.000000,957533566870.000000,,368561818048.000000,2856868391804.000000,11787777210609.000000,,,1181518955207.000000,368253848082.000000,,,368253848082.000000,,,,,,,,208215983874.000000,,,208215983874.000000,,180305520657.000000,412012195151.000000,12731407443.000000,1181518955207.000000,5746291927246.000000,,,3193033167164.000000,5498225669.000000,3198531392833.000000,3198531392833.000000,,23037354205.000000,,,200871169.000000,,2524522309039.000000,5746291927246.000000,,6927810882453.000000,,1730215169500.000000,1304222206548.000000,1390432374371.000000,2000000000.000000,1388432374371.000000,1390432374371.000000,359472056020.000000,75624521717.000000,4859966328156.000000,11787777210609.000000,17302151695.000000
12M 2009,,,1533259921843.000000,538135627311.000000,530422288809.000000,7713338502.000000,538135627311.000000,183522948292.000000,5893283214333.000000,729301961854.000000,8877503673633.000000,,12887018903.000000,,421018137130.000000,1245661350665.000000,,133888176502.000000,61129611748.000000,985301853498.000000,,390254188717.000000,3250140337163.000000,12127644010796.000000,,,1078031454651.000000,294507158707.000000,,,294507158707.000000,,,,,,,,139372907832.000000,,,139372907832.000000,,148238887532.000000,480201717418.000000,15710783162.000000,1078031454651.000000,5760680961227.000000,,,2883801146170.000000,,2883801146170.000000,2883801146170.000000,,23643836417.000000,,,3860271.000000,,2853232118369.000000,5760680961227.000000,,6838712415878.000000,,1730215169500.000000,1304222206548.000000,1778485869998.000000,3000000000.000000,1775485869998.000000,1778485869998.000000,401690095653.000000,74318253219.000000,5288931594918.000000,12127644010796.000000,17302151695.000000
12M 2010,,,3660087191120.000000,661687646280.000000,656604474581.000000,5083171699.000000,661687646280.000000,141624955538.000000,7068539007802.000000,789861083110.000000,12321799883850.000000,,9373247862.000000,,517985863654.000000,1206374544429.000000,,104623556841.000000,72636806041.000000,953759187924.000000,,968831829325.000000,3833585036076.000000,16155384919926.000000,,,1187547579825.000000,,265820833435.000000,9710280000.000000,275531113435.000000,,,,,,,,194951414425.000000,,,194951414425.000000,,202293996406.000000,487353660423.000000,27417395136.000000,1187547579825.000000,6788420019163.000000,,3375862742114.000000,,,3375862742114.000000,3375862742114.000000,,10307468479.000000,,,3860271.000000,,3402245948299.000000,6788420019163.000000,,7975967598988.000000,,2162768961900.000000,3244737189310.000000,2254001459123.000000,4000000000.000000,2250001459123.000000,2254001459123.000000,469508974272.000000,48400736333.000000,8179417320938.000000,16155384919926.000000,21627689619.000000
12M 2011,,,2174560697339.000000,564635560727.000000,561856099019.000000,2779461708.000000,564635560727.000000,358920595562.000000,7892170591837.000000,2740467526608.000000,13730754972073.000000,,10102936910.000000,,528400307942.000000,1556124819331.000000,,210276495852.000000,77480992299.000000,987757345136.000000,,1158273545341.000000,4528416442811.000000,18259171414884.000000,,,1035266894987.000000,,416870564924.000000,,416870564924.000000,,,,,,,,80304858641.000000,,,80304858641.000000,,166090643179.000000,329498785935.000000,42502042308.000000,1035266894987.000000,7814886325443.000000,,3753098394403.000000,,,3753098394403.000000,3753098394403.000000,,4447347258.000000,,,,,4057340583782.000000,7814886325443.000000,,8850153220430.000000,,2307768961900.000000,4043613274615.000000,2907500486689.000000,5000000000.000000,2902500486689.000000,2907500486689.000000,575320994588.000000,-425185523338.000000,9409018194454.000000,18259171414884.000000,23077689619.000000
12M 2012,,,3337357407919.000000,594377013788.000000,591205993335.000000,3171020453.000000,594377013788.000000,,10504909573401.000000,5042806846586.000000,19479450841694.000000,,11460650042.000000,85783638690.000000,301745856881.000000,2222377300854.000000,,214637574108.000000,76454612653.000000,929483420264.000000,,1547901837907.000000,5389844891399.000000,24869295733093.000000,,,3479207471491.000000,,575701267461.000000,,575701267461.000000,4853583896.000000,,11218103420.000000,,,11218103420.000000,,,,,,179543836416.000000,199078158108.000000,487335826278.000000,2021476695912.000000,3479207471491.000000,9919981871127.000000,,54753114466.000000,,,54753114466.000000,54753114466.000000,,3188994396.000000,5943529636435.000000,85634498079.000000,,6653250000.000000,3826222377751.000000,9919981871127.000000,,13399189342618.000000,,2307768961900.000000,4063148621880.000000,3790222421118.000000,,,3790222421118.000000,813989653710.000000,494976731867.000000,11470106390475.000000,24869295733093.000000,23077689619.000000
12M 2013,,,1855051780961.000000,771671659700.000000,769239450809.000000,2432208891.000000,771671659700.000000,,13894009358067.000000,7492394864182.000000,24013127662910.000000,,9737396584.000000,130431496396.000000,306361105208.000000,2810892282327.000000,,331840973411.000000,50363528322.000000,1611411858630.000000,,2036196126478.000000,7287234767356.000000,31300362430266.000000,,,4841563711972.000000,,397748177608.000000,,397748177608.000000,4927167196.000000,,11792174233.000000,,,11792174233.000000,,,,,,300183744169.000000,253597145454.000000,551608473508.000000,3321706829804.000000,4841563711972.000000,12281225413069.000000,,42960940232.000000,,,42960940232.000000,42960940232.000000,,3828292119.000000,7747839607892.000000,50996677731.000000,,11983104371.000000,4423616790724.000000,12281225413069.000000,,17122789125041.000000,,2307768961900.000000,4063148621880.000000,4748452643994.000000,,,4748452643994.000000,1376698240626.000000,1681504836825.000000,14177573305225.000000,31300362430266.000000,23077689619.000000
12M 2014,,,3529169475504.000000,951103629896.000000,947553882292.000000,3549747604.000000,951103629896.000000,,16553035543518.000000,8929383073688.000000,29962691722606.000000,,14788363567.000000,123283762281.000000,310304754503.000000,3208762510252.000000,,522577738505.000000,52255688231.000000,1136227496536.000000,,2430328657214.000000,7798528971089.000000,37761220693695.000000,,,5725392423352.000000,,395133955463.000000,,395133955463.000000,173540195011.000000,,12435856488.000000,,,12435856488.000000,,,,,,407086748603.000000,647229469182.000000,1125429552800.000000,2964536645805.000000,5725392423352.000000,14389379227138.000000,,30525083739.000000,,,30525083739.000000,30525083739.000000,,3379278119.000000,9780611296551.000000,67387383763.000000,,28147868966.000000,4479328316000.000000,14389379227138.000000,,20114771650490.000000,,2307768961900.000000,4063148621880.000000,6975737954433.000000,,,6975737954433.000000,2041276576382.000000,2258516928610.000000,17646449043205.000000,37761220693695.000000,23077689619.000000
12M 2015,,,1839366003277.000000,1434347507641.000000,1424217469472.000000,10130038169.000000,1434347507641.000000,,20458990316986.000000,9844233195366.000000,33576937023270.000000,,37093485060.000000,153843414817.000000,417000308256.000000,2731532523878.000000,,534930482004.000000,46950367278.000000,1369660864310.000000,,2458609709176.000000,7749621154779.000000,41326558178049.000000,,,4856883553932.000000,,782916296824.000000,,782916296824.000000,962173564967.000000,,48261246570.000000,,,48261246570.000000,,,,,,339865932700.000000,228973968765.000000,1006468547643.000000,1488223996463.000000,4856883553932.000000,17552910065775.000000,,471749633437.000000,,,471749633437.000000,471749633437.000000,,7528997776.000000,10883059011816.000000,85551631230.000000,,39593675631.000000,6065427115885.000000,17552910065775.000000,,22409793619707.000000,,2307768961900.000000,4063148621880.000000,7101438271572.000000,,,7101438271572.000000,2522623681891.000000,2921785021099.000000,18916764558342.000000,41326558178049.000000,23077689619.000000
12M 2016,,,3249702000000.000000,1822596000000.000000,1817141000000.000000,5455000000.000000,1822596000000.000000,,23370271000000.000000,9010840000000.000000,37453409000000.000000,,45029000000.000000,261942000000.000000,625125000000.000000,2902208000000.000000,,571630000000.000000,41129000000.000000,1299027000000.000000,,2404184000000.000000,8150274000000.000000,45603683000000.000000,,,6866309000000.000000,,818572000000.000000,,818572000000.000000,1332728000000.000000,,53543000000.000000,21995000000.000000,,75538000000.000000,,,,,,337799000000.000000,299318000000.000000,1289951000000.000000,2712403000000.000000,6866309000000.000000,16662235000000.000000,,1463260000000.000000,,,1463260000000.000000,1463260000000.000000,,2425000000.000000,10686105000000.000000,108706000000.000000,105042000000.000000,32585000000.000000,4264112000000.000000,16662235000000.000000,,23528544000000.000000,,2307769000000.000000,4080770000000.000000,7945093000000.000000,,,7945093000000.000000,3502755000000.000000,4238752000000.000000,22075139000000.000000,45603683000000.000000,23077689619.000000
12M 2017,,,2538160000000.000000,2262430000000.000000,2261631000000.000000,799000000.000000,2262430000000.000000,,29232296000000.000000,10889041000000.000000,44921927000000.000000,,36470000000.000000,273868000000.000000,453060000000.000000,3854458000000.000000,583979000000.000000,98715000000.000000,56297000000.000000,1113684000000.000000,,5379658000000.000000,11850189000000.000000,56772116000000.000000,,,8745186000000.000000,,1112069000000.000000,,1112069000000.000000,1338400000000.000000,,555496000000.000000,27512000000.000000,25245000000.000000,608253000000.000000,,,,,,326528000000.000000,587400000000.000000,1268638000000.000000,3503898000000.000000,8745186000000.000000,18166636000000.000000,,914086000000.000000,,,914086000000.000000,914086000000.000000,,2226000000.000000,10830302000000.000000,165149000000.000000,145621000000.000000,50731000000.000000,6058521000000.000000,18166636000000.000000,,26911822000000.000000,,2307769000000.000000,4080770000000.000000,8491948000000.000000,,,8491948000000.000000,7031188000000.000000,7948619000000.000000,29860294000000.000000,56772116000000.000000,23077689619.000000
