Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,148501516234.000000,-102429011061.000000,46072505173.000000,-42736907562.000000,-23333676492.000000,-19403231070.000000,-42736907562.000000,3335597611.000000,-1676665020.000000,121311471.000000,-775664013.000000,-667073859.000000,126418181.000000,-481656800.000000,-1676665020.000000,1658932591.000000,-742473402.000000,-1751880200.000000,1009406798.000000,-742473402.000000,916459189.000000,,,,916459189.000000,916459189.000000,916459189.000000,,,916459189.000000,916459189.000000,916459189.000000,,,916459189.000000
12M 2012,161783288701.000000,-102976934013.000000,58806354688.000000,-49092957133.000000,-28497450774.000000,-20595506359.000000,-49092957133.000000,9713397555.000000,-6515359821.000000,105066651.000000,-552727582.000000,-6015788551.000000,186818182.000000,-238728521.000000,-6515359821.000000,3198037734.000000,-438737769.000000,-2299177400.000000,1860439631.000000,-438737769.000000,2759299965.000000,,,,2759299965.000000,2759299965.000000,2759299965.000000,,,2759299965.000000,2759299965.000000,2759299965.000000,,,2759299965.000000
12M 2013,240794596763.000000,-154964237758.000000,85830359005.000000,-54797477952.000000,-34827511651.000000,-19969966301.000000,-54797477952.000000,31032881053.000000,-29106983119.000000,290894600.000000,-1111431773.000000,-27180586576.000000,173227273.000000,-1279086643.000000,-29106983119.000000,1925897934.000000,-1441818158.000000,-2163725200.000000,721907042.000000,-1441818158.000000,484079776.000000,,,,484079776.000000,484079776.000000,484079776.000000,,,484079776.000000,484079776.000000,484079776.000000,,,484079776.000000
12M 2014,206226258734.000000,-139342091595.000000,66884167139.000000,-65963129238.000000,-40102214212.000000,-25860915026.000000,-65963129238.000000,921037901.000000,-276747531.000000,216076400.000000,-2623617281.000000,-4912072997.000000,7749275955.000000,-706409608.000000,-276747531.000000,644290370.000000,370027768.000000,-282048000.000000,652075768.000000,370027768.000000,1014318138.000000,,,,1014318138.000000,1014318138.000000,1014318138.000000,,,1014318138.000000,1014318138.000000,1014318138.000000,,,1014318138.000000
12M 2015,220748167038.000000,-146854144007.000000,73894023031.000000,-63510011246.000000,-38383599473.000000,-25126411773.000000,-63510011246.000000,10384011785.000000,-6396474449.000000,52901793.000000,-5425710496.000000,-1153079701.000000,102272727.000000,27141228.000000,-6396474449.000000,3987537336.000000,-2037784591.000000,-2337883475.000000,300098884.000000,-2037784591.000000,1949752745.000000,203638672660.000000,203638672660.000000,203638672660.000000,205588425405.000000,1949752745.000000,1949752745.000000,,,1949752745.000000,205588425405.000000,205588425405.000000,,,205588425405.000000
12M 2016,276137623717.000000,-175270185854.000000,100867437863.000000,-74263605970.000000,-44109246759.000000,-30154359211.000000,-74263605970.000000,26603831893.000000,160535580.000000,95861030.000000,-9918461772.000000,2250573210.000000,9027978806.000000,-1295415694.000000,160535580.000000,26764367473.000000,-5882928709.000000,-6804660600.000000,921731891.000000,-5882928709.000000,20881438764.000000,-352538907.000000,-352538907.000000,-352538907.000000,20528899857.000000,20881438764.000000,20881438764.000000,,,20881438764.000000,20528899857.000000,20528899857.000000,,,20528899857.000000
12M 2017,233012869771.000000,-143737483119.000000,89275386652.000000,-65975637763.000000,-40772310222.000000,-25203327541.000000,-65975637763.000000,23299748889.000000,-16352114193.000000,67082255.000000,-15014488296.000000,-951021021.000000,20000000.000000,-473687131.000000,-16352114193.000000,6947634696.000000,-2230868889.000000,-2009639000.000000,-221229889.000000,-2230868889.000000,4716765807.000000,1740952228.000000,1740952228.000000,1740952228.000000,6457718035.000000,4716765807.000000,4716765807.000000,,,4716765807.000000,6457718035.000000,6457718035.000000,,,6457718035.000000
12M 2018,281313199366.000000,-181853294724.000000,99459904642.000000,-66454524517.000000,-44867504050.000000,-21587020467.000000,-66454524517.000000,33005380125.000000,-23664567491.000000,43780568.000000,-17738108911.000000,-4973550508.000000,23500000.000000,-1020188640.000000,-23664567491.000000,9340812634.000000,4135779715.000000,5144644600.000000,-1008864885.000000,4135779715.000000,13476592349.000000,996518055.000000,996518055.000000,996518055.000000,14473110404.000000,13476592349.000000,13476592349.000000,,,13476592349.000000,14473110404.000000,14473110404.000000,,,14473110404.000000
12M 2019,151424965638.000000,-109916288487.000000,41508677151.000000,-50175044077.000000,-28576491523.000000,-21598552554.000000,-50175044077.000000,-8666366926.000000,-17701612630.000000,33374320.000000,-21035064573.000000,3332413631.000000,-17564570.000000,-14771438.000000,-17701612630.000000,-26367979556.000000,861064378.000000,-3469208.000000,864533586.000000,861064378.000000,-25506915178.000000,-1406483592.000000,-1406483592.000000,-1406483592.000000,-26913398770.000000,-25506915178.000000,-25506647229.000000,-267949.000000,,-25506915178.000000,-26913398770.000000,-26913130821.000000,-267949.000000,,-26913398770.000000
12M 2020,102890968412.000000,-82744784767.000000,20146183645.000000,-39648859775.000000,-23651037593.000000,-15997822182.000000,-39648859775.000000,-19502676130.000000,-17555901690.000000,51948240.000000,-20605742723.000000,416874806.000000,39000000.000000,2542017987.000000,-17555901690.000000,-37058577820.000000,-4412905305.000000,-4801610.000000,-4408103695.000000,-4412905305.000000,-41471483125.000000,1743248871.000000,1743248871.000000,1743248871.000000,-39728234254.000000,-41471483125.000000,-41472213465.000000,730340.000000,,-41471483125.000000,-39728234254.000000,-39728964594.000000,730340.000000,,-39728234254.000000
12M 2021,93630426708.000000,-67403018514.000000,26227408194.000000,-30866514669.000000,-20758136032.000000,-10108378637.000000,-30866514669.000000,-4639106475.000000,-14593568334.000000,41507430.000000,-16113691038.000000,-1139186641.000000,463636364.000000,2154165551.000000,-14593568334.000000,-19232674809.000000,-2672156849.000000,-3494150.000000,-2668662699.000000,-2672156849.000000,-21904831658.000000,-3197058896.000000,-3197058896.000000,-3197058896.000000,-25101890554.000000,-21904831658.000000,-21905128059.000000,296401.000000,,-21904831658.000000,-25101890554.000000,-25102186955.000000,296401.000000,,-25101890554.000000
12M 2022,115113867868.000000,-87135341063.000000,27978526805.000000,-29803342381.000000,-16096672420.000000,-13706669961.000000,-29803342381.000000,-1824815576.000000,-36510164042.000000,15283004.000000,-25283290358.000000,-8871751074.000000,,-2370405614.000000,-36510164042.000000,-38334979618.000000,5163816958.000000,,5163816958.000000,5163816958.000000,-33171162660.000000,1425025284.000000,1425025284.000000,1425025284.000000,-31746137376.000000,-33171162660.000000,-33169322394.000000,-1840266.000000,,-33171162660.000000,-31746137376.000000,-31744297110.000000,-1840266.000000,,-31746137376.000000
12M 2023,99239654190.000000,-64470403964.000000,34769250226.000000,-28692341912.000000,-12570205569.000000,-16122136343.000000,-28692341912.000000,6076908314.000000,-18296349338.000000,21466056.000000,-11925030444.000000,2300802247.000000,,-8693587197.000000,-18296349338.000000,-12219441024.000000,2391554985.000000,,2391554985.000000,2391554985.000000,-9827886039.000000,48307998840.000000,48307998840.000000,48307998840.000000,38480112801.000000,-9827886039.000000,-9824796901.000000,-3089138.000000,,-9827886039.000000,38480112801.000000,38483201939.000000,-3089138.000000,,38480112801.000000
12M 2024,145529362070.000000,-117537824379.000000,27991537691.000000,-29976638476.000000,-12814860782.000000,-17161777694.000000,-29976638476.000000,-1985100785.000000,-18576197265.000000,21824425.000000,-11186012368.000000,-522044752.000000,155000000.000000,-7044964570.000000,-18576197265.000000,-20561298050.000000,972110512.000000,,972110512.000000,972110512.000000,-19589187538.000000,-1013615164.000000,-1013615164.000000,-1013615164.000000,-20602802702.000000,-19589187538.000000,-19582504774.000000,-6682764.000000,,-19589187538.000000,-20602802702.000000,-20596119938.000000,-6682764.000000,,-20602802702.000000
