Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Properti Investasi,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Dari Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Konversi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,10421127472.000000,22231644962.000000,22231644962.000000,,22231644962.000000,367000016.000000,90943154929.000000,6295258785.000000,130258186164.000000,,84450000.000000,2065958602.000000,67028081560.000000,450000000.000000,,18364848313.000000,87993338475.000000,218251524639.000000,,,116439565469.000000,4580857590.000000,,15156928914.000000,15156928914.000000,466688421.000000,3908666294.000000,,,2026692398.000000,2026692398.000000,,,56317258332.000000,3125638280.000000,12117278224.000000,71560174836.000000,18739557016.000000,116439565469.000000,25819474325.000000,426908045.000000,,,,,,,,1254096578.000000,1254096578.000000,24138469702.000000,25819474325.000000,142259039794.000000,,459083982100.000000,72305127896.000000,-455396625151.000000,,,75992484845.000000,218251524639.000000,1230839821.000000
12M 2012,,,14199545260.000000,33984108488.000000,33984108488.000000,,33984108488.000000,510180418.000000,125055798141.000000,2251573820.000000,176001206127.000000,,84450000.000000,3926398233.000000,59226364832.000000,450000000.000000,,21750107018.000000,85437320083.000000,261438526210.000000,,,155883594744.000000,4835000000.000000,,26249512312.000000,26249512312.000000,1480108321.000000,4308165770.000000,,,3748475722.000000,3748475722.000000,,,60056008830.000000,1921321221.000000,12921711560.000000,74899041611.000000,40363291008.000000,155883594744.000000,26803146656.000000,426908045.000000,,,,,,,,484608129.000000,484608129.000000,25891630482.000000,26803146656.000000,182686741400.000000,,459083982100.000000,72305127896.000000,-452637325186.000000,,,78751784810.000000,261438526210.000000,1230839821.000000
12M 2013,,,13048575536.000000,51908470237.000000,51908470237.000000,,51908470237.000000,3386976345.000000,158831456862.000000,4590816220.000000,231766295200.000000,,84450000.000000,4648305275.000000,64772939641.000000,450000000.000000,,25238078830.000000,95193773746.000000,326960068946.000000,,,214802881607.000000,10307353278.000000,,39322751231.000000,39322751231.000000,2023480958.000000,5339721237.000000,,,8773520447.000000,8773520447.000000,,,75700381761.000000,4107577787.000000,16287770652.000000,96095730200.000000,52940324256.000000,214802881607.000000,32921322753.000000,425908045.000000,,,,,,,,4506220110.000000,4506220110.000000,27989194598.000000,32921322753.000000,247724204360.000000,,459083982100.000000,72305127896.000000,-452153245410.000000,,,79235864586.000000,326960068946.000000,1230839821.000000
12M 2014,,,10313943601.000000,53751205781.000000,53751205781.000000,,53751205781.000000,5412514743.000000,201220545062.000000,3831683329.000000,274529892516.000000,,84450000.000000,5300381043.000000,61647100463.000000,450000000.000000,,24041475874.000000,91523407380.000000,366053299896.000000,,,252616548189.000000,27284760212.000000,,38414559460.000000,38414559460.000000,1388701199.000000,5574460072.000000,,,39520222737.000000,39520222737.000000,,,77259229560.000000,4127610467.000000,16623173920.000000,98010013947.000000,42423830562.000000,252616548189.000000,33186568983.000000,,,,,,,,,1751787309.000000,1751787309.000000,31434781674.000000,33186568983.000000,285803117172.000000,,459083982100.000000,72305127896.000000,-451138927272.000000,,,80250182724.000000,366053299896.000000,1230839821.000000
12M 2015,,,3108622469.000000,74397651230.000000,74397651230.000000,,74397651230.000000,7961061616.000000,230817589502.000000,3280933600.000000,319565858417.000000,,94450000.000000,4440496162.000000,232121352124.000000,450000000.000000,,48994878164.000000,286101176450.000000,605667034867.000000,,,170150582882.000000,35397444311.000000,,48028194179.000000,48028194179.000000,7638638886.000000,11987851480.000000,,,25528550735.000000,25528550735.000000,,,,3427920526.000000,,3427920526.000000,38141982765.000000,170150582882.000000,146528654858.000000,117790912000.000000,,,,,,,,316586583.000000,316586583.000000,28421156275.000000,146528654858.000000,316679237740.000000,,459083982100.000000,72305127896.000000,-444549239469.000000,,202147926600.000000,288987797127.000000,605667034867.000000,1230839821.000000
12M 2016,,,6663074661.000000,86337780447.000000,86337780447.000000,,86337780447.000000,4428289075.000000,231473270295.000000,2497964199.000000,331400378677.000000,,94450000.000000,5450362780.000000,224906807944.000000,450000000.000000,,53660000864.000000,284561621588.000000,615962000265.000000,,,174969312764.000000,51544161198.000000,,43827662665.000000,43827662665.000000,6856593133.000000,6455276942.000000,,,15032867915.000000,15032867915.000000,23624220000.000000,,,3260962879.000000,,3260962879.000000,24367568032.000000,174969312764.000000,126037935517.000000,89455312000.000000,,,,,,,,3900084716.000000,3900084716.000000,32682538801.000000,126037935517.000000,301007248281.000000,,459083982100.000000,77743182896.000000,-424020339612.000000,,202147926599.000000,314954751983.000000,615962000264.000000,1230839821.000000
12M 2017,,,3575771239.000000,123783342591.000000,123783342591.000000,,123783342591.000000,5076498365.000000,278510079260.000000,6474122121.000000,417419813576.000000,,94450000.000000,4793894834.000000,217172036990.000000,450000000.000000,,60321569464.000000,282831951288.000000,700251764864.000000,,,220836288637.000000,133348708012.000000,,34186065370.000000,34186065370.000000,3793750222.000000,10252527443.000000,,,4504711138.000000,4504711138.000000,,,,3563836700.000000,,3563836700.000000,31186689752.000000,220836288637.000000,158003006208.000000,108650517000.000000,,,14308122955.000000,14308122955.000000,,,,1976955609.000000,1976955609.000000,33067410644.000000,158003006208.000000,378839294845.000000,,459083982100.000000,77743182896.000000,-417562621577.000000,,202147926600.000000,321412470019.000000,700251764864.000000,1230839821.000000
12M 2018,,,5297154262.000000,139669950774.000000,139669950774.000000,,139669950774.000000,8569057393.000000,281684272807.000000,16468569186.000000,451689004422.000000,,94450000.000000,5553630205.000000,216174611463.000000,450000000.000000,,61813195487.000000,284085887155.000000,735774891577.000000,,,242087352682.000000,166630749462.000000,,23323722736.000000,23323722736.000000,9581964329.000000,14070946583.000000,,,11616603116.000000,11616603116.000000,,,,3380205781.000000,,3380205781.000000,13483160675.000000,242087352682.000000,166073517902.000000,114334047000.000000,,,18478209463.000000,18478209463.000000,,,,68057080.000000,68057080.000000,33193204359.000000,166073517902.000000,408160870584.000000,,459083982100.000000,77743182896.000000,-411361070603.000000,,202147926600.000000,327614020993.000000,735774891577.000000,1230839821.000000
12M 2019,,,4854064971.000000,118967717688.000000,116356546560.000000,2611171128.000000,118967717688.000000,6072040277.000000,303531999234.000000,28153225213.000000,461579047383.000000,,1394450000.000000,6769784689.000000,209920021848.000000,450000000.000000,,62189487968.000000,280723744505.000000,742302791888.000000,,,271159836042.000000,176762514914.000000,,16333566716.000000,16333566716.000000,12379260908.000000,18321368573.000000,,,19973262285.000000,19973262285.000000,,,,1670565399.000000,,1670565399.000000,25719297247.000000,271159836042.000000,173918774880.000000,117266436799.000000,,,18220824388.000000,18220824388.000000,,,,252014070.000000,252014070.000000,38179499623.000000,173918774880.000000,445078610922.000000,,459083982100.000000,77743182896.000000,-441718353269.000000,-32557361.000000,202147926600.000000,297224180966.000000,742302791888.000000,1230839821.000000
12M 2020,,,4379725412.000000,76691770877.000000,74795377353.000000,1896393524.000000,76691770877.000000,6669245304.000000,301660309802.000000,23358737841.000000,412759789236.000000,,1394450000.000000,8483800694.000000,208001159197.000000,450000000.000000,,62511394326.000000,280840804217.000000,693600593453.000000,,,295720632948.000000,188107521024.000000,,12527085144.000000,12527085144.000000,15290325003.000000,24128486020.000000,,,18371073785.000000,18371073785.000000,,,,4084535806.000000,,4084535806.000000,33211606166.000000,295720632948.000000,168226825596.000000,117865079334.000000,,,12882580064.000000,12882580064.000000,,,,53433610.000000,53433610.000000,37425732588.000000,168226825596.000000,463947458544.000000,,459083982100.000000,77743182896.000000,-509290129666.000000,-31827021.000000,202147926600.000000,229653134909.000000,693600593453.000000,1230839821.000000
