Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Final,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,648573117000.000000,-333066072000.000000,315507045000.000000,-100237418000.000000,,-24336894000.000000,-75900524000.000000,,-100237418000.000000,215269627000.000000,-5481391000.000000,-14416303000.000000,,238907000.000000,2052465000.000000,,192212000.000000,6451328000.000000,-5481391000.000000,209788236000.000000,-62067180000.000000,-57978897000.000000,-4088283000.000000,-62067180000.000000,147721056000.000000,96842000.000000,147817898000.000000,,,,,147817898000.000000,147721056000.000000,96842000.000000,147817898000.000000,,,,
12M 2009,662062576000.000000,-306350593000.000000,355711983000.000000,-124353291000.000000,,-34942921000.000000,-89410370000.000000,,-124353291000.000000,231358692000.000000,-1027913000.000000,-18914424000.000000,,950623000.000000,9073426000.000000,,-187939000.000000,8050401000.000000,-1027913000.000000,230330779000.000000,-36687188000.000000,-36687188000.000000,,-36687188000.000000,193643591000.000000,-1938131000.000000,191705460000.000000,,,,,191705460000.000000,193643591000.000000,-1938131000.000000,191705460000.000000,,,,
12M 2010,773528772000.000000,-352823880000.000000,420704892000.000000,-139050281000.000000,,-42442028000.000000,-96608253000.000000,,-139050281000.000000,281654611000.000000,24762797000.000000,-8441569000.000000,,1071550000.000000,22747120000.000000,68914000.000000,-30019000.000000,9346801000.000000,24762797000.000000,306417408000.000000,-42618307000.000000,-42618307000.000000,,-42618307000.000000,263799101000.000000,1124359000.000000,264923460000.000000,,,,264923460000.000000,264923460000.000000,263799101000.000000,1124359000.000000,264923460000.000000,264923460000.000000,263799101000.000000,1124359000.000000,264923460000.000000
12M 2011,893170154000.000000,-403487025000.000000,489683129000.000000,-159709066000.000000,,-40975892000.000000,-118733174000.000000,,-159709066000.000000,329974063000.000000,67564114000.000000,-1018996000.000000,,2074237000.000000,49442345000.000000,131588000.000000,152290000.000000,16782650000.000000,67564114000.000000,397538177000.000000,-50839432000.000000,-50839432000.000000,,-50839432000.000000,346698745000.000000,,346698745000.000000,,,,346698745000.000000,346698745000.000000,346221612000.000000,477133000.000000,346698745000.000000,346698745000.000000,346221612000.000000,477133000.000000,346698745000.000000
12M 2012,1101821376000.000000,-494740893000.000000,607080483000.000000,-180080659000.000000,,,,,-180080659000.000000,426999824000.000000,64372799000.000000,,,2062277000.000000,47696643000.000000,,,14613879000.000000,64372799000.000000,491372623000.000000,-63447626000.000000,-63447626000.000000,,-63447626000.000000,427924997000.000000,,427924997000.000000,,,,427924997000.000000,427924997000.000000,427192698000.000000,732299000.000000,427924997000.000000,427924997000.000000,427192698000.000000,732299000.000000,427924997000.000000
12M 2013,1315680488000.000000,-523167966000.000000,792512522000.000000,-225360927000.000000,,,,,-225360927000.000000,567151595000.000000,64512901000.000000,,,10757092000.000000,40329868000.000000,,,13425941000.000000,64512901000.000000,631664496000.000000,-85394878000.000000,-85394878000.000000,,-85394878000.000000,546269618000.000000,,546269618000.000000,,,,546269618000.000000,546269619000.000000,547010456000.000000,-740837000.000000,546269619000.000000,546269619000.000000,547010456000.000000,-740837000.000000,546269619000.000000
12M 2014,1936340442000.000000,-884558134000.000000,1051782308000.000000,-268681435000.000000,-272929240000.000000,,,4247805000.000000,-268681435000.000000,783100873000.000000,39495839000.000000,,,32695832000.000000,6800007000.000000,,,,39495839000.000000,822596712000.000000,-108065648000.000000,-108065648000.000000,,-108065648000.000000,714531064000.000000,,714531064000.000000,,,,714531064000.000000,714531064000.000000,722478957000.000000,-7947893000.000000,714531064000.000000,714531064000.000000,722478957000.000000,-7947893000.000000,714531064000.000000
12M 2015,2150206788000.000000,-884696930000.000000,1265509858000.000000,-312054052000.000000,-333090823000.000000,,,21036771000.000000,-312054052000.000000,953455806000.000000,-76837537000.000000,,-115266523000.000000,11372476000.000000,27056510000.000000,,,,-76837537000.000000,876618269000.000000,-6841091000.000000,-6841091000.000000,,-6841091000.000000,869777178000.000000,,869777178000.000000,1492464000.000000,1492464000.000000,1492464000.000000,871269642000.000000,869777178000.000000,872945782000.000000,-3168604000.000000,869777178000.000000,871269642000.000000,874199452000.000000,-2929810000.000000,871269642000.000000
12M 2016,2381022659000.000000,-942653475000.000000,1438369184000.000000,-325489083000.000000,-355582745000.000000,,,30093662000.000000,-325489083000.000000,1112880101000.000000,-85400222000.000000,-4398308000.000000,-123480132000.000000,23891982000.000000,18586236000.000000,,,,-85400222000.000000,1027479879000.000000,-9630694000.000000,-9630694000.000000,,-9630694000.000000,1017849185000.000000,,1017849185000.000000,-3617013000.000000,-3617013000.000000,-3617013000.000000,1014232172000.000000,1017849186000.000000,1010519626000.000000,7329560000.000000,1017849186000.000000,1014232173000.000000,1006835418000.000000,7396755000.000000,1014232173000.000000
12M 2017,2405242304000.000000,-920700412000.000000,1484541892000.000000,-231216910000.000000,-393652365000.000000,,,162435455000.000000,-231216910000.000000,1253324982000.000000,-90972559000.000000,-10382826000.000000,-91073824000.000000,-9766650000.000000,20250741000.000000,,,,-90972559000.000000,1162352423000.000000,-45226315000.000000,-45226315000.000000,,-45226315000.000000,1117126108000.000000,,1117126108000.000000,-3106949000.000000,-3106949000.000000,-3106949000.000000,1114019159000.000000,1117126108000.000000,1113845380000.000000,3280728000.000000,1117126108000.000000,1114019159000.000000,1110753954000.000000,3265205000.000000,1114019159000.000000
12M 2018,2330550693000.000000,-959866104000.000000,1370684589000.000000,-253648765000.000000,-365817293000.000000,,,112168528000.000000,-253648765000.000000,1117035824000.000000,-35618466000.000000,-3529999000.000000,-72523526000.000000,-13171869000.000000,53606928000.000000,,,,-35618466000.000000,1081417358000.000000,-31671597000.000000,-31671597000.000000,,-31671597000.000000,1049745761000.000000,,1049745761000.000000,4792633000.000000,4792633000.000000,4792633000.000000,1054538394000.000000,1049745761000.000000,1033205288000.000000,16540473000.000000,1049745761000.000000,1054538394000.000000,1037911865000.000000,16626529000.000000,1054538394000.000000
12M 2019,2423269696000.000000,-1024472640000.000000,1398797056000.000000,-324996897000.000000,-373862407000.000000,,,48865510000.000000,-324996897000.000000,1073800159000.000000,-18093345000.000000,-2635366000.000000,-77607929000.000000,-2052586000.000000,64202536000.000000,,,,-18093345000.000000,1055706814000.000000,-18504977000.000000,-18504977000.000000,,-18504977000.000000,1037201837000.000000,,1037201837000.000000,-1705162000.000000,-1705162000.000000,-1705162000.000000,1035496675000.000000,1037201837000.000000,1016858196000.000000,20343641000.000000,1037201837000.000000,1035496675000.000000,1015200341000.000000,20296334000.000000,1035496675000.000000
12M 2020,2184941986000.000000,-1024060615000.000000,1160881371000.000000,-63490537000.000000,-332070847000.000000,,,268580310000.000000,-63490537000.000000,1097390834000.000000,-30312239000.000000,-7687478000.000000,-64198959000.000000,-7685688000.000000,49259886000.000000,,,,-30312239000.000000,1067078595000.000000,-53660442000.000000,-53660442000.000000,,-53660442000.000000,1013418153000.000000,,1013418153000.000000,-2024082000.000000,-2024082000.000000,-2024082000.000000,1011394071000.000000,1013418153000.000000,924905073000.000000,88513080000.000000,1013418153000.000000,1011394071000.000000,922918043000.000000,88476028000.000000,1011394071000.000000
12M 2021,2174343050000.000000,-1043490358000.000000,1130852692000.000000,-293243162000.000000,-313488867000.000000,,,20245705000.000000,-293243162000.000000,837609530000.000000,-39792486000.000000,-2636774000.000000,-61887740000.000000,-9734581000.000000,34466609000.000000,,,,-39792486000.000000,797817044000.000000,-11090735000.000000,-11090735000.000000,,-11090735000.000000,786726309000.000000,,786726309000.000000,1021685000.000000,1021685000.000000,1021685000.000000,787747994000.000000,786726309000.000000,768912755000.000000,17813554000.000000,786726309000.000000,787747994000.000000,769893957000.000000,17854037000.000000,787747994000.000000
12M 2022,2258974450000.000000,-959311542000.000000,1299662908000.000000,-334588704000.000000,-341171653000.000000,,,6582949000.000000,-334588704000.000000,965074204000.000000,-72212481000.000000,-2679327000.000000,-67741930000.000000,-23942498000.000000,22151274000.000000,,,,-72212481000.000000,892861723000.000000,-13088829000.000000,-13088829000.000000,,-13088829000.000000,879772894000.000000,,879772894000.000000,1736365000.000000,1736365000.000000,1736365000.000000,881509259000.000000,879772894000.000000,860910339000.000000,18862555000.000000,879772894000.000000,881509259000.000000,862591508000.000000,18917751000.000000,881509259000.000000
12M 2023,2503645371000.000000,-1041030981000.000000,1462614390000.000000,-354171983000.000000,-363854526000.000000,,,9682543000.000000,-354171983000.000000,1108442407000.000000,-67266212000.000000,-1402993000.000000,-76896350000.000000,-10362708000.000000,21395839000.000000,,,,-67266212000.000000,1041176195000.000000,-16838667000.000000,-16838667000.000000,,-16838667000.000000,1024337528000.000000,,1024337528000.000000,1837291000.000000,1837291000.000000,1837291000.000000,1026174819000.000000,1024337528000.000000,1004620409000.000000,19717119000.000000,1024337528000.000000,1026174819000.000000,1006476710000.000000,19698109000.000000,1026174819000.000000
12M 2024,2948078235000.000000,-1311590254000.000000,1636487981000.000000,-395467027000.000000,-411300949000.000000,,,15833922000.000000,-395467027000.000000,1241020954000.000000,-57578976000.000000,-933201000.000000,-96681709000.000000,15157357000.000000,24878577000.000000,,,,-57578976000.000000,1183441978000.000000,-32092770000.000000,-32092770000.000000,,-32092770000.000000,1151349208000.000000,,1151349208000.000000,2914180000.000000,2914180000.000000,2914180000.000000,1154263388000.000000,1151349208000.000000,1130540838000.000000,20808370000.000000,1151349208000.000000,1154263388000.000000,1133286067000.000000,20977321000.000000,1154263388000.000000
