Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.11,448.82,1.11,448.82,127 B,,127 B,54 B,(5 B)
12M 2009,1.63,491.25,1.63,491.25,98 B,,98 B,(160 B),(16 B)
12M 2010,2.35,554.04,2.35,554.04,2 B,,2 B,(756 B),8 B
12M 2011,3.39,648.26,3.39,648.26,1 B,,1 B,(866 B),(168 B)
12M 2012,4.07,762.32,4.07,762.32,,,,(874 B),(294 B)
12M 2013,4.41,181.59,4.41,181.59,,,,(588 B),(909 B)
12M 2014,4.73,219.86,4.73,219.86,,,,(203 B),(744 B)
12M 2015,2.59,287.67,2.59,287.67,,55 B,55 B,(166 B),(54 B)
12M 2016,2.56,341.75,2.56,341.75,3 B,159 B,162 B,(181 B),(78 B)
12M 2017,2.16,416.42,2.16,416.42,104 B,52 B,155 B,(569 B),355 B
12M 2018,1.59,465.91,1.59,465.91,5 B,42 B,47 B,(919 B),444 B
12M 2019,1.16,515.49,1.16,515.49,6 B,31 B,37 B,(777 B),497 B
12M 2020,1.10,547.73,1.10,547.73,3 B,31 B,34 B,(975 B),944 B
12M 2021,0.91,571.79,0.91,571.79,6 B,21 B,27 B,(519 B),90 B
12M 2022,0.82,606.56,0.82,606.56,11 B,3 B,14 B,(607 B),30 B
12M 2023,1.07,653.37,1.07,653.37,1 B,0 B,1 B,(329 B),(463 B)
12M 2024,1.04,713.26,1.04,713.26,0 B,,0 B,(797 B),207 B
