Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi Dan Entitas Pengendalian Bersama,Aset Pajak Tangguhan,Piutang Pihak Berelasi,Tanah Untuk Dikembangkan,Properti Investasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Beban Akrual,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Pinjaman Jangka Panjang Lainnya,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Pinjaman Jangka Panjang Lainnya,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,72463511000.000000,11919816000.000000,,11919816000.000000,11919816000.000000,7027324000.000000,5226778000.000000,1800546000.000000,7027324000.000000,804319712000.000000,22079514000.000000,917809877000.000000,,,,,1092925279000.000000,101986649000.000000,68296271000.000000,30195150000.000000,1293403349000.000000,2211213226000.000000,,,922774488000.000000,126551610000.000000,,1941002000.000000,31702695000.000000,33643697000.000000,62946000000.000000,,,62946000000.000000,32135952000.000000,,,,,75914078000.000000,,591583151000.000000,922774488000.000000,,,,,,,,,,,,922774488000.000000,,275000000000.000000,259000000000.000000,718141196000.000000,,,718141196000.000000,54188053000.000000,-17890511000.000000,1288438738000.000000,2211213226000.000000,2750000000.000000
12M 2009,,,258060538000.000000,16954858000.000000,275006000.000000,16679852000.000000,16954858000.000000,38874063000.000000,6410990000.000000,32463073000.000000,38874063000.000000,815925126000.000000,25475697000.000000,1155290282000.000000,,,,,1146579381000.000000,223685304000.000000,23727637000.000000,36192573000.000000,1430184895000.000000,2585475177000.000000,,,1171406154000.000000,98322760000.000000,,1163697000.000000,21494311000.000000,22658008000.000000,82350613000.000000,,,82350613000.000000,8134073000.000000,,,,,82324564000.000000,,877616136000.000000,1171406154000.000000,,,,,,,,,,,,1171406154000.000000,,275000000000.000000,259000000000.000000,864056850000.000000,,,864056850000.000000,63126184000.000000,-47114011000.000000,1414069023000.000000,2585475177000.000000,2750000000.000000
12M 2010,,,758054399000.000000,12444546000.000000,,12444546000.000000,12444546000.000000,9421074000.000000,6278352000.000000,3142722000.000000,9421074000.000000,850723872000.000000,48044577000.000000,1678688468000.000000,,,,,1297596846000.000000,240216433000.000000,31825005000.000000,47390555000.000000,1617028839000.000000,3295717307000.000000,,,1670597684000.000000,2075680000.000000,,2377114000.000000,22963452000.000000,25340566000.000000,,645720000.000000,68990296000.000000,69636016000.000000,24904544000.000000,,,,,86590311000.000000,,1462050567000.000000,1670597684000.000000,,,,,,,,,,,,1670597684000.000000,,275000000000.000000,259000000000.000000,1065620310000.000000,,,1065620310000.000000,101501824000.000000,-76002511000.000000,1625119623000.000000,3295717307000.000000,2750000000.000000
12M 2011,,,867287349000.000000,11234498000.000000,160930000.000000,11073568000.000000,11234498000.000000,8751711000.000000,5009821000.000000,3741890000.000000,8751711000.000000,1010240380000.000000,118338424000.000000,2015852362000.000000,,,,,1670439147000.000000,239715275000.000000,55627735000.000000,102780438000.000000,2068562595000.000000,4084414957000.000000,,,2184096658000.000000,928970000.000000,,3184418000.000000,35774929000.000000,38959347000.000000,,1064922000.000000,17081632000.000000,18146554000.000000,36709173000.000000,,,,,80374516000.000000,,2008978098000.000000,2184096658000.000000,,,,,,,,,,,,2184096658000.000000,,275000000000.000000,259000000000.000000,1324718622000.000000,,,1324718622000.000000,117602188000.000000,-76002511000.000000,1900318299000.000000,4084414957000.000000,2750000000.000000
12M 2012,,,874334501000.000000,14644395000.000000,158391000.000000,14486004000.000000,14644395000.000000,,,,,1137466563000.000000,46511539000.000000,2072956998000.000000,,204865883000.000000,,4753611000.000000,2179707294000.000000,358820604000.000000,32382005000.000000,144774505000.000000,2925303902000.000000,4998260900000.000000,,,2367282066000.000000,,,6742759000.000000,39244996000.000000,45987755000.000000,,,,,53426566000.000000,,,,,33335277000.000000,40411899000.000000,2194120569000.000000,2367282066000.000000,409549952000.000000,,,,,,,,,409549952000.000000,409549952000.000000,2776832018000.000000,,275000000000.000000,259000000000.000000,1638391320000.000000,11000000000.000000,1627391320000.000000,1638391320000.000000,125040073000.000000,-76002511000.000000,2221428882000.000000,4998260900000.000000,2750000000.000000
12M 2013,,,588003052000.000000,22676233000.000000,117606000.000000,22558627000.000000,22676233000.000000,,,,,1362387188000.000000,181847753000.000000,2154914226000.000000,,268383313000.000000,,6143179000.000000,2741197767000.000000,740262429000.000000,35550721000.000000,216726231000.000000,4008263640000.000000,6163177866000.000000,,,3063899266000.000000,,,18563734000.000000,55389382000.000000,73953116000.000000,,,,,12684122000.000000,,,,,47838159000.000000,3472947000.000000,2925950922000.000000,3063899266000.000000,415631085000.000000,,,,,,,,,415631085000.000000,415631085000.000000,3479530351000.000000,,275000000000.000000,251746989000.000000,2045481776000.000000,22000000000.000000,2023481776000.000000,2045481776000.000000,186795949000.000000,-75377200000.000000,2683647514000.000000,6163177865000.000000,13750000000.000000
12M 2014,,,203371270000.000000,51840510000.000000,920384000.000000,50920126000.000000,51840510000.000000,,,,,1677316809000.000000,370710111000.000000,2303238700000.000000,,280229585000.000000,,6115799000.000000,3014839567000.000000,803846693000.000000,42366654000.000000,233625910000.000000,4381024208000.000000,6684262908000.000000,,,3047241473000.000000,,,7812729000.000000,68546929000.000000,76359658000.000000,,,,,36350939000.000000,,,,,74057248000.000000,8042529000.000000,2852431099000.000000,3047241473000.000000,435090129000.000000,,,,,,,,,435090129000.000000,435090129000.000000,3482331602000.000000,,275000000000.000000,251746989000.000000,2590212514000.000000,33000000000.000000,2557212514000.000000,2590212514000.000000,178848056000.000000,-93876253000.000000,3201931306000.000000,6684262908000.000000,13750000000.000000
12M 2015,,,221004359000.000000,65033468000.000000,579922000.000000,64453546000.000000,65033468000.000000,,,,,2216103145000.000000,417991576000.000000,2920132548000.000000,,291956468000.000000,,2950065000.000000,3191511891000.000000,822298371000.000000,87985596000.000000,261266499000.000000,4657968890000.000000,7578101438000.000000,,,2974359377000.000000,,,18000376000.000000,105548873000.000000,123549249000.000000,,,,,50695193000.000000,,,,,140454634000.000000,864661000.000000,2658795640000.000000,2974359377000.000000,462810921000.000000,,27563406000.000000,,27563406000.000000,,,,,435247515000.000000,462810921000.000000,3437170298000.000000,,275000000000.000000,493425053000.000000,3235406382000.000000,44000000000.000000,3191406382000.000000,3235406382000.000000,185496105000.000000,-48396400000.000000,4140931140000.000000,7578101438000.000000,13750000000.000000
12M 2016,,,342704464000.000000,66971438000.000000,4102297000.000000,62869141000.000000,66971438000.000000,,,,,2380325235000.000000,243293885000.000000,3033295022000.000000,,572239168000.000000,,6107583000.000000,3765717349000.000000,819448840000.000000,85783712000.000000,201844978000.000000,5451141630000.000000,8484436652000.000000,,,3111632814000.000000,,,36736974000.000000,171243507000.000000,207980481000.000000,,,,,50854955000.000000,,2700000000.000000,,2700000000.000000,147718316000.000000,8371839000.000000,2694007223000.000000,3111632814000.000000,466404935000.000000,,79542735000.000000,,79542735000.000000,,,,,386862200000.000000,466404935000.000000,3578037749000.000000,,275000000000.000000,509710395000.000000,3959522910000.000000,55000000000.000000,3904522910000.000000,3959522910000.000000,207344112000.000000,-45178514000.000000,4906398903000.000000,8484436652000.000000,13750000000.000000
12M 2017,,,724156963000.000000,80402263000.000000,1095760000.000000,79306503000.000000,80402263000.000000,,,,,2521947822000.000000,122290862000.000000,3448797910000.000000,,755379039000.000000,,2111393000.000000,4103756794000.000000,808929156000.000000,120194526000.000000,233513870000.000000,6023884778000.000000,9472682688000.000000,,,3093711769000.000000,100000000000.000000,,2870111000.000000,80102699000.000000,82972810000.000000,,,,,117336400000.000000,,3700000000.000000,,3700000000.000000,149439583000.000000,6392980000.000000,2633869996000.000000,3093711769000.000000,402475386000.000000,,25875148000.000000,,25875148000.000000,,,,,376600238000.000000,402475386000.000000,3496187155000.000000,,275000000000.000000,703770243000.000000,4747015973000.000000,55000000000.000000,4692015973000.000000,4747015973000.000000,250709317000.000000,,5976495533000.000000,9472682688000.000000,13750000000.000000
