Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggaran,Penerimaan (Pengeluaran) Kas Dari :,Pemasok,Direksi Dan Karyawan,Pendapatan (Beban) Bunga,Pembayaran Beban Keuangan,Penerimaan (Pembayaran) Pajak,Penerimaan (Pembayaran) Dari Pihak Ketiga Lainnya,Penerimaan Dari Pengembalian Pajak Penghasilan,Penerimaan Dari Pendapatan Bunga,Penerimaan Pajak Pertambahan Nilai,Pendapatan (Beban) Operasional Lainnya,Total Penerimaan (Pengeluaran) Kas Dari :,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penerimaan Investasi Saham,Hasil Penjualan Aset Tetap,Penambahan Investasi Sementara,Penerimaan Penjualan Investasi,Penambahan / Pengurangan Investasi Jangka Panjang,Penerimaan Hasil Sewa,Perolehan Aset Tetap,Penambahan Properti Investasi,Pengurangan (Penambahan) Jaminan,Perubahan Aset Tidak Lancar,Pengurangan Aktiva Lain-Lain,Aset Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan (Pengurangan) Pinjaman Jangka Pendek,Penambahan Hutang Bank,Pembayaran Dividen,Penerimaan Dividen,Pengampunan Pajak,Pelunasan Hutang Bank Dan Cerukan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Pinjaman Rekening Koran,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,-74244131565.000000,2369421365506.000000,,-2350453971149.000000,-49403235131.000000,-37085618044.000000,,-15291720283.000000,,,,,8569047536.000000,-2443665497071.000000,,-74244131565.000000,-23342394057.000000,,377101000.000000,20000000000.000000,5099050000.000000,,,-43317981050.000000,-565425420.000000,-4882919781.000000,-52218806.000000,,,,-23342394057.000000,88544348791.000000,94507411478.000000,,-5963062687.000000,,,,88544348791.000000,-9042176831.000000,30815361824.000000,-3596100583.000000,,,18177084410.000000
12M 2009,184516715957.000000,1559489640957.000000,,-1254980394697.000000,-56442372208.000000,-27126722627.000000,,-16524583651.000000,,,,,-19898851817.000000,-1374972925000.000000,,184516715957.000000,-24752141341.000000,,,,2840097436.000000,,,-25417062979.000000,-959237462.000000,-538924296.000000,-677014040.000000,,,,-24752141341.000000,-105952623511.000000,,,-6066660732.000000,,,-99885962779.000000,-105952623511.000000,53811951105.000000,18177084410.000000,-6407943632.000000,,,65581091883.000000
12M 2010,-29979043004.000000,2072355376833.000000,,-2031989033625.000000,-57720170234.000000,-16068452623.000000,,8100000000.000000,,,,,-4656763355.000000,-2102334419837.000000,,-29979043004.000000,15766507210.000000,4474162000.000000,,,,,6519851250.000000,7389611563.000000,-753710627.000000,1902523113.000000,-3765930089.000000,,,,15766507210.000000,49504956821.000000,,101738700507.000000,-5977526882.000000,,,-46256216804.000000,49504956821.000000,35292421027.000000,65581091883.000000,359386310.000000,,,101232899220.000000
12M 2011,134184022983.000000,3180654198224.000000,,-2963903545420.000000,-65026603231.000000,-14954290915.000000,,7489151938.000000,,,,,-10074887613.000000,-3046470175241.000000,,134184022983.000000,-6332505855.000000,705003638.000000,,,,,2442901882.000000,-14718426348.000000,-54820750.000000,1457756479.000000,3835079244.000000,,,,-6332505855.000000,68340372854.000000,,186186616780.000000,-17846243926.000000,,,-100000000000.000000,68340372854.000000,196191889982.000000,101232899220.000000,-8231828433.000000,,,289192960769.000000
12M 2012,137153872387.000000,3299738165761.000000,,-3034078667131.000000,-71324776624.000000,-2096551684.000000,,-41996305495.000000,,,,,-13087992440.000000,-3162584293374.000000,,137153872387.000000,-13903333162.000000,1242000000.000000,,,,,4346013950.000000,-21697663669.000000,,2171741977.000000,34574580.000000,,,,-13903333162.000000,-153595329663.000000,,,-36754981001.000000,,,-116840348662.000000,-153595329663.000000,-30344790438.000000,289192960770.000000,,,1629749948.000000,258848170332.000000
12M 2013,20804645848.000000,3670020774500.000000,,-3405844761709.000000,-87912893773.000000,-5070521717.000000,,-52037363435.000000,,,,,-98350588018.000000,-3649216128652.000000,,20804645848.000000,-44591916078.000000,,,,,,5807593935.000000,-48781843109.000000,,-1652241484.000000,34574580.000000,,,,-44591916078.000000,65073398920.000000,,,-51280429930.000000,,,116353828850.000000,65073398920.000000,41286128690.000000,-7475721238.000000,260477920280.000000,,,294288327732.000000
12M 2014,62171128817.000000,3662240836418.000000,,-3405618041493.000000,-91239104160.000000,-36672431843.000000,,-44580120650.000000,,,,,-21960009455.000000,-3600069707601.000000,,62171128817.000000,-45095056182.000000,,,,,,5112884707.000000,-49070748873.000000,,-1171766596.000000,34574580.000000,,,,-45095056182.000000,-178066081679.000000,,,-30630281214.000000,,,-147435800465.000000,-178066081679.000000,-160990009044.000000,-17204608410.000000,294288327732.000000,,,116093710278.000000
12M 2015,197980124011.000000,3660140296871.000000,,-3261353281374.000000,-102363741796.000000,-29808992275.000000,,-43183364383.000000,,,,,-25450793032.000000,-3462160172860.000000,,197980124011.000000,-27119776130.000000,,,,,,2522124800.000000,-34228651561.000000,,1471176051.000000,34574580.000000,,,3081000000.000000,-27119776130.000000,60825096183.000000,,,-41065704282.000000,4455000000.000000,,97435800465.000000,60825096183.000000,231685444064.000000,-7723053520.000000,116093710278.000000,,,340056100822.000000
12M 2016,522526634709.000000,3865797133993.000000,,-3033888983521.000000,-122900914578.000000,-15386147446.000000,,-156655116505.000000,,,,,-14439337234.000000,-3343270499284.000000,,522526634709.000000,-28522485046.000000,,,,,,4054506400.000000,-32730333275.000000,,153341829.000000,,,,,-28522485046.000000,136102108625.000000,,,-45916624747.000000,29700000000.000000,2318733372.000000,150000000000.000000,136102108625.000000,630106258288.000000,-4795447402.000000,340056100822.000000,,,965366911708.000000
12M 2017,-70250625762.000000,4262668446521.000000,,-4239588508161.000000,,11634430057.000000,-25707370754.000000,-79257623425.000000,,,,,,-4332919072283.000000,,-70250625762.000000,-65286676255.000000,,,,,,2091012000.000000,-67350919891.000000,,-26768364.000000,,,,,-65286676255.000000,-52291861490.000000,,,-61527876960.000000,,7569966269.000000,1666049201.000000,-52291861490.000000,-187829163507.000000,287140340.000000,965366911708.000000,,,777824888541.000000
12M 2018,-133493168560.000000,5013558359011.000000,,-5037459486669.000000,,5987209490.000000,-32462744226.000000,-83116506166.000000,,,,,,-5147051527571.000000,,-133493168560.000000,-35249420427.000000,,260000000.000000,,,,3790470560.000000,-38904681517.000000,,-395209470.000000,,,,,-35249420427.000000,-223634281299.000000,,,-72152176339.000000,,,-151482104960.000000,-223634281299.000000,-392376870286.000000,777824888541.000000,1873791369.000000,,,387321809624.000000
12M 2019,128284278362.000000,5791517253478.000000,,-5523593632650.000000,,9736196700.000000,-55278498070.000000,-94097041096.000000,,,,,,-5663232975116.000000,,128284278362.000000,-24759892398.000000,,17754385058.000000,,,,3489048000.000000,-46003325456.000000,,,,,,,-24759892398.000000,78069570110.000000,,150000000000.000000,-71930429890.000000,,,,78069570110.000000,181593956074.000000,387321809624.000000,1271391595.000000,155103480.000000,,570342260773.000000
12M 2020,1205839336898.000000,5025161360723.000000,,-3668972150887.000000,-154861182685.000000,15742517671.000000,-20707948830.000000,-85731605425.000000,30929173105.000000,,,64279173226.000000,,-3819322023825.000000,,1205839336898.000000,-47047528441.000000,,164300000.000000,,,,4896946537.000000,-52108774978.000000,,,,,,,-47047528441.000000,-702774408921.000000,,,-102435361200.000000,,,-600339047721.000000,-702774408921.000000,456017399536.000000,570342260773.000000,-343324975.000000,,,1026016335334.000000
12M 2021,46862952796.000000,4943264733632.000000,,-4785269775926.000000,-143163909507.000000,16970834741.000000,,-32451274846.000000,11017354319.000000,,,36494990383.000000,,-4896401780836.000000,,46862952796.000000,-66027041799.000000,,267090909.000000,,,,4024963344.000000,-70319096052.000000,,,,,,,-66027041799.000000,-56597411520.000000,,,-61264847520.000000,4667436000.000000,,,-56597411520.000000,-75761500523.000000,1026016335334.000000,-121622342.000000,,,950133212469.000000
12M 2022,-293619328630.000000,5088846010777.000000,,-5146742142907.000000,-151841842274.000000,11682294753.000000,,-31780823398.000000,-91274680781.000000,1481076818.000000,,26010778382.000000,,-5382465339407.000000,,-293619328630.000000,-64989139451.000000,,1715084114.000000,,,,3939742608.000000,-70643966173.000000,,,,,,,-64989139451.000000,-35422014880.000000,,,-40950156880.000000,5528142000.000000,,,-35422014880.000000,-394030482961.000000,950133212469.000000,973602647.000000,,,557076332155.000000
12M 2023,297483912496.000000,5813886140157.000000,,-5251448448924.000000,-157302082226.000000,12482265367.000000,,-46209974484.000000,-89873829998.000000,1034115624.000000,,14915726980.000000,,-5516402227661.000000,,297483912496.000000,-50234765237.000000,,1234234235.000000,,,,4113696320.000000,-55582695792.000000,,,,,,,-50234765237.000000,-23298689750.000000,,,-30723365750.000000,7424676000.000000,,,-23298689750.000000,223950457509.000000,557076332155.000000,-205339933.000000,,,780821449731.000000
12M 2024,192982025021.000000,6832360326657.000000,,-6218453903616.000000,-172108502865.000000,13964023334.000000,,-72188312222.000000,-230595505737.000000,,,40003899470.000000,,-6639378301636.000000,,192982025021.000000,-98918017048.000000,,1045045051.000000,,,,3532015120.000000,-103495077219.000000,,,,,,,-98918017048.000000,-51132004155.000000,,,-61328824155.000000,10196820000.000000,,,-51132004155.000000,42932003818.000000,780821449731.000000,602564214.000000,,,824356017763.000000
