Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,2127031561787.000000,-1972690707968.000000,154340853819.000000,-89172487843.000000,-35328426474.000000,-53844061369.000000,-89172487843.000000,65168365976.000000,-40017655623.000000,1791422493.000000,-3596100583.000000,361766662.000000,-10215339356.000000,-38877040537.000000,10517635698.000000,-40017655623.000000,25150710353.000000,-14534681665.000000,-13106622621.000000,-1428059044.000000,-14534681665.000000,10616028688.000000,603338531.000000,11219367219.000000,,,11219367219.000000,10616028688.000000,603338531.000000,11219367219.000000,,,,
12M 2009,1510071036021.000000,-1410981191496.000000,99089844525.000000,-70944531988.000000,-20449571208.000000,-50494960780.000000,-70944531988.000000,28145312537.000000,-8035631665.000000,2226477914.000000,-6407943632.000000,,18078256323.000000,-29353200541.000000,7420778271.000000,-8035631665.000000,20109680872.000000,-1868074603.000000,-1908581118.000000,40506515.000000,-1868074603.000000,18241606269.000000,225530400.000000,18467136669.000000,,,18467136669.000000,18241606269.000000,225530400.000000,18467136669.000000,,,,
12M 2010,2198396728350.000000,-2030364572201.000000,168032156149.000000,-72519479807.000000,-24019955065.000000,-48499524742.000000,-72519479807.000000,95512676342.000000,-12754306421.000000,2882324171.000000,359386310.000000,,1091671997.000000,-18950776794.000000,1863087895.000000,-12754306421.000000,82758369921.000000,-21789390002.000000,-20931352223.000000,-858037779.000000,-21789390002.000000,60968979919.000000,-205387468.000000,60763592451.000000,,,60763592451.000000,60968979919.000000,-205387468.000000,60763592451.000000,,,,
12M 2011,3363728158430.000000,-3099837953031.000000,263890205399.000000,-95162047102.000000,-43675359795.000000,-51486687307.000000,-95162047102.000000,168728158297.000000,-23622546753.000000,2763489408.000000,-8231828433.000000,,7195558326.000000,-17717780323.000000,-7631985731.000000,-23622546753.000000,145105611544.000000,-35279130215.000000,-34769844870.000000,-509285345.000000,-35279130215.000000,109826481329.000000,,109826481329.000000,,109826481329.000000,109826481329.000000,109570516604.000000,255964725.000000,109826481329.000000,109826481329.000000,109570516604.000000,255964725.000000,109826481329.000000
12M 2012,3542885004273.000000,-3216768628778.000000,326116375495.000000,-109904318715.000000,-52701276603.000000,-57203042112.000000,-109904318715.000000,216212056780.000000,8464069998.000000,16342629456.000000,1629749948.000000,,9087987609.000000,-18439181140.000000,-157115875.000000,8464069998.000000,224676126778.000000,-54934478087.000000,,,-54934478087.000000,169741648691.000000,,169741648691.000000,,169741648691.000000,169741648691.000000,169468090176.000000,273558515.000000,169741648691.000000,169741648691.000000,169468090176.000000,273558515.000000,169741648691.000000
12M 2013,3751042310613.000000,-3478401399172.000000,272640911441.000000,-112577395793.000000,-44475869621.000000,-68101526172.000000,-112577395793.000000,160063515648.000000,-14904703055.000000,11692772288.000000,-7475721238.000000,,-12815292684.000000,-16763294005.000000,10456832584.000000,-14904703055.000000,145158812593.000000,-40196498170.000000,,,-40196498170.000000,104962314423.000000,,104962314423.000000,,104962314423.000000,104962314423.000000,104638718165.000000,323596258.000000,104962314423.000000,104962314423.000000,104638718165.000000,323596258.000000,104962314423.000000
12M 2014,3703267949291.000000,-3370802964521.000000,332464984770.000000,-105378316047.000000,-31994092690.000000,-73384223357.000000,-105378316047.000000,227086668723.000000,-44739426367.000000,15852416739.000000,-17204608410.000000,,12601644421.000000,-52524848582.000000,-3464030535.000000,-44739426367.000000,182347242356.000000,-44728341629.000000,,,-44728341629.000000,137618900727.000000,,137618900727.000000,,137618900727.000000,137618900727.000000,136761606520.000000,857294207.000000,137618900727.000000,137618900727.000000,136761606520.000000,857294207.000000,137618900727.000000
12M 2015,3533081041052.000000,-3193857567003.000000,339223474049.000000,-114372811403.000000,-34587987794.000000,-79784823609.000000,-114372811403.000000,224850662646.000000,-18794379411.000000,13212093897.000000,-7723053520.000000,,14595770665.000000,-43021086172.000000,4141895719.000000,-18794379411.000000,206056283235.000000,-48346991838.000000,1410354728.000000,,-48346991838.000000,159119646125.000000,,159119646125.000000,-6576595818.000000,152543050307.000000,159119646125.000000,158898974640.000000,220671485.000000,159119646125.000000,152543050307.000000,152322378822.000000,220671485.000000,152543050307.000000
12M 2016,3742637722322.000000,-3182423577751.000000,560214144571.000000,-150401657958.000000,-53354268656.000000,-97047389302.000000,-150401657958.000000,409812486613.000000,29789613733.000000,14981740262.000000,-4795447402.000000,,36481727345.000000,-30367887708.000000,13489481236.000000,29789613733.000000,439602100346.000000,-100356348982.000000,1347879170.000000,,-100356348982.000000,340593630534.000000,,340593630534.000000,1412070496.000000,342005701030.000000,340593630534.000000,340492197619.000000,101432915.000000,340593630534.000000,342005701030.000000,341904268115.000000,101432915.000000,342005701030.000000
12M 2017,4440404595541.000000,-3908921718806.000000,531482876735.000000,-214872323664.000000,-76450806678.000000,-138421516986.000000,-214872323664.000000,316610553071.000000,28619803523.000000,11634430057.000000,4950818207.000000,,34317798128.000000,-25707370754.000000,3424127885.000000,28619803523.000000,345230356594.000000,-83238075336.000000,7738017551.000000,,-83238075336.000000,269730298809.000000,,269730298809.000000,1292181565693.000000,1561911864502.000000,269730298809.000000,269316295136.000000,414003673.000000,269730298809.000000,1561911864502.000000,1561497860829.000000,414003673.000000,1561911864502.000000
12M 2018,5160182004111.000000,-4550035347390.000000,610146656721.000000,-255835510696.000000,-94339840899.000000,-161495669797.000000,-255835510696.000000,354311146025.000000,-11286562197.000000,5988592449.000000,4700182526.000000,,30724650472.000000,-32462744226.000000,-20237243418.000000,-11286562197.000000,343024583828.000000,-87589693250.000000,-1439557922.000000,,-87589693250.000000,253995332656.000000,,253995332656.000000,-373803609.000000,253621529047.000000,253995332656.000000,263224089025.000000,-9228756369.000000,253995332656.000000,253621529047.000000,262813027792.000000,-9191498745.000000,253621529047.000000
12M 2019,5701072391797.000000,-5000863266555.000000,700209125242.000000,-250471660775.000000,-96463064838.000000,-154008595937.000000,-250471660775.000000,449737464467.000000,-36332116163.000000,9736196700.000000,-6366056389.000000,,28367482847.000000,-55278498070.000000,-12791241251.000000,-36332116163.000000,413405348304.000000,-109811425973.000000,-106506092515.000000,-3305333458.000000,-109811425973.000000,303593922331.000000,,303593922331.000000,-947924807.000000,302645997524.000000,303593922331.000000,315228170984.000000,-11634248653.000000,303593922331.000000,302645997524.000000,314548861203.000000,-11902863679.000000,302645997524.000000
12M 2020,4620736359547.000000,-4097890299826.000000,522846059721.000000,-229742555676.000000,-80488386811.000000,-149254168865.000000,-229742555676.000000,293103504045.000000,10954367442.000000,15742517671.000000,338635061.000000,,27627720823.000000,-20707948830.000000,-12046557283.000000,10954367442.000000,304057871487.000000,-65905385002.000000,-60884972143.000000,-5020412859.000000,-65905385002.000000,238152486485.000000,,238152486485.000000,-3828146200.000000,234324340285.000000,238152486485.000000,237881695219.000000,270791266.000000,238152486485.000000,234324340285.000000,234051996891.000000,272343394.000000,234324340285.000000
12M 2021,5020992336635.000000,-4646520688437.000000,374471648198.000000,-226773304549.000000,-112716623865.000000,-114056680684.000000,-226773304549.000000,147698343649.000000,26749593226.000000,16970834741.000000,301805127.000000,,33649045347.000000,,-24172091989.000000,26749593226.000000,174447936875.000000,-33753230753.000000,-32293991840.000000,-1459238913.000000,-33753230753.000000,140694706122.000000,,140694706122.000000,1048418204196.000000,1189112910318.000000,140694706122.000000,140489750055.000000,204956067.000000,140694706122.000000,1189112910318.000000,1186376633729.000000,2736276589.000000,1189112910318.000000
