Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.84,1731.69,0.84,1731.69,459 B,9 B,469 B,451 B,140 B
12M 2009,0.72,1824.44,0.72,1824.44,361 B,2 B,363 B,297 B,133 B
12M 2010,0.95,2060.00,0.95,2060.00,414 B,,414 B,313 B,190 B
12M 2011,1.25,2504.64,1.25,2504.64,500 B,,500 B,211 B,269 B
12M 2012,1.28,3158.97,1.28,3158.97,384 B,,384 B,123 B,378 B
12M 2013,1.29,3417.95,1.29,3417.95,500 B,,,206 B,411 B
12M 2014,1.00,3933.19,1.00,3933.19,353 B,,353 B,236 B,468 B
12M 2015,0.84,4457.25,0.84,4457.25,450 B,,450 B,110 B,562 B
12M 2016,1.23,5906.63,1.23,5906.63,600 B,,600 B,(365 B),824 B
12M 2017,0.68,13238.90,0.68,13238.90,602 B,,602 B,(176 B),925 B
12M 2018,0.61,14171.84,0.61,14171.84,450 B,,450 B,63 B,"1,099 B"
12M 2019,0.60,15351.87,0.60,15351.87,600 B,,600 B,30 B,"1,331 B"
12M 2020,0.66,15997.50,0.66,15997.50,,,,"(1,026 B)","1,442 B"
12M 2021,0.48,21509.30,0.48,21509.30,,,,(950 B),"1,496 B"
12M 2022,0.37,23069.37,0.37,23069.37,,,9 B,(548 B),"1,547 B"
12M 2023,0.34,24073.30,0.34,24073.30,,,1 B,(780 B),"1,730 B"
12M 2024,0.08,26177.94,0.08,26177.94,,,,(824 B),"1,932 B"
