Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pengeluaran Kas Untuk Perolehan Tanah, Pembayaran Ke Kontraktor Dan Pemasok",Pengeluaran Kas Untuk Karyawan,Pemberian Pinjaman Kepada Karyawan,Pembayaran Beban Keuangan,Penerimaan Bunga,Pembayaran (Penerimaan) Pajak,Penerimaan (Pembayaran) Kas Utuk Aktivitas Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Arus Kas Bersih Dari Akuisisi Entitas Anak Yang Diperoleh,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Pinjaman Bank,Hasil Dari Penerbitan Saham,Agio Saham,Biaya Emisi Saham,Pelaksanaan Waran,Penerimaan (Pembayaran) Piutang Pihak Berelasi,Penerimaan (Pembayaran) Utang Pihak Berelasi,Pelunasan Utang Pihak Ketiga,Kepentingan Non Pengendali,Penerimaan Utang Pihak Ketiga,Penerimaan Pinjaman Jangka Panjang,Pembayaran Ke Lembaga Keuangan Bank,Proforma Ekuitas Transaksi Entitas Sepengendali,Penerimaan (Pembayaran) Utang Sewa Pembiayaan,Penerimaan (Pembayaran) Pinjaman Lembaga Non Bank,Tambahan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,-10782964637.000000,56608099119.000000,-77021667266.000000,-7967122654.000000,,-357203442.000000,242346799.000000,2480814006.000000,15231768801.000000,-10782964637.000000,-6725000.000000,-6725000.000000,,,-6725000.000000,11707394745.000000,,,,,,10650000000.000000,-288957496.000000,,172896650.000000,,,-18270514953.000000,-250000000.000000,-129132806.000000,20000000000.000000,-176896650.000000,11707394745.000000,917705108.000000,10756469225.000000,,11674174333.000000
12M 2017,-202028339730.000000,37034346348.000000,-197148713214.000000,-7246471121.000000,-51937543.000000,-89244966.000000,1429138236.000000,-12571208588.000000,-23384248882.000000,-202028339730.000000,-4118704912.000000,-435075577.000000,-3683629335.000000,,-4118704912.000000,220647445503.000000,,31250000000.000000,37500000000.000000,-7849882253.000000,1293286500.000000,,,-18914921829.000000,,,275000000000.000000,-77631036915.000000,,,-20000000000.000000,,220647445503.000000,14500400861.000000,11674174333.000000,,26174575194.000000
12M 2018,-128654956089.000000,11460503319.000000,-124824024111.000000,-9346886792.000000,29239443.000000,-47504691.000000,538059991.000000,-3143173326.000000,-3321169922.000000,-128654956089.000000,-291512181.000000,-348012181.000000,,56500000.000000,-291512181.000000,103233943770.000000,,,,,103247966083.000000,,-14022313.000000,,,,,,,,,,103233943770.000000,-25712524500.000000,26174575194.000000,,462050694.000000
12M 2019,-61275584203.000000,14796362228.000000,-53006706605.000000,-9283325892.000000,22698100.000000,-28508661.000000,477824936.000000,3395387522.000000,-17649315831.000000,-61275584203.000000,-566609800.000000,-566609800.000000,,,-566609800.000000,62749767392.000000,,,,,3056212500.000000,,58144833484.000000,,,141199569408.000000,,-139650848000.000000,,,,,62749767392.000000,907573389.000000,462050694.000000,,1369624083.000000
