Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Persediaan,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Tetap,Goodwill,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Bank,Kewajiban Lembaga Keuangan Non Bank,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Bank,Kewajiban Lembaga Keuangan Non Bank,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2016,,,11674174333.000000,1335826884.000000,1335826884.000000,,1335826884.000000,,305043489595.000000,6664694926.000000,324718185738.000000,,99832300925.000000,,,,,684423634.000000,,,2364968036.000000,102881692595.000000,427599878333.000000,,,175559975125.000000,,70567193506.000000,,70567193506.000000,,7361744704.000000,,,,77631036915.000000,20000000000.000000,97631036915.000000,,175559975125.000000,147179248355.000000,,,,,,,147179248355.000000,147179248355.000000,322739223480.000000,,125000000000.000000,-46479653055.000000,26152266908.000000,,,26152266908.000000,1000000.000000,187041000.000000,104860654853.000000,427599878333.000000,1250000000.000000
12M 2017,,,26174575194.000000,21445130459.000000,21445130459.000000,,21445130459.000000,51937543.000000,437046892182.000000,17621390255.000000,502339925633.000000,,99832300925.000000,,,,,670093549.000000,4083629335.000000,,9186522084.000000,113772545893.000000,616112471526.000000,,,49570689295.000000,,46117947008.000000,,46117947008.000000,,3452742287.000000,,,,,,,,49570689295.000000,390694924629.000000,,,,275000000000.000000,275000000000.000000,,115694924629.000000,390694924629.000000,440265613924.000000,,156250000000.000000,-15536248808.000000,34653671293.000000,,,34653671293.000000,398082117.000000,81353000.000000,175846857602.000000,616112471526.000000,1562500000.000000
12M 2018,,,462050694.000000,62029261612.000000,62029261612.000000,,62029261612.000000,22698100.000000,509614969982.000000,20082364201.000000,592211344589.000000,,102110905362.000000,14022313.000000,14022313.000000,,14022313.000000,551215044.000000,4083629335.000000,,9118217084.000000,115877989138.000000,708089333727.000000,,,55170085592.000000,,51311480717.000000,,51311480717.000000,,3858604875.000000,,,,,,,,55170085592.000000,371469604132.000000,,,,275000000000.000000,275000000000.000000,2041637400.000000,94427966732.000000,371469604132.000000,426639689724.000000,,197289638700.000000,46672078575.000000,36923184675.000000,,,36923184675.000000,392374053.000000,172368000.000000,281449644003.000000,708089333727.000000,1937950590.000000
12M 2019,,,1369624082.000000,71919595291.000000,71919595291.000000,,71919595291.000000,,520954207853.000000,15819457773.000000,610062884999.000000,,99832300925.000000,,,,,850353982.000000,4083629335.000000,,10799261583.000000,115565545825.000000,725628430824.000000,,,318646544958.000000,,33113094617.000000,,33113094617.000000,141199569408.000000,8984728933.000000,,,,,135349152000.000000,135349152000.000000,,318646544958.000000,121150386454.000000,,,,,,60200493197.000000,60949893257.000000,121150386454.000000,439796931412.000000,,198400988700.000000,48616941075.000000,38179310498.000000,,,38179310498.000000,350180139.000000,284079000.000000,285831499412.000000,725628430824.000000,1984009887.000000
