Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,98850502896.000000,-68876071880.000000,29974431016.000000,-20957717113.000000,,-16892495269.000000,-4065221844.000000,-20957717113.000000,9016713903.000000,2145593413.000000,,2145593413.000000,2145593413.000000,11162307316.000000,-3342410863.000000,,,-3342410863.000000,-3342410863.000000,7819896453.000000,,7819896453.000000,122813000.000000,7942709453.000000,7819896453.000000,7819896453.000000,,,7819896453.000000,7942709453.000000,7942709453.000000,,7942709453.000000
12M 2017,88989936649.000000,-65145310627.000000,23844626022.000000,-16311269339.000000,,-13630929237.000000,-2680340102.000000,-16311269339.000000,7533356683.000000,1339893270.000000,,1339893270.000000,1339893270.000000,8873249953.000000,-374763452.000000,,,-374763452.000000,-374763452.000000,8498486501.000000,,8498486501.000000,81353000.000000,8579839501.000000,8498486502.000000,8501404385.000000,-2917883.000000,,8498486502.000000,8579839502.000000,8579804264.000000,35238.000000,8579839502.000000
12M 2018,73416959369.000000,-50052447142.000000,23364512227.000000,-21069751099.000000,,-20266683682.000000,-803067417.000000,-21069751099.000000,2294761128.000000,730957145.000000,,730957145.000000,730957145.000000,3025718273.000000,-756204890.000000,,,-756204890.000000,-756204890.000000,2269513383.000000,,2269513383.000000,91015000.000000,2360528383.000000,2269513383.000000,2275221447.000000,-5708064.000000,,2269513383.000000,2360528383.000000,2360124895.000000,403488.000000,2360528383.000000
12M 2019,58204842382.000000,-43946073171.000000,14258769211.000000,-13339911399.000000,,-13061574248.000000,-278337151.000000,-13339911399.000000,918857812.000000,448733372.000000,,448733372.000000,448733372.000000,1367591184.000000,-113619384.000000,,,-113619384.000000,-113619384.000000,1253971800.000000,,1253971800.000000,111711000.000000,1365682800.000000,1253971800.000000,1256125823.000000,2154023.000000,-4308046.000000,1253971800.000000,1365682800.000000,1365682800.000000,,1365682800.000000
