Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Tanaman Perkebunan,Tanaman Telah Menghasilkan,Tanaman Belum Menghasilkan,Pembibitan,Total Tanaman Perkebunan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,10237279629.000000,372071628992.000000,357700337857.000000,14371291135.000000,372071628992.000000,275066034.000000,275066034.000000,,275066034.000000,526316796927.000000,146957635145.000000,1055858406727.000000,,260907140509.000000,84889061286.000000,128470899669.000000,47547179554.000000,260907140509.000000,1038363334024.000000,51900105944.000000,1351170580477.000000,2407028987204.000000,,,821382757632.000000,,,68583334039.000000,169518548685.000000,238101882724.000000,,,63088168828.000000,63088168828.000000,605358839.000000,85883680376.000000,,405866004059.000000,99582946.000000,405965587005.000000,27738079860.000000,821382757632.000000,835388243245.000000,588776288.000000,,833213000000.000000,,833213000000.000000,1586466957.000000,835388243245.000000,1656771000877.000000,,677705000000.000000,90931000000.000000,-18100780743.000000,,,-18100780743.000000,-277232930.000000,750257986327.000000,2407028987204.000000,677705.000000
12M 2022,,,208671157915.000000,294070090399.000000,271366070285.000000,22704020114.000000,294070090399.000000,20151663263.000000,7973592181.000000,12178071082.000000,20151663263.000000,646284425712.000000,330408348426.000000,1499585685715.000000,,594811331358.000000,370426148086.000000,178326555052.000000,46058628220.000000,594811331358.000000,1365792601318.000000,29120610661.000000,1989724543337.000000,3489310229052.000000,,,994042400954.000000,214700000000.000000,,74618057554.000000,282219960873.000000,356838018427.000000,,647708222.000000,361627520769.000000,362275228991.000000,34424819063.000000,10663297713.000000,,14759885760.000000,100000000.000000,14859885760.000000,281151000.000000,994042400954.000000,1221003713141.000000,503445323.000000,,1216336010955.000000,717017618.000000,1217053028573.000000,3447239245.000000,1221003713141.000000,2215046114095.000000,,800000000000.000000,433133803043.000000,40407142498.000000,,,40407142498.000000,723169417.000000,1274264114958.000000,3489310229053.000000,8000000000.000000
12M 2023,,,160217607985.000000,373771150742.000000,370911647630.000000,2859503112.000000,373771150742.000000,1158479999.000000,1158479999.000000,,1158479999.000000,388631037626.000000,428302985909.000000,1352081262261.000000,,737828122113.000000,348760715276.000000,365940634821.000000,23126772016.000000,737828122113.000000,1535317762580.000000,27459073053.000000,2300604957746.000000,3652686220007.000000,,,365656547354.000000,,,65860080319.000000,142380605227.000000,208240685546.000000,,,,,20180583883.000000,44487777925.000000,,88105000000.000000,200000000.000000,88305000000.000000,4442500000.000000,365656547354.000000,1845458156890.000000,4041731407.000000,,1835853697143.000000,672740795.000000,1836526437938.000000,4889987545.000000,1845458156890.000000,2211114704244.000000,,923066505000.000000,417865230717.000000,100847407567.000000,,,100847407567.000000,-207627522.000000,1441571515762.000000,3652686220006.000000,8000000000.000000
12M 2024,,,252160434253.000000,669991595699.000000,659641464741.000000,10350130958.000000,669991595699.000000,17725176479.000000,10992556610.000000,6732619869.000000,17725176479.000000,427178162444.000000,555218725960.000000,1922274094835.000000,,781071109420.000000,390525486602.000000,373841384056.000000,16704238762.000000,781071109420.000000,1376288785447.000000,25799061358.000000,2183158956225.000000,4105433051060.000000,,,601866800788.000000,,,58933707426.000000,408289350705.000000,467223058131.000000,,,,,52566064261.000000,11335178396.000000,,64500000000.000000,100000000.000000,64600000000.000000,6142500000.000000,601866800788.000000,1802203388469.000000,5089272168.000000,,1790072916667.000000,645767850.000000,1790718684517.000000,6395431784.000000,1802203388469.000000,2404070189257.000000,,923066505000.000000,417865230717.000000,361572939024.000000,,,361572939024.000000,-1141812938.000000,1701362861803.000000,4105433051060.000000,9230665050.000000
