Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2021,0.00 B,23417.26,0.00,0.00,95.07 B,0.66%,2.12%,7.18%,1.41
12M 2022,8.00 B,5.21,61.04,0.55,355.31 B,1.19%,3.27%,11.94%,4.88
12M 2023,8.00 B,9.66,25.67,0.45,389.50 B,2.12%,5.36%,8.74%,5.25
12M 2024,9.23 B,28.25,10.97,0.74,574.49 B,6.35%,15.32%,12.26%,4.62
