Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,619857338953.000000,-532435618508.000000,87421720445.000000,-30473829486.000000,-32147790583.000000,1673961097.000000,-30473829486.000000,56947890959.000000,-40911243610.000000,-40410426829.000000,-500816781.000000,-40911243610.000000,16036647349.000000,-166652759.000000,,,-166652759.000000,,15869994590.000000,-158909273.000000,15711085317.000000,15869994591.000000,15869994591.000000,,15869994591.000000,15711085318.000000,15711085318.000000,,15711085318.000000
12M 2022,4642340995500.000000,-4277907174479.000000,364433821021.000000,-120780286370.000000,-133061284254.000000,12280997884.000000,-120780286370.000000,243653534651.000000,-41429088479.000000,-49957648906.000000,8528560427.000000,-41429088479.000000,202224446172.000000,-39635319463.000000,,,-39635319463.000000,-120907246501.000000,41681880208.000000,313837712.000000,41847418664.000000,41681880210.000000,41681880210.000000,,41681880210.000000,41847418666.000000,41847418666.000000,,41847418666.000000
12M 2023,4442279649263.000000,-4057025528704.000000,385254120559.000000,-132429869371.000000,-137254257759.000000,4824388388.000000,-132429869371.000000,252824251188.000000,-35625242407.000000,-48111414101.000000,12486171694.000000,-35625242407.000000,217199008781.000000,-48960811041.000000,,,-48960811041.000000,-90971889643.000000,77266308097.000000,-930796939.000000,77630869626.000000,77266308096.000000,77266308096.000000,,77266308096.000000,77630869625.000000,77630869625.000000,,77630869625.000000
12M 2024,3864889048543.000000,-3383603739202.000000,481285309341.000000,-65099127038.000000,-71773515038.000000,6674388000.000000,-65099127038.000000,416186182303.000000,-81584679536.000000,-90145257178.000000,8560577642.000000,-81584679536.000000,334601502767.000000,-73875971310.000000,,,-73875971310.000000,,260725531457.000000,-934185416.000000,259791346041.000000,260725531457.000000,260725531457.000000,,260725531457.000000,259791346041.000000,259791346041.000000,,259791346041.000000
