Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Untuk Beban Usaha,Pembayaran Kepada Karyawan,Pembayaran Bunga,Pembayaran Pajak Penghasilan Badan,Penerimaan Restitusi Pajak,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Operasi,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Hak Guna,Penerimaan Piutang Plasma,Perolehan Tanaman Produktif,Penambahan Pembibitan,Penerimaan Dari Penjualan Perkebunan Plasma,Pembayaran Untuk Perolehan Perkebunan Plasma,Penerimaan Dari Pemberian Pinjaman Kepada Pihak Berelasi,Pemberian Pinjaman Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Hasil Dari Penerbitan Saham Baru Melalui Penawaran Umum Saham Perdana,Biaya Emisi Saham,Penerimaan Utang Bank Jangka Pendek,Penerimaan Utang Bank,Pembayaran Utang Bank Jangka Panjang,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Pinjaman Pihak Ketiga,Pembayaran Liabilitas Sewa,Pencairan (Penempatan) Kas Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,-720791301345.000000,269770163424.000000,-854172032562.000000,-80431624798.000000,-11388782712.000000,-44569024697.000000,,,,-720791301345.000000,-362442521261.000000,-321515608813.000000,,,-29747727950.000000,-11183484498.000000,,,4300000.000000,,-362442521261.000000,1091947001573.000000,,,,850533577516.000000,-4548000000.000000,246161424057.000000,,,,-200000000.000000,,1091947001573.000000,,8713178967.000000,,1524100661.000000,10237279628.000000
12M 2022,189639689815.000000,4692885605233.000000,-4239338606365.000000,-406253781908.000000,-31247795865.000000,-49140339196.000000,,222734607916.000000,,189639689815.000000,-428259509114.000000,-365297950551.000000,,,-51182468946.000000,-839087957.000000,1158131853.000000,,828819629903.000000,-840917763416.000000,-428259509114.000000,436281485488.000000,366885000000.000000,-5080446957.000000,,621049870775.000000,-786936810489.000000,1242548855343.000000,-1011544983184.000000,,,-100000000.000000,9460000000.000000,436281485488.000000,,197661666189.000000,206128466.000000,10803363258.000000,208671157913.000000
12M 2023,230131658025.000000,4366739937920.000000,-3825990096704.000000,-215504785087.000000,-48570440996.000000,-47202303465.000000,,659346357.000000,,230131658025.000000,-396754853667.000000,-245846819114.000000,,,-164003665070.000000,-678558495.000000,44794623533.000000,-43198505603.000000,46071459704.000000,-33893388622.000000,-396754853667.000000,115681892200.000000,,,,1520814427954.000000,-1043505014985.000000,1087616786776.000000,-1449244307545.000000,,,,,115681892200.000000,,-50941303442.000000,2487753512.000000,208671157915.000000,160217607985.000000
12M 2024,259174053968.000000,3571320534309.000000,-2986063304295.000000,-225769218973.000000,-10241726950.000000,-90072230123.000000,,,,259174053968.000000,-74618969990.000000,-8269227958.000000,,,-67955285886.000000,,1605543854.000000,,,,-74618969990.000000,-86079449901.000000,,,,,-69385780476.000000,,,-6732619869.000000,-9834076611.000000,-126972945.000000,,-86079449901.000000,,98475634077.000000,-6532807809.000000,160217607985.000000,252160434253.000000
