Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Untuk Beban Usaha,Pembayaran Kas Kepada Karyawan,Pembayaran Bunga,Pembayaran Pajak,Penerimaan (Pembayaran) Kegiatan Usaha Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Investasi Jangka Pendek,Beban Ditangguhkan,Hasil Penjualan Aset Tetap,Dana Dibatasi Penggunaannya,Investasi Kepada Entitas Anak,Investasi Kepada Entitas Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Setoran Modal,Agio,Pembayaran Biaya Emisi,Penerimaan Hutang Bank,Pembayaran Hutang Bank,Penerimaan (Pembayaran) Dari Pihak Berelasi,Penerimaan (Pembayaran) Piutang Kepada Pihak Berelasi,Pembayaran Sewa Pembiayaan,Pembayaran Deviden,Penerimaan Hutang Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-70500794841.000000,276376819006.000000,-300530674707.000000,-9541030545.000000,-16429820992.000000,-12164684898.000000,-8241151267.000000,29748562.000000,-70500794841.000000,-8702795175.000000,-7461295175.000000,,-647500000.000000,,,-594000000.000000,,-8702795175.000000,80414241343.000000,,,,65273751366.000000,-38649682553.000000,15710820359.000000,38930688288.000000,-851336117.000000,,,80414241343.000000,1210651327.000000,2855187745.000000,4065839072.000000
12M 2019,-1332714029.000000,382730179274.000000,-323433466377.000000,-11535013572.000000,-20353551752.000000,-15387096706.000000,-13730208326.000000,376443430.000000,-1332714029.000000,-60063482240.000000,-2643482240.000000,,,,,-57420000000.000000,,-60063482240.000000,61974074344.000000,75500000000.000000,,-4312500000.000000,19937709499.000000,-33576483311.000000,-3626695074.000000,-383113437.000000,-1564843333.000000,,10000000000.000000,61974074344.000000,577878075.000000,4065839074.000000,4643717149.000000
12M 2020,-14596625034.000000,402564414723.000000,-366133945109.000000,-10797054695.000000,-18727699778.000000,-15073831259.000000,-6183432958.000000,-245075958.000000,-14596625034.000000,-1410922446.000000,-1474558810.000000,,,63636364.000000,,,,-1410922446.000000,16693884812.000000,,,,46390843661.000000,-6853419976.000000,-10808983655.000000,935613437.000000,-1470168655.000000,-1500000000.000000,-10000000000.000000,16693884812.000000,686337332.000000,4643717149.000000,5330054481.000000
12M 2021,13828108215.000000,438905573840.000000,-376483938736.000000,-8548261399.000000,-17004007501.000000,-14320892277.000000,-9206438294.000000,486072582.000000,13828108215.000000,-750640402.000000,-750640402.000000,,,,,,,-750640402.000000,-12206681172.000000,,,,18377102744.000000,-37261300417.000000,,7277863386.000000,-600346885.000000,,,-12206681172.000000,870786641.000000,5330054481.000000,6200841122.000000
12M 2022,-13948417309.000000,465520046778.000000,-438905561669.000000,-11147956277.000000,-16637577522.000000,-11893332126.000000,-11946446939.000000,11062410446.000000,-13948417309.000000,-2765814219.000000,-3172452845.000000,-5854945.000000,,412493571.000000,,,,-2765814219.000000,19750772935.000000,,,,348857049777.000000,-372743545112.000000,-30450000000.000000,74442666607.000000,-355398337.000000,,,19750772935.000000,3036541407.000000,6200841122.000000,9237382529.000000
12M 2023,-13436220837.000000,456194096451.000000,-414564326061.000000,-8998178339.000000,-22543849225.000000,-9385868159.000000,-14140355425.000000,2259921.000000,-13436220837.000000,-3412299284.000000,-1292159229.000000,854945.000000,,180000000.000000,-2300995000.000000,,,-3412299284.000000,12910778543.000000,23166752500.000000,53291035900.000000,,41998689751.000000,-83788090181.000000,,-21127376936.000000,-630232491.000000,,,12910778543.000000,-3937741578.000000,9237382529.000000,5299640951.000000
12M 2024,38291324409.000000,524842428086.000000,-437228419853.000000,-14647568912.000000,-26214702398.000000,-5178477663.000000,-7338924561.000000,4056989710.000000,38291324409.000000,1176103184.000000,-1428945870.000000,,,304054054.000000,2300995000.000000,,,1176103184.000000,-42358370518.000000,255000.000000,,,388044847433.000000,-426493185809.000000,,-3235273289.000000,-675013853.000000,,,-42358370518.000000,-2890942925.000000,5299640948.000000,2408698023.000000
