Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Belum Ditentukan Penggunaannya,Others,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,4065839073.000000,,60624511518.000000,58956442646.000000,1668068872.000000,60624511518.000000,,,,110975381229.000000,360756013.000000,176026487833.000000,,1185500757.000000,50141752249.000000,1200000000.000000,52527253006.000000,228553740839.000000,,,104530804101.000000,64229835648.000000,21067942232.000000,,,,4866187715.000000,176443653.000000,,12965000006.000000,1225394847.000000,14190394853.000000,,104530804101.000000,71401185200.000000,15710820359.000000,,50155178558.000000,1121187512.000000,51276366070.000000,4413998771.000000,71401185200.000000,175931989301.000000,,1000000000.000000,-6896603697.000000,58627451162.000000,,,58627451162.000000,-63662663.000000,-45433264.000000,52621751538.000000,228553740839.000000,10000.000000
12M 2019,,,4643717149.000000,,138265640220.000000,129031538372.000000,9234101848.000000,138265640220.000000,,,,131341257629.000000,2057820698.000000,276308435696.000000,,1443599451.000000,67310804413.000000,935613437.000000,69690017301.000000,345998452997.000000,,,136801135066.000000,63384931832.000000,44499246443.000000,,,10000000000.000000,2353225495.000000,2052954652.000000,,12965000006.000000,1170396205.000000,14135396211.000000,375380433.000000,136801135066.000000,54916754666.000000,12084125286.000000,,37361308562.000000,419688143.000000,37780996705.000000,5051632675.000000,54916754666.000000,191717889732.000000,,100000000000.000000,28187500000.000000,32079767757.000000,31879767757.000000,200000000.000000,32079767757.000000,580793562.000000,-6567498054.000000,154280563265.000000,345998452997.000000,2000000000.000000
12M 2020,,,5330054481.000000,,144530083937.000000,139568616457.000000,4961467480.000000,144530083937.000000,,,,166088492747.000000,587054816.000000,316535685981.000000,,2281320717.000000,64784306007.000000,,67065626724.000000,383601312705.000000,,,168098422660.000000,109775775492.000000,37402859197.000000,,,,3210784737.000000,1948417518.000000,,15160238832.000000,600346884.000000,15760585716.000000,,168098422660.000000,36842606550.000000,1275141631.000000,,28312649761.000000,201767557.000000,28514417318.000000,7053047601.000000,36842606550.000000,204941029210.000000,,100000000000.000000,28187500000.000000,57044991580.000000,37044991580.000000,20000000000.000000,57044991580.000000,608281803.000000,-7180489888.000000,178660283495.000000,383601312705.000000,2000000000.000000
12M 2021,,,6200841122.000000,,153916913817.000000,127088112134.000000,26828801683.000000,153916913817.000000,4424164097.000000,4424164097.000000,4424164097.000000,164212953572.000000,3662036683.000000,332416909291.000000,,2323537372.000000,60805617603.000000,,63129154975.000000,395546064266.000000,,,135103286970.000000,80068383805.000000,36848371834.000000,,,,1657506464.000000,1957078182.000000,,14370179130.000000,201767555.000000,14571946685.000000,,135103286970.000000,55794996530.000000,8553005017.000000,,39925903477.000000,,39925903477.000000,7316088036.000000,55794996530.000000,190898283500.000000,,100000000000.000000,28187500000.000000,82228416635.000000,62228416635.000000,20000000000.000000,82228416635.000000,675550992.000000,-6443686861.000000,204647780766.000000,395546064266.000000,2000000000.000000
12M 2022,,,9237382529.000000,5854945.000000,183340759610.000000,164847888798.000000,18492870812.000000,183340759610.000000,,,,138985931007.000000,50988626022.000000,382558554113.000000,,1983328623.000000,61490635172.000000,,63473963795.000000,446032517908.000000,,,118786486392.000000,70552067600.000000,,16153820906.000000,1111317633.000000,121290000.000000,1257318287.000000,1539338461.000000,,19160238840.000000,629604150.000000,19789842990.000000,8261490515.000000,118786486392.000000,81444750628.000000,52545671624.000000,,20765664637.000000,1894485075.000000,22660149712.000000,6238929292.000000,81444750628.000000,200231237020.000000,,100000000000.000000,28187500000.000000,124391748926.000000,104091748926.000000,20300000000.000000,124391748926.000000,839823700.000000,-7617791738.000000,245801280888.000000,446032517908.000000,2000000000.000000
12M 2023,,,5299640948.000000,5000000.000000,171941675240.000000,150382979810.000000,21558695430.000000,171941675240.000000,,,,194553773256.000000,38336625872.000000,410136715316.000000,,2461619849.000000,58105766021.000000,2869196244.000000,63436582114.000000,473573297430.000000,,,37097366777.000000,6101691231.000000,,15244251575.000000,3210382632.000000,614758739.000000,124782927.000000,1521288534.000000,,9423404256.000000,619722579.000000,10043126835.000000,237084304.000000,37097366777.000000,90346468103.000000,31418294688.000000,,53163475160.000000,1274134155.000000,54437609315.000000,4490564100.000000,90346468103.000000,127443834880.000000,,123166752500.000000,81478535900.000000,145619760061.000000,125319760061.000000,20300000000.000000,145619760061.000000,1662922068.000000,-5798507975.000000,346129462554.000000,473573297434.000000,2463335050.000000
12M 2024,,,2408697869.000000,5000000.000000,147452243708.000000,130115676967.000000,17336566741.000000,147452243708.000000,,,,179817163988.000000,41199181275.000000,370882286840.000000,,2112702860.000000,54597002699.000000,2869196244.000000,59578901803.000000,430461188643.000000,,,24020020481.000000,2199999996.000000,,11666264260.000000,366900700.000000,,1423587536.000000,1787260003.000000,,5703037086.000000,672970900.000000,6376007986.000000,200000000.000000,24020020481.000000,55971586302.000000,28183021399.000000,,22337195189.000000,906371981.000000,23243567170.000000,4544997733.000000,55971586302.000000,79991606783.000000,,123167007500.000000,81478535900.000000,150323499388.000000,130023499388.000000,20300000000.000000,150323499388.000000,1677764006.000000,-6177224761.000000,350469582033.000000,430461188816.000000,2463335980.000000
