Period,Aset,Kas Dan Setara Kas,Penempatan Pada Bank Indonesia Dan Bank Lain,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Total Pinjaman Yang Diberikan,Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Deposito Berjangka,Pihak Berelasi,Pihak Ketiga,Total Deposito Berjangka,Others,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Utang Pajak,Liabilitas Pajak Tangguhan,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,14866561288.000000,,138301891865.000000,138301891865.000000,,50274181711.000000,541884485803.000000,592158667514.000000,170304812811.000000,,539087551.000000,37566458047.000000,953737479076.000000,,,4001483199.000000,433411298782.000000,,46420485389.000000,342019754580.000000,388440239969.000000,44971058813.000000,433411298782.000000,1000000000.000000,1679212791.000000,1437365611.000000,10768060580.000000,452297420963.000000,,223700000000.000000,250000000.000000,145705404828.000000,44740000000.000000,100965404828.000000,145705404828.000000,131784653285.000000,501440058113.000000,953737479076.000000,2237000000.000000
12M 2020,,17010044570.000000,,144918217879.000000,144918217879.000000,,99823783852.000000,803787515820.000000,903611299672.000000,171275899029.000000,,804805618.000000,203614008419.000000,1441234275187.000000,,,5450927223.000000,411590845427.000000,,38407075311.000000,338849279257.000000,377256354568.000000,34334490859.000000,411590845427.000000,2922031391.000000,2631312532.000000,548517532.000000,9108049929.000000,432251684034.000000,,302652940500.000000,396581239526.000000,177918977969.000000,60580588100.000000,117338389869.000000,177918977969.000000,131829433158.000000,1008982591153.000000,1441234275187.000000,3026529405.000000
12M 2021,,21212752890.000000,,97029591410.000000,97029591410.000000,,109033345610.000000,819533447679.000000,928566793289.000000,171286155967.000000,,2390087761.000000,1255590104041.000000,2476075485358.000000,,,4660411655.000000,386935321628.000000,,60398222263.000000,285136827306.000000,345535049569.000000,41400272059.000000,386935321628.000000,500000000.000000,2889485761.000000,3052816798.000000,8520522546.000000,406558558388.000000,,302652940500.000000,1381913945506.000000,252903365737.000000,60580588100.000000,192322777637.000000,252903365737.000000,132046675228.000000,2069516926971.000000,2476075485359.000000,3307250973.000000
12M 2022,,5394655446.000000,,298607964703.000000,298607964703.000000,,211148513700.000000,610578489045.000000,821727002745.000000,178382138049.000000,1193454829.000000,2493365741.000000,2005791164183.000000,3313589745696.000000,,,6525023284.000000,233306885310.000000,,39907634765.000000,165973587059.000000,205881221824.000000,27425663486.000000,233306885310.000000,,1836363764.000000,,6580314074.000000,248248586432.000000,,330725097300.000000,2262887995794.000000,328905172332.000000,66195019460.000000,262710152872.000000,328905172332.000000,142822893838.000000,3065341159264.000000,3313589745696.000000,3307250973.000000
12M 2023,,3803028925.000000,,155783447325.000000,155783447325.000000,,294047036855.000000,1387086321211.000000,1681133358066.000000,160989255430.000000,25418517493.000000,15082244074.000000,1596202692124.000000,3638412543437.000000,,,44798117840.000000,347559223378.000000,,53231521195.000000,245222033400.000000,298453554595.000000,49105668783.000000,347559223378.000000,,29271851288.000000,,21413867712.000000,443043060218.000000,,367472330100.000000,2223685942304.000000,461475360918.000000,73544466020.000000,387930894898.000000,461475360918.000000,142735849897.000000,3195369483219.000000,3638412543437.000000,3674723301.000000
12M 2024,,7963973725.000000,,620424003599.000000,620424003599.000000,,270224906280.000000,3595807574135.000000,3866032480415.000000,167180237285.000000,52118979368.000000,44056045979.000000,1893672179322.000000,6651447899693.000000,,,83990129259.000000,3158776148397.000000,,77512785110.000000,2572946955682.000000,2650459740792.000000,508316407605.000000,3158776148397.000000,,30478908438.000000,,58162818386.000000,3331408004480.000000,,367472330100.000000,2223685942304.000000,598194776208.000000,73544466020.000000,524650310188.000000,598194776208.000000,130686846601.000000,3320039895213.000000,6651447899693.000000,3674723301.000000
