Period,Arus Kas Dari Aktivitas Operasi,Pendapatan Bunga Yang Diterima,Beban Bunga,Pendapatan Operasional Lainnya,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Pembayaran Beban Pajak Penghasilan Badan,Pendapatan Non Operasi - Bersih,Beban Non Operasi - Bersih,Penurunan (Kenaikan) Atas Aset Operasional:,Surat-Surat Berharga,Efek-Efek,Kredit Yang Diberikan,Aset Lain-Lain,Total Penurunan (Kenaikan) Atas Aset Operasional:,Kenaikan (Penurunan) Atas Liabilitas Operasional Dan Dana Syirkah Temporer:,Simpanan Dari Nasabah,Kenaikan (Penurunan) Deposito Berjangka Nasabah,Simpanan Dari Bank Lain,Liabilitas Segera,Utang Pajak,Liabilitas Lain-Lain,Total Kenaikan (Penurunan) Atas Liabilitas Operasional Dan Dana Syirkah Temporer:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Penjualan Aset Tetap,Penjualan Aset Tidak Lancar Diklasifikasikan Sebagai Dikuasai Untuk Dijual,Pembelian Aset Takberwujud,Perolehan Aset Tetap,Pembelian Program Komputer,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Biaya Emisi Saham,Pembayaran Pokok Liabilitas Sewa,Tambahan Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2019,-42315683792.000000,79096750771.000000,-31743784105.000000,1174432345.000000,-19090648884.000000,-3969406400.000000,-707584732.000000,613997039.000000,-257948186.000000,,-1909994852.000000,,-47676574624.000000,1989317923.000000,-47597251553.000000,,-9428136867.000000,,-1049195846.000000,-562113794.000000,-10105258257.000000,1310464677.000000,-19834240087.000000,-42315683792.000000,-672033400.000000,92500000.000000,,,-226632580.000000,-537900820.000000,-672033400.000000,50100000000.000000,,,50100000000.000000,50100000000.000000,7112282808.000000,146167095654.000000,,153279378462.000000
12M 2020,-464068574737.000000,91987259194.000000,-31810413096.000000,3270012739.000000,-14707032026.000000,-4031473123.000000,-8660131674.000000,146773021.000000,-348527978.000000,,-159300083558.000000,,-316532416421.000000,-4812525330.000000,-480645025309.000000,,-21820453353.000000,,1922031391.000000,1449444024.000000,-170534545.000000,-650504002.000000,-19270016485.000000,-464068574737.000000,-2441917777.000000,150000000.000000,,,-2041917777.000000,-550000000.000000,-2441917777.000000,475284180026.000000,,,475284180026.000000,475284180026.000000,8773687512.000000,153279378463.000000,,162053065975.000000
12M 2021,-1026614875751.000000,124137504112.000000,-20647715838.000000,3851925306.000000,-14870914841.000000,-4024656861.000000,-17955177615.000000,372698.000000,-362899055.000000,,-1044657002136.000000,,-25688743095.000000,1707062052.000000,-1068638683179.000000,,-24655523801.000000,,-2422031391.000000,-790515568.000000,-337248036.000000,100688318.000000,-28104630478.000000,-1026614875751.000000,-2527100867.000000,1245173495.000000,,,-1687349358.000000,-2084925004.000000,-2527100867.000000,985332705980.000000,,,985332705980.000000,985332705980.000000,-43809270638.000000,162053065973.000000,,118243795335.000000
12M 2022,-720773208580.000000,158922918480.000000,-22744736262.000000,1283899444.000000,-25061052972.000000,-14533629068.000000,-23126046375.000000,151991371.000000,-2300970290.000000,,-569144815605.000000,-169623550435.000000,108037791521.000000,-9220173075.000000,-639950747594.000000,,-153628436316.000000,,-500000000.000000,1864611629.000000,173600054.000000,-1324610681.000000,-153414835314.000000,-720773208580.000000,-2311788001.000000,884000000.000000,,,-2143997541.000000,-1051790460.000000,-2311788001.000000,909046207088.000000,,,909046207088.000000,909046207088.000000,185961210507.000000,118243795338.000000,,304205005845.000000
12M 2023,-123626564349.000000,412002207686.000000,-6142243344.000000,1272605484.000000,-39350101989.000000,-47874438544.000000,-10847048877.000000,582811684.000000,-499236039.000000,,580737530500.000000,-32612432938.000000,-1016017201582.000000,-110137916202.000000,-578030020222.000000,,114252338066.000000,,,30574190027.000000,-1058039227.000000,1490410946.000000,145258899812.000000,-123626564349.000000,-18504037773.000000,572050000.000000,,,-4897584341.000000,-14178503432.000000,-18504037773.000000,-2454820690.000000,-2454820690.000000,,,-2454820690.000000,-144585422812.000000,304205005845.000000,,159619583033.000000
12M 2024,502690672567.000000,1073992244423.000000,-92799577096.000000,10538968143.000000,-51761083980.000000,-104024019301.000000,-37974509837.000000,190012311.000000,-2211061359.000000,,771349271000.000000,-682467607459.000000,-2816905973768.000000,-378936534306.000000,-3106960844533.000000,,2811216925021.000000,,,25528398482.000000,-23915836613.000000,871056906.000000,2813700543796.000000,502690672567.000000,-33122968215.000000,207117393.000000,10400000000.000000,,-8631089957.000000,-35098995651.000000,-33122968215.000000,-481950000.000000,,-481950000.000000,,-481950000.000000,469085754352.000000,159619583033.000000,,628705337385.000000
