Period,Total Pendapatan,Pendapatan Bunga,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Provisi Dan Komisi Lainnya,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Pembentukan Cadangan Kerugian Penurunan Nilai,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Non-Operasional,Beban Non-Operasional,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,79267909985.000000,79267909985.000000,79267909985.000000,-31582007782.000000,-31582007782.000000,-31582007782.000000,47685902203.000000,-18379299883.000000,,1159435408.000000,1348313735.000000,2507749143.000000,,-15934996302.000000,-4942316376.000000,-9736348.000000,,-20887049026.000000,-18379299883.000000,29306602320.000000,389508213.000000,677882729.000000,-288374516.000000,389508213.000000,29696110533.000000,-7434309204.000000,-6390666500.000000,-1043642704.000000,-7434309204.000000,22261801329.000000,26985337106.000000,49247138435.000000,22261801329.000000,22261801329.000000,,22261801329.000000,49247138435.000000,49247138435.000000,,49247138435.000000
12M 2020,93943474577.000000,93943474577.000000,93943474577.000000,-31575008548.000000,-31575008548.000000,-31575008548.000000,62368466029.000000,-17169542562.000000,,3157611709.000000,112401030.000000,3270012739.000000,,-13990340020.000000,-5385855839.000000,-1063359442.000000,,-20439555301.000000,-17169542562.000000,45198923467.000000,-82897131.000000,265630857.000000,-348527988.000000,-82897131.000000,45116026336.000000,-9940438201.000000,-9782765960.000000,-157672241.000000,-9940438201.000000,35175588135.000000,44779874.000000,35220368009.000000,35175588135.000000,35175588135.000000,,35175588135.000000,35220368009.000000,35220368009.000000,,35220368009.000000
12M 2021,122609690259.000000,122609690259.000000,122609690259.000000,-20085279113.000000,-20085279113.000000,-20085279113.000000,102524411146.000000,-19148673779.000000,,3771641993.000000,203635799.000000,3975277792.000000,,-15023651339.000000,-7367050754.000000,-733249478.000000,,-23123951571.000000,-19148673779.000000,83375737367.000000,1260275143.000000,1623174197.000000,-362899054.000000,1260275143.000000,84636012510.000000,-18972758074.000000,-18550598880.000000,-422159194.000000,-18972758074.000000,65663254436.000000,217242070.000000,65880496506.000000,65663254436.000000,65663254436.000000,,65663254436.000000,65880496506.000000,65880496506.000000,,65880496506.000000
12M 2022,162926517310.000000,162926517310.000000,162926517310.000000,-22591996013.000000,-22591996013.000000,-22591996013.000000,140334521297.000000,-41759275388.000000,,584931090.000000,698968354.000000,1283899444.000000,,-24792052369.000000,-19178636546.000000,927514083.000000,,-43043174832.000000,-41759275388.000000,98575245909.000000,-1966043146.000000,337423662.000000,-2303466808.000000,-1966043146.000000,96609202763.000000,-21796796167.000000,-21558206120.000000,-238590047.000000,-21796796167.000000,74812406596.000000,151208410.000000,74963615006.000000,74812406596.000000,74812406596.000000,,74812406596.000000,74963615006.000000,74963615006.000000,,74963615006.000000
12M 2023,436896647069.000000,436896647069.000000,436896647069.000000,-7614744353.000000,-7614744353.000000,-7614744353.000000,429281902716.000000,-257318069134.000000,,319053190.000000,953552294.000000,1272605484.000000,,-51133699784.000000,-50846128574.000000,-156610846260.000000,,-258590674618.000000,-257318069134.000000,171963833582.000000,288048836.000000,787284875.000000,-499236039.000000,288048836.000000,172251882418.000000,-39681693832.000000,-63882205640.000000,24200511808.000000,-39681693832.000000,132570188586.000000,-87043941.000000,132483144645.000000,132570188586.000000,132570188586.000000,,132570188586.000000,132483144645.000000,132483144645.000000,,132483144645.000000
12M 2024,1083828965262.000000,1083828965262.000000,1083828965262.000000,-118765517776.000000,-118765517776.000000,-118765517776.000000,965063447486.000000,-797114999638.000000,,1046717439.000000,9492250704.000000,10538968143.000000,,-62134523397.000000,-112897889435.000000,-632621554949.000000,,-807653967781.000000,-797114999638.000000,167948447848.000000,-7611328256.000000,223747990.000000,-7835076246.000000,-7611328256.000000,160337119592.000000,-36276770217.000000,-63097403600.000000,26820633383.000000,-36276770217.000000,124060349375.000000,610062619.000000,124670411994.000000,124060349375.000000,124060349375.000000,,124060349375.000000,124670411994.000000,124670411994.000000,,124670411994.000000
