Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.17,4303.76,0.17,4303.76,"2,129 B","31,851 B","33,980 B","33,498 B","1,708 B"
12M 2009,0.51,3422.26,0.51,3422.26,"4,943 B","24,845 B","29,788 B","29,262 B","(1,094 B)"
12M 2010,0.50,3298.15,0.50,3298.15,"5,991 B","23,595 B","29,586 B","29,032 B",87 B
12M 2011,0.37,3352.99,0.37,3352.99,"8,928 B","24,302 B","33,231 B","32,697 B",723 B
12M 2012,0.19,3663.27,0.19,3663.27,"5,231 B","32,494 B","37,725 B","36,359 B","6,553 B"
12M 2013,0.27,5113.84,0.27,5113.84,"10,201 B","37,561 B","47,762 B","46,846 B","6,863 B"
12M 2014,0.19,5475.77,0.19,5475.77,"10,945 B","33,573 B","44,518 B","43,034 B","5,690 B"
12M 2015,0.14,6613.22,0.14,6613.22,"16,372 B","37,074 B","53,446 B","51,074 B","8,200 B"
12M 2016,0.14,6923.06,0.14,6923.06,"16,112 B","33,581 B","49,692 B","46,858 B","11,000 B"
12M 2017,0.68,7966.84,0.68,7966.84,"17,443 B","36,143 B","53,585 B","45,184 B","22,251 B"
12M 2018,1.16,9981.33,1.16,9981.33,"19,663 B","42,730 B","62,393 B","51,442 B","35,462 B"
12M 2019,0.76,10176.43,0.76,10176.43,"21,346 B","32,215 B","53,561 B","42,805 B","33,109 B"
12M 2020,0.95,10954.77,0.95,10954.77,"22,357 B","27,821 B","50,178 B","37,896 B","34,116 B"
12M 2021,0.63,12433.96,0.63,12433.96,"26,314 B","23,395 B","49,710 B","34,583 B","34,796 B"
12M 2022,0.55,15973.09,0.55,15973.09,"27,597 B","23,870 B","51,467 B","31,737 B","50,467 B"
12M 2023,0.49,16930.71,0.49,16930.71,"25,791 B","26,025 B",,"30,201 B","54,056 B"
12M 2024,0.36,18923.53,0.36,18923.53,"29,426 B","43,731 B","73,157 B","44,569 B","63,314 B"
